SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
RS,85928,ENTRE RIOS DO SUL,0,169,62,638,0,611,2,0,0,0,0,0,243,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,351,2492,214,2141,199
RS,85936,CARLOS BARBOSA,0,2718,805,2779,0,5265,48,0,0,0,0,0,1086,0,0,31,0,5,0,0,0,147,78,0,0,0,0,0,0,1648,17728,1813,16080,1305
RS,85944,CERRO GRANDE DO SUL,0,638,357,792,0,1792,4,0,0,0,0,0,789,0,0,4,0,0,0,0,0,41,3,0,0,0,0,0,0,583,6218,740,5635,475
RS,85952,CASCA,0,1309,84,859,0,1981,11,0,0,0,0,0,136,0,0,2,0,0,0,0,0,28,11,0,0,0,0,0,0,887,6782,1011,5895,463
RS,85960,CAMARGO,0,545,55,237,0,462,0,0,0,0,0,0,150,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,194,2030,198,1836,174
RS,85979,CATUÍPE,0,1178,1238,1521,0,1415,13,0,0,0,0,0,377,0,0,1,0,0,0,0,0,24,10,0,0,0,0,0,0,907,8021,805,7114,532
RS,85987,PARAÍSO DO SUL,0,1942,155,858,0,1156,3,0,0,0,0,0,401,0,0,1,0,0,0,0,0,45,2,0,0,0,0,0,0,668,5810,334,5142,245
RS,85995,CAXIAS DO SUL,0,13489,4200,63485,0,82697,676,0,0,0,0,0,20523,0,0,222,0,108,0,0,0,2317,1009,0,0,0,0,0,0,28127,279761,27262,251634,35646
RS,86010,CERRO LARGO,0,1623,88,2438,0,2298,6,0,0,0,0,0,374,0,0,1,0,1,0,0,0,62,15,0,0,0,0,0,0,1930,10010,603,8080,571
RS,86029,FAXINALZINHO,0,87,46,273,0,742,3,0,0,0,0,0,169,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,560,2257,221,1697,145
RS,86037,CHAPADA,0,1887,216,1046,0,2080,3,0,0,0,0,0,515,0,0,1,0,0,0,0,0,11,9,0,0,0,0,0,0,757,7440,560,6683,355
RS,86045,AMARAL FERRADOR,0,473,727,614,0,1090,1,0,0,0,0,0,176,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,470,4385,493,3915,322
RS,86053,CHIAPETTA,0,746,132,728,0,666,14,0,0,0,0,0,192,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,547,3414,216,2867,166
RS,86061,VILA FLORES,0,499,46,291,0,911,1,0,0,0,0,0,205,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,276,2770,278,2494,255
RS,86070,CIRÍACO,0,380,83,638,0,1168,1,0,0,0,0,0,204,0,0,1,0,1,0,0,0,38,4,0,0,0,0,0,0,355,3579,527,3224,179
RS,86088,CERRO BRANCO,0,1063,403,441,0,630,4,0,0,0,0,0,114,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,359,3646,359,3287,246
RS,86096,COLORADO,0,662,120,200,0,965,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,291,3009,338,2718,242
