SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PA,4790,LIMOEIRO DO AJURU,3138,6,128,0,1301,2943,2343,10836,195,8493,782
PA,4804,BELTERRA,3638,9,687,1,772,1459,1638,9143,145,7505,794
PA,4812,MAGALHAES BARATA,1525,4,239,0,690,1782,1252,5849,58,4597,299
PA,4820,SAO JOAO DA PONTA,756,3,113,1,379,1349,853,3704,65,2851,185
PA,4839,MARABA,32942,89,6307,3,11252,12642,19849,88890,1106,69041,4700
PA,4847,SAPUCAIA,751,6,161,1,391,739,1080,3509,81,2429,299
PA,4855,MARACANA,2762,16,1631,2,2570,5271,4658,18536,344,13878,1282
PA,4871,MARAPANIM,3942,21,1161,1,2194,3833,3159,15539,224,12380,1004
PA,4898,MELGACO,874,5,90,0,661,2227,4215,8718,156,4503,490
PA,4910,MOCAJUBA,3283,5,770,0,1727,3701,2723,13080,248,10357,623
PA,4936,MOJU,8626,19,1240,1,3026,5819,8819,30008,281,21189,2177
PA,4952,MONTE ALEGRE,10570,20,1666,0,4432,5494,6125,29928,333,23803,1288
PA,4979,MUANA,4081,12,420,2,1743,3252,3287,14099,272,10812,1030
PA,4995,NOVA TIMBOTEUA,2585,8,459,1,832,2127,1243,8013,191,6770,567
PA,5010,OBIDOS,10540,23,1343,3,2239,3783,6557,26243,423,19686,1332
PA,5037,OEIRAS DO PARA,2658,10,172,1,1348,3646,2334,11204,109,8870,926
PA,5053,ORIXIMINA,10968,22,2084,2,2780,4675,6461,29331,356,22870,1983
PA,5070,OUREM,2714,29,433,1,507,2698,2018,9484,181,7466,903
PA,5096,PARAGOMINAS,9538,24,3024,3,5204,8884,13595,43714,639,30119,2803
PA,5118,PEIXE-BOI,1039,5,760,1,917,1336,897,5564,87,4667,522
PA,5134,PONTA DE PEDRAS,1987,22,1446,0,2267,2299,3251,12396,215,9145,909
PA,5150,PORTEL,3488,11,415,0,1090,5345,7509,19359,156,11850,1345
PA,5177,PORTO DE MOZ,2757,6,177,0,783,2247,3065,9716,88,6651,593
PA,5193,PRAINHA,3763,4,479,3,1434,2785,3313,13137,177,9824,1179
PA,5215,PRIMAVERA,1128,5,510,0,456,3200,1868,7859,94,5991,598
PA,5231,SALINOPOLIS,5199,17,874,1,1870,4493,3509,17323,255,13814,1105
PA,5258,SALVATERRA,1900,16,412,1,1152,2917,2177,9343,160,7166,608
PA,5274,SANTA CRUZ DO ARARI,1085,3,184,1,845,573,1052,4106,77,3054,286
PA,5290,SANTA IZABEL DO PARA,6510,73,1984,1,5278,5414,4464,26094,640,21630,1730
PA,5312,SANTA MARIA DO PARA,2950,22,1394,2,1391,3466,3257,14015,263,10758,1270
PA,5339,SANTANA DO ARAGUAIA,1809,9,1149,0,1222,2534,3657,12001,229,8344,1392
PA,5355,SANTAREM,55950,344,23274,21,24335,13261,33386,159503,1426,126117,7506
PA,5371,SANTAREM NOVO,1041,4,213,0,410,1777,1134,5035,80,3901,376
PA,5398,SANTO ANTONIO DO TAUA,3363,9,528,2,2493,3800,2581,13946,203,11365,967
PA,5410,SAO CAETANO DE ODIVELAS,2460,12,474,0,1112,3082,2405,10351,226,7946,580
PA,5436,SAO DOMINGOS DO CAPIM,2997,13,771,0,992,4498,3597,14357,261,10760,1228
PA,5452,SAO FELIX DO XINGU,3959,16,2137,5,2006,1995,5090,16888,362,11798,1318
PA,5479,SAO FRANCISCO DO PARA,1899,21,441,0,932,2942,1241,8112,154,6871,482
