SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1243,2,471,0,436,623,533,3721,60,3188,353
AC,1015,CAPIXABA,1199,3,572,1,250,553,869,3682,43,2813,192
AC,1023,PORTO ACRE,2299,9,953,1,1025,1060,2166,8216,84,6050,619
AC,1031,SANTA ROSA,491,0,12,0,48,77,327,1059,16,732,88
AC,1040,MARECHAL THAUMATURGO,1073,4,174,0,153,1473,1447,4782,26,3335,432
AC,1058,BRASILEIA,4548,12,1108,4,939,2257,2400,12234,171,9834,795
AC,1066,PORTO WALTER,1130,5,106,0,144,1137,1203,4134,36,2931,373
AC,1074,CRUZEIRO DO SUL,8362,45,7401,3,3971,7667,10024,40270,408,30246,2389
AC,1082,RODRIGUES ALVES,1277,3,350,0,285,1586,1605,5731,59,4126,566
AC,1090,MANCIO LIMA,1903,4,496,0,572,2067,1551,7337,114,5786,630
AC,1104,JORDAO,860,3,69,0,82,468,838,2655,41,1817,294
AC,1112,EPITACIOLANDIA,2559,6,759,1,635,666,1404,6546,88,5142,428
AC,1120,ACRELANDIA,2032,2,503,1,909,1196,1211,6422,82,5211,486
AC,1139,FEIJO,5729,9,862,2,596,1049,3587,12932,121,9345,977
AC,1392,RIO BRANCO,64418,186,22565,27,29103,18209,32498,175346,1496,142848,6844
AC,1457,SENA MADUREIRA,6055,25,1960,1,2233,2654,4373,18961,257,14588,1403
AC,1473,TARAUACA,5894,17,1194,3,707,2080,4572,16628,414,12056,1747
AC,1490,XAPURI,3023,5,884,1,737,1436,2336,9219,97,6883,700
AC,1511,PLACIDO DE CASTRO,2975,11,1393,2,1395,1325,2201,10127,112,7926,713
AC,1538,SENADOR GUIOMARD,4616,8,1698,2,1334,1419,2734,12827,159,10093,857
AC,1554,MANUEL URBANO,1019,5,272,0,372,661,999,3799,54,2800,417
AC,1570,ASSIS BRASIL,1294,2,193,1,303,587,477,3158,30,2681,271
AL,27006,PARIPUEIRA,874,8,831,0,1618,897,415,5451,276,5036,532
AL,27014,AGUA BRANCA,2221,17,1375,1,1412,2420,3112,12076,307,8964,1211
AL,27022,PARICONHA,861,8,953,1,484,1390,1572,6119,155,4547,695
AL,27030,ANADIA,1569,33,1753,4,1520,1845,3562,11991,420,8429,1285
AL,27049,ESTRELA DE ALAGOAS,572,2,692,2,852,2398,2726,8564,220,5838,1100
AL,27057,ARAPIRACA,17517,171,9135,96,14368,29414,19055,100480,2782,81425,7942
AL,27065,JEQUIA DA PRAIA,570,6,508,2,1002,1725,1728,6407,198,4679,668
AL,27073,ATALAIA,2161,25,2759,7,3516,6144,5706,23591,755,17885,2518
AL,27081,CAMPESTRE,639,5,110,0,796,548,1103,3665,97,2562,367
AL,27090,BARRA DE SANTO ANTONIO,1022,9,622,1,1624,713,495,5418,243,4923,689
AL,27111,BARRA DE SAO MIGUEL,478,2,388,0,520,1065,234,3087,81,2853,319
AL,27138,BATALHA,1691,9,1050,1,2275,1119,2017,9212,220,7195,830
AL,27154,BELEM,429,1,201,0,1080,822,726,3896,193,3170,444
AL,27170,BELO MONTE,684,6,817,2,557,525,923,4108,170,3185,424
AL,27197,BOCA DA MATA,2412,28,1524,10,2734,3356,3558,15780,643,12222,1515
AL,27219,BRANQUINHA,900,11,206,0,931,1548,1587,6080,201,4493,696
AL,27235,CACIMBINHAS,640,7,557,1,549,2321,1362,6203,168,4841,598
AL,27251,CAJUEIRO,1365,11,1404,2,1379,2730,2404,11021,343,8617,1383
AL,27278,CAMPO ALEGRE,1814,27,2223,2,4321,1618,5079,17608,565,12529,1959
AL,27294,CAMPO GRANDE,750,2,704,0,1027,1188,532,4889,175,4357,511
AL,27316,CANAPI,1965,9,498,1,906,3260,2737,10691,263,7954,1052
AL,27332,CAPELA,1142,9,802,3,1645,3358,2498,11062,384,8564,1221
AL,27359,CARNEIROS,981,4,1014,1,208,417,618,3796,55,3178,498
AL,27375,CHA PRETA,585,5,477,1,444,1483,299,4127,212,3828,621
AL,27391,COITE DO NOIA,743,6,1340,5,845,1170,1762,6927,249,5165,807
AL,27413,COLONIA LEOPOLDINA,1881,17,1215,5,2372,1301,3041,11425,489,8384,1104
AL,27430,COQUEIRO SECO,628,5,396,0,550,484,294,2803,142,2509,304
AL,27456,CORURIPE,3978,36,4426,4,6375,4514,6675,29641,809,22966,2824
AL,27472,DELMIRO GOUVEIA,9753,28,1552,3,2721,4604,7114,29089,1003,21975,2311
AL,27499,DOIS RIACHOS,657,1,1290,1,1168,1255,1598,6938,92,5340,876
AL,27510,FEIRA GRANDE,1832,14,1540,5,1628,2305,2794,12131,532,9337,1481
AL,27537,FELIZ DESERTO,223,2,379,0,360,710,234,2225,76,1991,241
AL,27553,FLEXEIRAS,337,4,252,0,846,2658,634,5595,114,4961,750
AL,27570,GIRAU DO PONCIANO,1855,31,2582,8,4130,2330,4664,18166,483,13502,2083
AL,27596,IBATEGUARA,1183,3,116,0,857,2094,2666,8273,397,5607,957
AL,27618,IGACI,1536,27,2492,3,1705,3504,4841,16258,625,11417,1525
AL,27634,IGREJA NOVA,2369,19,568,4,1813,3104,3381,13664,931,10283,1475
AL,27650,INHAPI,2434,4,404,2,741,2423,2630,10053,303,7423,1112
AL,27677,JACARE DOS HOMENS,1111,8,483,2,476,615,715,3917,82,3202,425
AL,27693,JACUIPE,709,2,354,1,725,857,1021,4273,123,3252,481
AL,27715,JAPARATINGA,433,4,195,0,1482,494,1012,4137,197,3125,320
AL,27731,JARAMATAIA,587,7,178,0,427,1062,708,3534,100,2826,465
AL,27758,JOAQUIM GOMES,1432,18,697,2,2097,2200,3784,12189,353,8405,1606
AL,27774,JUNDIA,254,3,593,1,612,329,288,2532,76,2244,376
AL,27790,JUNQUEIRO,2439,23,635,1,2053,4026,3824,15025,459,11201,1565
AL,27812,LAGOA DA CANOA,1427,21,1058,3,1516,2256,2902,10658,342,7756,1133
AL,27839,LIMOEIRO DE ANADIA,1439,12,3187,3,1771,1766,3377,13942,561,10565,1826
AL,27855,MACEIO,123450,1616,47497,101,93043,54671,70874,416017,7561,345143,17204
AL,27871,MAJOR ISIDORO,1012,8,2255,2,1460,2315,3111,11709,375,8598,1171
AL,27898,MARAGOGI,1626,12,536,1,2412,2471,2449,11280,611,8831,1162
AL,27910,MARAVILHA,514,7,864,0,663,2226,2174,7416,189,5242,779
AL,27936,MARECHAL DEODORO,3042,36,2468,2,3532,4236,3812,19917,858,16105,1931
AL,27952,MARIBONDO,1371,25,1323,2,1570,2041,2364,10053,454,7689,903
AL,27979,MAR VERMELHO,354,3,264,0,220,965,207,2391,89,2184,289
AL,27995,MATA GRANDE,2260,1,1879,3,782,3450,3329,14585,912,11256,1969
AL,28010,MATRIZ DE CAMARAGIBE,1622,6,644,2,3857,2340,3599,13530,369,9931,1091
AL,28037,MESSIAS,972,23,588,1,2207,1392,1891,8287,244,6396,969
AL,28053,MINADOR DO NEGRAO,414,11,491,0,319,1059,869,3743,112,2874,468
AL,28070,MONTEIROPOLIS,735,5,891,2,511,651,952,4352,163,3400,442
AL,28096,MURICI,1963,12,1532,1,2690,3098,1343,12703,347,11360,1717
AL,28118,NOVO LINO,540,4,831,0,1512,1185,582,5475,194,4893,627
AL,28134,OLHO D AGUA DAS FLORES,1911,18,1118,4,1068,3105,2596,11211,298,8615,1093
AL,28150,OLHO D AGUA DO CASADO,999,5,305,0,392,1403,1105,4916,100,3811,607
AL,28177,OLHO D AGUA GRANDE,286,0,490,0,285,966,830,3345,79,2515,409
AL,28193,OLIVENCA,656,5,498,2,556,2672,1556,6893,100,5337,848
AL,28215,OURO BRANCO,462,3,487,0,478,2468,1608,6332,142,4724,684
AL,28231,PALESTINA,676,9,592,0,252,385,202,2534,55,2332,363
AL,28258,PALMEIRA DOS INDIOS,6995,88,4840,8,6090,8460,9107,40149,1144,31042,3417
AL,28274,PAO DE ACUCAR,3381,19,982,2,1561,3501,3271,14681,285,11410,1679
AL,28290,PASSO DE CAMARAGIBE,793,3,545,1,2588,1311,1836,8243,394,6407,772
AL,28312,PAULO JACINTO,670,9,469,2,742,1237,288,4061,173,3773,471
AL,28339,PENEDO,7632,58,3092,3,3857,5171,6957,29820,811,22863,2239
AL,28355,PIACABUCU,1939,37,881,2,1626,1748,2936,10501,338,7565,994
AL,28371,PILAR,2809,26,2714,8,3001,4245,4818,20339,829,15521,1889
AL,28398,PINDOBA,136,1,58,1,254,864,108,1569,22,1461,125
AL,28410,PIRANHAS,2445,9,723,4,704,3022,3118,11768,255,8650,1488
AL,28436,POCO DAS TRINCHEIRAS,1093,6,1305,2,687,1916,1980,7935,109,5955,837
AL,28452,PORTO CALVO,2020,13,1186,4,3147,3525,4057,16068,552,12011,1564
AL,28479,PORTO DE PEDRAS,457,5,529,2,1513,803,1228,5122,226,3894,359
AL,28495,PORTO REAL DO COLEGIO,1539,32,1233,4,1541,2520,2854,11618,792,8764,1103
AL,28517,QUEBRANGULO,1123,8,1063,2,867,2011,641,6897,385,6256,797
AL,28533,RIO LARGO,7484,73,3864,8,9866,5338,7218,37469,1088,30251,2530
AL,28550,ROTEIRO,359,3,92,0,721,960,1374,4155,121,2781,525
AL,28576,SANTA LUZIA DO NORTE,844,10,399,1,943,834,939,4490,143,3551,377
AL,28592,SANTANA DO IPANEMA,3865,25,2959,2,3211,6587,5112,24798,652,19686,2385
AL,28614,SANTANA DO MUNDAU,623,4,307,2,822,2105,830,5715,170,4885,852
AL,28630,SAO BRAS,821,9,197,3,651,909,378,3742,298,3364,476
AL,28657,SAO JOSE DA LAJE,1481,23,1177,5,1992,2796,848,10108,375,9260,1411
AL,28673,SAO JOSE DA TAPERA,1579,24,1395,2,1338,4341,4319,15301,460,10982,1843
AL,28690,SAO LUIS DO QUITUNDE,2601,8,1021,1,4140,2657,4227,17702,941,13475,2106
AL,28711,SAO MIGUEL DOS CAMPOS,5926,66,1758,9,6064,4935,2213,24311,681,22098,2659
AL,28738,SAO MIGUEL DOS MILAGRES,529,4,247,0,845,963,368,3550,241,3182,353
AL,28754,SAO SEBASTIAO,2233,23,967,9,1480,5888,5160,18664,965,13504,1939
AL,28770,SATUBA,1538,37,983,6,1644,751,1294,7059,291,5765,515
AL,28797,TANQUE D ARCA,332,6,292,0,753,1093,1471,4579,223,3108,409
AL,28819,TAQUARANA,718,9,1962,2,1254,2092,2360,9848,233,7488,1218
AL,28835,TRAIPU,1733,12,647,3,2249,5223,3765,15603,300,11838,1671
AL,28851,UNIAO DOS PALMARES,5973,79,2328,6,5434,5123,8904,32051,1077,23147,3127
AL,28878,VICOSA,3644,29,1515,1,2293,2881,3687,16605,652,12918,1903
AL,28894,CRAIBAS,1467,15,1885,1,1446,2849,3272,12666,399,9394,1332
AL,28916,SENADOR RUI PALMEIRA,664,4,1812,2,397,476,1247,5391,106,4144,683
AL,28932,SENADOR TEOTONIO VILELA,2358,33,1410,5,4447,4140,6952,22108,649,15156,2114
AM,2003,APUI,1456,9,497,0,642,1140,3242,7425,76,4183,363
AM,2011,NOVO AYRAO,1369,13,421,0,663,1085,1713,5685,79,3972,342
AM,2020,GUAJARA,1105,5,1173,0,465,763,3985,8156,97,4171,563
AM,2038,ANORI,963,6,995,2,980,1101,1834,6418,65,4584,472
AM,2046,CAREIRO DA VARZEA,2226,23,1366,1,1949,1789,2842,11072,87,8230,789
AM,2054,ATALAIA DO NORTE,553,1,481,1,513,274,1282,3468,36,2186,327
AM,2070,AUTAZES,2214,7,1101,0,1711,2887,4234,12994,134,8760,706
AM,2097,BARCELOS,1057,4,484,0,564,1491,1713,5626,35,3913,278
AM,2119,BARREIRINHA,3134,23,1223,0,881,2508,2903,11628,112,8725,844
AM,2135,BENJAMIN CONSTANT,4106,3,1134,3,1157,1915,3832,13460,170,9628,1140
AM,2151,BOCA DO ACRE,2198,15,1054,5,2290,2358,5008,14045,198,9037,919
AM,2178,BORBA,2722,19,1739,1,1365,1913,4006,12972,143,8966,1064
AM,2194,CANUTAMA,728,7,369,0,872,545,1526,4397,71,2871,279
AM,2216,CARAUARI,2350,3,1061,4,753,2654,4823,12753,119,7930,986
AM,2232,CAREIRO,3367,18,1330,1,2340,1382,4432,14114,194,9682,1050
AM,2259,COARI,9776,33,3800,0,2856,1693,8430,28427,203,19997,1636
AM,2275,CODAJAS,1621,14,1598,2,2088,829,3523,10315,107,6792,533
AM,2291,EIRUNEPE,2295,23,1502,1,1200,1443,5262,13353,457,8091,1170
AM,2313,ENVIRA,678,6,889,1,839,1117,3661,7826,68,4165,567
AM,2330,FONTE BOA,1600,7,1578,0,1009,1213,3141,9316,99,6175,669
AM,2356,HUMAITA,3712,43,2197,3,3724,2102,3019,15929,295,12910,834
AM,2372,SANTA ISABEL DO RIO NEGRO,516,1,929,0,245,675,1661,4433,52,2772,354
AM,2399,IPIXUNA,845,4,620,0,489,1345,3425,7268,87,3843,453
AM,2410,ITACOATIARA,19219,45,5956,2,4894,3816,11034,46382,309,35348,1107
AM,2437,ITAPIRANGA,1312,6,610,0,538,607,934,4261,30,3327,224
AM,2453,JAPURA,147,0,180,0,311,396,1027,2213,16,1186,136
AM,2470,JURUA,157,2,1087,0,369,349,1545,3898,26,2353,363
AM,2496,JUTAI,649,4,1082,2,578,1229,2468,6711,83,4243,616
AM,2518,LABREA,3978,15,1515,4,1764,1085,5714,15418,177,9704,1166
AM,2534,MANACAPURU,10739,77,3345,6,9224,4568,10955,41539,292,30584,2333
AM,2550,MANAUS,362024,4379,84289,227,167377,70515,124884,844789,8310,719905,22784
AM,2577,MANICORE,2390,27,2409,2,1279,4245,5248,17236,216,11988,1420
AM,2593,MARAA,908,3,804,1,410,393,2786,5705,47,2919,353
AM,2615,MAUES,9182,28,1981,2,1340,2207,6506,22939,223,16433,1470
AM,2631,NHAMUNDA,1695,14,971,1,467,3241,2601,9603,76,7002,537
AM,2658,NOVA OLINDA DO NORTE,1716,15,1286,1,973,2410,3583,10862,120,7279,758
AM,2674,NOVO ARIPUANA,1049,5,1235,1,1342,1119,2871,8369,147,5498,600
AM,2690,PARINTINS,14005,85,5838,5,3628,8315,10048,44346,534,34298,1888
AM,2712,PAUINI,960,2,472,0,905,1086,3222,7214,125,3992,442
AM,2739,SANTO ANTONIO DO ICA,689,8,516,0,528,2304,2510,7544,133,5034,856
AM,2755,SAO PAULO DE OLIVENCA,2137,10,644,0,613,2635,1479,8207,170,6728,519
AM,2771,SILVES,2471,6,241,1,397,280,951,4617,59,3666,211
AM,2798,TAPAUA,375,3,765,0,1621,1458,2188,6933,107,4745,416
AM,2810,TEFE,6965,35,2691,3,4044,1896,11443,28721,210,17278,1434
AM,2836,SAO GABRIEL DA CACHOEIRA,5263,17,2054,2,684,1232,6018,16670,257,10652,1143
AM,2852,URUCARA,3185,5,349,3,576,1070,2057,7716,77,5659,394
AM,2879,URUCURITUBA,3065,9,470,1,813,720,1963,7561,104,5598,416
AM,2895,ALVARAES,1791,7,789,0,603,364,1745,5758,46,4013,413
AM,2917,AMATURA,374,1,671,0,358,470,1003,3295,92,2292,326
AM,2933,ANAMA,821,7,367,0,441,1202,1587,4731,37,3144,269
AM,2950,BERURI,489,3,444,0,707,1370,1059,4553,29,3494,452
AM,2976,BOA VISTA DE RAMOS,2664,2,451,0,341,511,1852,6248,80,4396,347
AM,2992,CAAPIRANGA,854,2,384,1,930,578,1877,4888,45,3011,217
AM,98353,IRANDUBA,4662,37,1310,1,2685,2003,1869,13704,178,11835,959
AM,98370,ITAMARATI,235,2,473,0,609,243,1699,3654,35,1955,358
AM,98396,MANAQUIRI,1703,2,777,0,1917,781,2079,7888,106,5809,523
AM,98418,PRESIDENTE FIGUEIREDO,4688,21,2106,0,1505,705,3344,13082,165,9738,548
AM,98434,RIO PRETO DA EVA,2281,17,1352,1,977,828,2229,8212,92,5983,435
AM,98450,SAO SEBASTIAO DO UATUMA,729,2,272,0,562,928,1024,3757,43,2733,197
AM,98477,TABATINGA,3077,11,1436,2,2189,2980,4007,15392,225,11385,1465
AM,98493,UARINI,502,9,297,1,511,900,1788,4251,53,2463,190
AM,98515,TONANTINS,505,6,672,1,402,884,1725,4780,66,3055,519
AP,6009,PRACUUBA,304,3,246,0,379,68,92,1180,8,1088,80
AP,6017,AMAPA,1472,17,659,1,965,225,577,4189,29,3612,244
AP,6025,PORTO GRANDE,1827,17,767,1,1080,428,338,4826,46,4488,322
AP,6033,CALCOENE,1213,9,683,0,1017,254,741,4191,37,3450,237
AP,6041,ITAUBAL,637,3,159,0,630,148,112,1806,9,1694,108
AP,6050,MACAPA,71135,846,22491,40,36406,11305,24554,174593,1080,150039,6736
AP,6068,CUTIAS,688,2,112,1,760,117,449,2286,10,1837,147
AP,6076,MAZAGAO,3374,18,834,2,1321,713,1151,7997,49,6846,535
AP,6084,AMAPARI,769,3,145,1,347,289,186,1854,13,1668,101
AP,6092,OIAPOQUE,2965,10,669,2,1038,719,2203,8121,92,5918,423
AP,6106,SERRA DO NAVIO,786,3,222,0,421,103,177,1803,10,1626,81
AP,6114,FERREIRA GOMES,941,8,325,0,633,145,379,2652,17,2273,204
AP,6122,VITORIA DO JARI,2331,5,195,2,1010,649,1013,5599,53,4586,341
AP,6130,LARANJAL DO JARI,6309,46,1886,3,3745,1550,3349,18051,251,14702,912
AP,6157,SANTANA,20773,135,3992,9,10181,3320,6101,46528,285,40427,1732
AP,6173,TARTARUGALZINHO,983,9,622,0,1093,504,837,4425,28,3588,349
BA,30007,LUIS EDUARDO MAGALHAES,5045,25,2551,3,1130,1784,3070,14842,227,11772,1007
BA,30058,EUNAPOLIS,13442,56,3121,18,6968,5254,13386,47303,797,33917,4261
BA,30660,IUIU,2154,4,469,0,133,1030,2125,7008,164,4883,929
BA,30678,JABORANDI,1283,6,230,0,156,2131,1799,6990,417,5191,968
BA,30694,JUSSARI,1165,5,656,1,497,403,1972,5467,71,3495,697
BA,30716,AMERICA DOURADA,2720,19,990,3,800,1483,2964,11138,353,8174,1806
BA,30732,ARATACA,992,4,431,4,866,1125,3511,7969,145,4458,891
BA,30759,BARRO ALTO,2139,12,854,2,399,1579,2327,8675,230,6348,1133
BA,30775,BARROCAS,2750,10,2347,2,534,608,2322,9940,196,7618,1171
BA,30791,BURITIRAMA,1879,2,2379,2,307,1788,2750,11610,117,8860,2386
BA,30813,CAPELA DO ALTO ALEGRE,1900,12,670,6,856,1426,2634,9186,332,6552,1350
BA,30830,CAPIM GROSSO,5014,23,2051,11,1376,2334,5251,18974,592,13723,2322
BA,30856,CANUDOS,2475,10,1085,3,277,2407,2183,9837,150,7654,1247
BA,30872,DIAS D AVILA,14654,50,2354,10,2829,1182,7691,31528,568,23837,2190
BA,30899,FATIMA,2719,20,1491,3,364,1931,2645,11370,445,8725,1752
BA,30910,FILADELFIA,2475,6,1636,3,858,1354,2589,10902,324,8313,1657
BA,30937,GAVIAO,967,6,561,2,301,421,642,3734,281,3092,553
BA,30953,GUAJERU,800,4,819,3,188,1095,1991,6329,170,4338,1259
BA,30970,HELIOPOLIS,2294,14,600,1,337,1576,2398,9146,301,6748,1625
BA,30996,JOAO DOURADO,2652,18,953,6,1670,2412,1897,11302,311,9405,1383
BA,33014,ABAIRA,794,13,247,2,248,2423,1800,6732,192,4932,1013
BA,33030,ABARE,2453,17,1189,0,767,1417,1942,9982,255,8040,1942
BA,33057,ACAJUTIBA,3106,13,1709,3,578,541,2743,10140,225,7397,1222
BA,33065,ADUSTINA,1824,21,1848,4,347,1200,2357,9442,227,7085,1614
BA,33073,AGUA FRIA,2632,15,1625,3,733,643,3741,11529,322,7788,1815
BA,33090,ERICO CARDOSO,1155,4,342,4,281,1740,2631,7989,282,5358,1550
BA,33111,AIQUARA,1126,8,142,2,657,248,1798,4803,156,3005,666
BA,33138,ALAGOINHAS,33398,515,6222,39,12202,4949,18126,83302,1751,65176,6100
BA,33154,ALCOBACA,3772,26,643,7,926,1102,4427,12948,333,8521,1712
BA,33170,ALMADINA,1970,2,448,0,292,319,2231,5808,46,3577,500
BA,33197,AMARGOSA,7427,22,1367,4,2130,1774,7638,23817,501,16179,2954
BA,33219,AMELIA RODRIGUES,6022,60,1760,7,1848,1105,4442,17735,679,13293,1812
BA,33235,ANAGE,4235,18,1863,4,847,4245,7481,22376,533,14895,3150
BA,33251,ANDARAI,2565,5,653,6,314,973,2275,8710,222,6435,1697
BA,33260,ANDORINHA,4518,7,569,4,255,689,2283,9789,296,7506,1168
BA,33278,ANGICAL,3208,10,604,0,236,2599,2452,10683,205,8231,1369
BA,33294,ANGUERA,2646,15,463,2,804,597,1383,7441,480,6058,1051
BA,33316,ANTAS,2104,20,971,3,415,1795,1537,8475,393,6938,1237
BA,33332,ANTONIO CARDOSO,3869,13,1214,3,407,470,1289,8984,333,7695,1386
BA,33359,ANTONIO GONCALVES,2079,9,754,3,523,986,2206,7917,145,5711,1212
BA,33375,APORA,2100,16,1307,6,290,1599,3417,10864,351,7447,1778
BA,33383,ARACAS,2503,15,746,5,329,470,1981,7242,206,5261,987
BA,33391,ARACATU,1257,8,1087,3,407,2207,2936,9930,267,6994,1758
BA,33405,APUAREMA,922,6,110,2,773,1022,2075,5968,131,3893,927
BA,33413,ARACI,6817,39,3258,9,1010,3879,8373,30632,1814,22259,5433
BA,33430,ARAMARI,2549,24,709,3,637,471,1783,7578,195,5795,1207
BA,33456,ARATUIPE,1234,9,210,3,705,995,1793,6156,145,4363,1062
BA,33472,AURELINO LEAL,1932,12,703,3,1061,862,4084,10061,188,5977,1216
BA,33499,BAIANOPOLIS,1691,8,569,4,506,2036,2216,8970,568,6754,1372
BA,33510,BAIXA GRANDE,3233,36,913,8,787,2528,4606,14747,553,10141,2083
BA,33529,BANZAE,2128,10,1209,2,324,1448,2576,9587,253,7011,1637
BA,33537,BARRA,5962,29,4151,8,1160,3829,6858,26214,571,19356,3646
BA,33553,BARRA DA ESTIVA,2596,4,420,2,442,4337,2952,13287,380,10335,2154
BA,33570,BARRA DO CHOCA,4172,13,814,12,1213,3575,5724,19003,437,13279,3043
BA,33596,BARRA DO MENDES,4014,28,1012,7,219,1182,4042,12046,371,8004,1171
BA,33618,BARRA DO ROCHA,1228,4,192,1,766,361,2743,6079,190,3336,594
BA,33634,BARREIRAS,29948,97,6981,11,5518,4765,14565,68311,1192,53746,5234
BA,33650,GOVERNADOR LOMANTO JUNIOR,1289,14,507,3,485,549,1989,5698,113,3709,749
BA,33677,BELMONTE,2523,19,1187,6,1824,1194,6041,14716,310,8675,1612
BA,33693,BELO CAMPO,2302,6,1456,7,750,1427,3038,11237,334,8199,1917
BA,33715,BIRITINGA,2323,17,1292,2,574,1031,2762,10471,461,7709,2009
BA,33731,BOA NOVA,1762,8,617,6,258,2219,3733,10866,620,7133,1643
BA,33758,BOA VISTA DO TUPIM,2423,11,1653,3,346,2364,3640,12681,194,9041,2047
BA,33774,BOM JESUS DA LAPA,9430,47,1952,13,1843,6244,11002,34846,869,23844,3446
BA,33782,BOM JESUS DA SERRA,978,7,946,2,173,1162,1758,6159,83,4401,1050
BA,33790,BONINAL,1755,18,398,3,273,2131,2403,8759,253,6356,1525
BA,33804,BONITO,1752,8,383,2,294,1806,2045,7750,177,5705,1283
BA,33812,BOQUIRA,3917,10,1018,3,387,2683,4603,15627,399,11024,2607
BA,33839,BOTUPORA,1934,13,1218,2,188,518,2179,7647,202,5468,1393
BA,33855,BREJOES,2337,7,255,3,640,1710,2697,9355,241,6658,1465
BA,33871,BREJOLANDIA,1449,5,975,1,241,1382,1866,7137,235,5271,983
BA,33898,BROTAS DE MACAUBAS,2586,14,1958,4,183,546,2762,9331,136,6569,1142
BA,33910,BRUMADO,14630,56,2012,11,1929,7632,9448,41620,1117,32172,4785
BA,33936,BUERAREMA,3630,30,1908,3,1330,1521,5099,15605,269,10506,1815
BA,33952,CAATIBA,1118,3,501,2,320,953,2177,6402,195,4225,1133
BA,33960,CABACEIRAS DO PARAGUACU,1555,6,923,5,438,2107,2466,9637,280,7171,1857
BA,33979,CACHOEIRA,8201,50,1494,9,2273,1324,5542,21968,599,16426,2476
BA,33995,CACULE,3804,22,743,8,259,3220,3954,14327,354,10373,1963
BA,34010,CAEM,2800,14,835,4,435,809,3192,10040,244,6848,1707
BA,34029,CAETANOS,704,6,133,2,85,2421,1992,6715,164,4723,1208
BA,34037,CAETITE,7620,51,2953,12,1082,6796,8371,32193,775,23822,4533
BA,34053,CAFARNAUM,1630,9,969,3,773,2312,2761,10155,224,7394,1474
BA,34070,CAIRU,1580,6,568,2,1241,830,1259,6660,241,5401,933
BA,34096,CALDEIRAO GRANDE,1438,5,451,0,121,1261,2137,6867,222,4730,1232
BA,34118,CAMACAN,5684,43,1367,5,2320,1464,8203,21920,534,13717,2300
BA,34134,CAMACARI,56220,261,10122,36,12074,3780,22645,115818,2597,93173,8083
BA,34150,CAMAMU,3200,22,1241,13,1794,2555,6972,18901,494,11929,2610
BA,34177,CAMPO ALEGRE DE LOURDES,5106,16,2485,4,743,1427,5283,17833,386,12550,2383
BA,34193,CAMPO FORMOSO,10252,45,3689,19,2469,6629,10731,43343,2132,32612,7377
BA,34215,CANAPOLIS,1715,4,636,2,210,1232,1806,7218,225,5412,1388
BA,34231,CANARANA,3765,35,959,4,774,2900,4068,14829,445,10761,1879
BA,34258,CANAVIEIRAS,5828,27,1474,7,3173,1700,9146,24268,481,15122,2432
BA,34274,CANDEAL,2575,6,1035,0,480,683,1664,7872,290,6208,1139
BA,34290,CANDEIAS,27970,115,1558,12,5303,1468,10876,51418,1012,40542,3104
BA,34312,CANDIBA,2568,14,599,5,447,1543,2410,9575,563,7165,1426
BA,34339,CANDIDO SALES,3322,17,2385,12,1542,1804,5785,18249,656,12464,2726
BA,34355,CANSANCAO,5210,23,1613,9,1342,3334,5922,21451,996,15529,3002
BA,34363,CARAIBAS,1381,2,933,4,247,1246,4262,9456,135,5194,1246
BA,34371,CARAVELAS,4149,34,519,0,1028,1146,4770,13866,382,9096,1838
BA,34398,CARDEAL DA SILVA,1903,6,441,2,153,300,1616,5266,109,3650,736
BA,34410,CARINHANHA,5702,17,2102,3,582,1086,4474,16285,237,11811,2082
BA,34436,CASA NOVA,11663,48,4696,12,2356,3271,9495,38869,1341,29374,5987
BA,34452,CASTRO ALVES,5609,22,1618,10,1261,2822,5814,20553,630,14739,2767
BA,34479,CATOLANDIA,626,1,579,0,59,245,364,2352,138,1988,340
BA,34495,CATU,16886,100,1794,8,4570,1548,6725,35737,1099,29012,3007
BA,34509,CATURAMA,1265,11,602,2,225,1205,1968,6621,276,4653,1067
BA,34517,CENTRAL,4422,11,1139,5,863,1131,1759,11232,322,9473,1580
BA,34533,CHORROCHO,1968,3,893,1,325,1181,1637,7416,130,5779,1278
BA,34550,CICERO DANTAS,5964,47,2636,4,1101,2723,6163,23418,1143,17255,3637
BA,34576,CIPO,2657,11,1017,2,816,1476,3323,11144,304,7821,1538
BA,34592,COARACI,4270,17,1416,2,1726,1946,6354,18035,271,11681,2033
BA,34614,COCOS,1526,7,422,2,1046,2277,3308,11320,866,8012,1866
BA,34630,CONCEICAO DA FEIRA,5113,17,702,4,1280,594,2468,11950,559,9482,1213
BA,34657,CONCEICAO DO ALMEIDA,4448,13,1459,5,736,907,2575,12201,380,9626,1678
