SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
ES,56910,SANTA TERESA,0,719,571,386,634,7119,0,1,0,122,0,169,67,15,11,1,0,1,11,2,15,767,22,0,730,35,0,46,0,2559,16778,1235,14219,522
ES,56936,SÃO GABRIEL DA PALHA,0,222,1008,1426,1337,8728,0,4,0,177,0,451,14,1,56,0,0,1,20,2,2,1169,4,0,398,56,0,98,4,3942,21536,1017,17594,305
ES,56952,SÃO JOSÉ DO CALÇADO,0,78,244,502,222,1821,0,1,0,142,0,585,14,20,2,0,0,0,7,0,5,554,4,0,1535,4,0,0,0,1528,8632,469,7104,245
ES,56979,SÃO MATEUS,0,29198,7747,1503,1034,1960,0,2,0,211,0,1388,70,18,887,0,3,0,21,3,12,1264,17,0,419,88,0,89,2,13180,65034,1890,51854,816
ES,56995,SERRA,0,7270,90459,14259,2924,11304,0,160,0,4007,0,6190,2201,540,65,9,63,355,189,149,539,6754,622,0,6973,1405,0,134,6,33758,222031,11980,188273,5484
ES,57010,VIANA,0,1019,5101,1995,593,7683,0,28,0,749,0,1505,285,58,15,0,13,6,92,98,195,1272,65,0,4950,110,0,35,0,5217,37298,2162,32081,1578
ES,57037,VILA VELHA,0,5598,27350,13602,5666,33471,0,350,0,5712,0,22351,5485,553,161,22,103,99,2633,123,3258,16348,926,0,19974,3137,0,680,25,39704,258441,14635,218737,22892
ES,57053,VITÓRIA,0,7702,19401,16070,6145,29179,0,314,0,7320,0,6557,14868,633,126,9,113,84,382,203,755,12635,2155,0,39978,3581,0,258,9,36086,237554,12523,201468,8255
ES,57070,MARILÂNDIA,0,19,159,143,773,3731,0,0,0,111,0,91,6,0,0,0,0,10,8,10,11,583,4,0,92,8,0,90,0,979,8304,672,7325,255
ES,57096,IBATIBA,0,54,1179,250,180,2913,0,2,0,183,0,3061,10,62,0,0,0,1,8,1,0,2543,12,0,781,4,0,0,0,2990,15852,497,12862,276
ES,57118,RIO BANANAL,0,218,1228,1116,1913,3110,0,4,0,159,0,130,10,0,2,0,0,0,0,48,3,718,8,0,63,4,0,10,67,2680,13313,854,10633,178
ES,57134,JAGUARÉ,0,1104,664,862,3143,3427,0,4,0,87,0,428,7,19,51,0,0,0,1,0,2,489,5,0,547,12,0,6,9,2707,16265,1298,13558,260
ES,57150,PEDRO CANÁRIO,0,836,853,417,554,3485,0,1,0,480,0,889,39,7,14,0,1,0,88,2,0,610,13,0,961,47,0,47,0,3049,14732,792,11683,362
ES,57916,LARANJA DA TERRA,0,16,150,97,108,5654,0,3,0,15,0,79,2,3,2,0,0,0,0,0,2,324,5,0,40,1,0,2,0,1306,8757,286,7451,153
ES,57932,SANTA MARIA DO JETIBÁ,0,89,281,777,983,12944,0,1,0,113,0,236,43,5,2,0,0,0,5,85,2,137,31,0,1190,46,0,12,2,2313,21620,985,19307,280
ES,57959,VARGEM ALTA,0,15,346,404,206,6329,0,0,0,155,0,157,12,5,31,0,0,0,2,5,1,185,11,0,650,11,0,0,0,2271,12646,775,10375,272
ES,57975,VENDA NOVA DO IMIGRANTE,0,87,213,226,144,7265,0,1,0,102,0,289,27,3,5,0,0,3,19,1,9,203,33,0,389,64,0,7,0,2139,13272,886,11133,355
ES,57991,ÁGUIA BRANCA,0,39,415,609,383,2889,0,1,0,46,0,227,2,9,12,1,0,0,13,13,0,349,2,0,199,1,0,90,0,1764,7850,290,6086,105
GO,92010,ABADIÂNIA,0,1162,6,485,1899,1041,0,0,4,307,0,161,7,225,0,12,0,0,0,0,23,36,5,1,500,4,16,16,0,1797,9099,505,7302,178
GO,92029,BONFINÓPOLIS,0,262,17,193,344,951,0,0,0,51,0,103,2,358,0,0,0,0,4,0,1,17,5,0,1683,11,1,9,0,1134,5825,160,4691,112
GO,92037,ÁGUA LIMPA,0,15,0,75,117,498,0,0,0,3,0,320,4,49,0,0,0,0,0,0,0,4,0,0,409,1,1,1,0,322,1974,33,1652,19
GO,92053,ALEXÂNIA,0,488,6,594,1137,3529,0,0,0,193,0,686,85,1027,1,3,0,0,0,3,2,41,10,14,2241,676,7,27,0,3434,16644,836,13210,366
GO,92061,CAMPOS VERDES,0,72,0,63,288,1000,0,0,0,19,0,63,3,1334,1,1,0,0,1,0,0,4,0,2,833,0,0,0,0,1244,5369,43,4125,53
GO,92096,ALOÂNDIA,0,7,0,14,3,611,0,0,0,2,0,39,0,32,0,0,0,0,0,0,1,4,1,0,626,0,0,3,0,177,1734,43,1557,25
GO,92100,CEZARINA,0,830,17,138,233,1008,0,0,2,123,0,930,2,229,0,0,0,0,0,1,17,23,0,7,1206,4,9,6,0,1164,6680,183,5516,161
GO,92118,ALTO PARAÍSO DE GOIÁS,0,9,2,93,419,863,0,0,0,6,0,41,3,50,0,0,0,0,1,0,0,79,109,1,1020,7,12,125,0,1229,4606,96,3377,121
GO,92126,COLINAS DO SUL,0,14,2,17,570,314,0,0,0,2,0,677,0,59,0,3,0,0,0,0,0,18,0,0,153,5,4,18,0,561,2697,26,2136,34
GO,92150,ALVORADA DO NORTE,0,35,0,193,66,1446,0,0,0,11,0,135,9,1970,0,0,0,0,0,0,0,0,1,0,117,2,0,0,0,1550,6285,150,4735,96
