SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27057,ARAPIRACA,0,68462,0,22026,0,0,0,0,480,0,0,0,0,308,0,0,0,0,0,0,86028,739,0,0,53059,251930,6345,198871,14483
AL,27065,JEQUIÁ DA PRAIA,0,2938,0,2453,0,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,4364,25,0,0,5066,16148,334,11082,941
AL,27073,ATALAIA,0,11381,0,7060,0,0,0,0,56,0,0,0,0,85,0,0,0,0,0,0,19092,138,0,0,16279,59577,1365,43298,4121
AL,27081,CAMPESTRE,0,3689,0,371,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1849,14,0,0,1644,8574,253,6930,747
AL,27090,BARRA DE SANTO ANTÔNIO,0,4746,0,1392,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,5441,52,0,0,1746,15094,579,13348,1108
AL,27111,BARRA DE SÃO MIGUEL,0,1432,0,891,0,0,0,0,29,0,0,0,0,21,0,0,0,0,0,0,5091,37,0,0,2122,10438,209,8316,606
AL,27138,BATALHA,0,5041,0,1399,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,0,8301,45,0,0,5461,22152,349,16691,1527
AL,27154,BELÉM,0,3387,0,668,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,1928,22,0,0,2793,9726,249,6933,667
AL,27170,BELO MONTE,0,3513,0,743,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,1757,20,0,0,2566,9350,141,6784,597
AL,27197,BOCA DA MATA,0,7670,0,5112,0,0,0,0,22,0,0,0,0,44,0,0,0,0,0,0,12067,126,0,0,10967,39948,1345,28981,2595
AL,27219,BRANQUINHA,0,2177,0,1291,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,4994,47,0,0,2049,12106,331,10057,1202
AL,27235,CACIMBINHAS,0,3869,0,415,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,5149,69,0,0,2830,13646,169,10816,1131
AL,27251,CAJUEIRO,0,5818,0,1654,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0,10136,69,0,0,7628,28024,732,20396,1952
AL,27278,CAMPO ALEGRE,0,8040,0,7033,0,0,0,0,25,0,0,0,0,43,0,0,0,0,0,0,10865,135,0,0,14140,44479,1189,30339,3009
AL,27294,CAMPO GRANDE,0,4821,0,706,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,4666,46,0,0,3552,15158,372,11606,982
AL,27316,CANAPI,0,7985,0,2667,0,0,0,0,21,0,0,0,0,53,0,0,0,0,0,0,5014,26,0,0,8423,26436,429,18013,1818
AL,27332,CAPELA,0,6016,0,2802,0,0,0,0,31,0,0,0,0,20,0,0,0,0,0,0,7506,53,0,0,7494,26232,604,18738,1706
AL,27359,CARNEIROS,0,2097,0,1061,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3897,25,0,0,3179,11374,179,8195,925
AL,27375,CHÃ PRETA,0,2374,0,1281,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,3652,23,0,0,1177,9722,282,8545,923
AL,27391,COITÉ DO NÓIA,0,4341,0,1369,0,0,0,0,21,0,0,0,0,20,0,0,0,0,0,0,4215,31,0,0,1648,13186,356,11538,1185
AL,27413,COLÔNIA LEOPOLDINA,0,4737,0,1549,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,10285,98,0,0,9430,29516,1175,20086,2219
AL,27430,COQUEIRO SECO,0,1274,0,1344,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,3099,23,0,0,1741,8368,336,6627,524
AL,27456,CORURIPE,0,8132,0,9259,0,0,0,0,61,0,0,0,0,111,0,0,0,0,0,0,28762,145,0,0,20224,73736,2477,53512,4565
AL,27472,DELMIRO GOUVEIA,0,21858,0,3804,0,0,0,0,480,0,0,0,0,19,0,0,0,0,0,0,17821,134,0,0,20005,70689,1731,50684,4837
AL,27499,DOIS RIACHOS,0,4400,0,862,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,5388,25,0,0,5381,17693,256,12312,1367
AL,27510,FEIRA GRANDE,0,7109,0,2902,0,0,0,0,22,0,0,0,0,45,0,0,0,0,0,0,9203,64,0,0,7340,30546,1189,23206,2672
AL,27537,FELIZ DESERTO,0,1067,0,881,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,2131,15,0,0,1705,6480,209,4775,461
AL,27553,FLEXEIRAS,0,1878,0,1671,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,6329,52,0,0,3986,15564,416,11578,1225
AL,27570,GIRAU DO PONCIANO,0,12540,0,6846,0,0,0,0,29,0,0,0,0,40,0,0,0,0,0,0,9229,94,0,0,14295,47518,1057,33223,3388
AL,27596,IBATEGUARA,0,7231,0,863,0,0,0,0,21,0,0,0,0,14,0,0,0,0,0,0,4635,64,0,0,6137,21358,627,15221,1766
AL,27618,IGACI,0,7476,0,4032,0,0,0,0,16,0,0,0,0,20,0,0,0,0,0,0,9846,75,0,0,5844,31124,991,25280,2824
AL,27634,IGREJA NOVA,0,8245,0,3270,0,0,0,0,10,0,0,0,0,34,0,0,0,0,0,0,8436,91,0,0,9405,34219,2037,24814,2691
AL,27650,INHAPI,0,9809,0,1101,0,0,0,0,22,0,0,0,0,7,0,0,0,0,0,0,3341,29,0,0,8178,25237,557,17059,2193
AL,27677,JACARÉ DOS HOMENS,0,1059,0,439,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,4534,22,0,0,2521,9370,116,6849,670
AL,27693,JACUÍPE,0,3357,0,517,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,2763,18,0,0,3109,10780,279,7671,726
AL,27715,JAPARATINGA,0,3241,0,680,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3527,23,0,0,3261,11952,439,8691,770
AL,27731,JARAMATAIA,0,1683,0,1315,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2803,20,0,0,860,7528,186,6668,657
AL,27758,JOAQUIM GOMES,0,3922,0,2258,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,9676,66,0,0,9471,28802,835,19331,2518
AL,27774,JUNDIÁ,0,425,0,204,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4032,13,0,0,2418,7842,177,5424,568
AL,27790,JUNQUEIRO,0,6467,0,4408,0,0,0,0,20,0,0,0,0,27,0,0,0,0,0,0,11926,107,0,0,11315,37582,1206,26267,2106
AL,27812,LAGOA DA CANOA,0,7003,0,2935,0,0,0,0,25,0,0,0,0,58,0,0,0,0,0,0,6445,132,0,0,6627,25832,616,19205,1991
AL,27839,LIMOEIRO DE ANADIA,0,6357,0,4889,0,0,0,0,37,0,0,0,0,7,0,0,0,0,0,0,8598,60,0,0,9660,33234,922,23574,2704
AL,27855,MACEIÓ,0,332025,0,99768,0,0,0,0,5203,0,0,0,0,2918,0,0,0,0,0,0,335806,10530,0,0,203696,1077050,31055,873354,56049
AL,27871,MAJOR ISIDORO,0,7471,0,3265,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,6972,124,0,0,9203,29822,627,20619,2135
AL,27898,MARAGOGI,0,8285,0,3769,0,0,0,0,12,0,0,0,0,69,0,0,0,0,0,0,9108,73,0,0,8893,34865,2181,25972,2475
AL,27910,MARAVILHA,0,2389,0,2127,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,4965,63,0,0,5769,16842,375,11073,1138
AL,27936,MARECHAL DEODORO,0,13371,0,6916,0,0,0,0,155,0,0,0,0,85,0,0,0,0,0,0,20672,227,0,0,14837,61779,1989,46942,3527
AL,27952,MARIBONDO,0,5390,0,2308,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,0,5495,49,0,0,2250,17688,614,15438,1553
AL,27979,MAR VERMELHO,0,2029,0,225,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2238,10,0,0,1377,6536,163,5159,490
AL,27995,MATA GRANDE,0,6267,0,2592,0,0,0,0,25,0,0,0,0,6,0,0,0,0,0,0,10939,49,0,0,11162,34752,941,23590,2771
AL,28010,MATRIZ DE CAMARAGIBE,0,8477,0,3044,0,0,0,0,26,0,0,0,0,17,0,0,0,0,0,0,9283,126,0,0,10646,34318,865,23672,1834
AL,28037,MESSIAS,0,4224,0,3001,0,0,0,0,27,0,0,0,0,12,0,0,0,0,0,0,7788,69,0,0,5947,23394,660,17447,1666
