SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PE,23256,BARRA DE GUABIRABA,30,76,82,46,26,60,1,24,0,2147,1,37,0,7,7,8,0,12,0,0,1366,0,10,48,0,0,0,8,23,1,2381,0,2472,10033,567,7561,196
PE,23264,JATOBÁ,15,308,15,1267,1300,9,0,3,0,5,1,75,0,3,1,6,0,1461,2,0,464,13,4,34,0,0,0,219,3,0,1510,3,2974,11031,530,8057,207
PE,23272,BARREIROS,165,6058,280,575,258,291,3,271,10,1242,33,533,46,172,13,51,0,335,3,0,4478,8,21,1611,7,0,5,76,597,61,34,19,3871,27048,3033,23177,910
PE,23280,TAMANDARÉ,46,314,603,140,93,151,2,55,1,1315,5,200,13,28,5,92,0,55,10,0,6769,11,16,144,4,0,1,12,40,3,30,7,2229,14654,1148,12425,331
PE,23299,BELÉM DE MARIA,16,80,169,204,30,61,0,7,0,27,10,27,5,6,4,3,0,19,15,0,4736,2,7,47,0,0,0,4,66,0,0,0,1714,8749,689,7035,235
PE,23302,JAQUEIRA,42,57,21,2540,71,20,0,31,16,1,2,33,5,23,2,2,0,36,8,0,1799,0,6,240,1,0,0,18,26,1,7,0,2799,9166,641,6367,208
PE,23310,BELÉM DE SÃO FRANCISCO,315,66,20,1155,2518,9,0,3,0,10,13,49,0,4,7,8,0,1717,2,0,4380,26,16,206,5,0,1,91,5,0,1,0,2693,14936,387,12243,337
PE,23329,SANTA FILOMENA,12,16,5,100,2314,7,1,36,0,1118,0,19,6,0,0,0,0,200,2,0,3083,0,10,94,1,0,0,6,2,0,0,0,2539,10591,277,8052,213
PE,23337,BELO JARDIM,573,369,319,3225,3574,274,6,172,0,1068,1,431,17,14195,4,33,0,54,17,0,1172,165,32,5370,26,0,2,159,304,0,35,1,13316,57528,6831,44212,2585
PE,23353,BETÂNIA,11,38,19,47,1237,7,0,8,0,1821,1,819,1,6,0,2,0,39,5,0,1629,2,9,91,1,0,1,15,47,0,8,0,2696,9832,330,7136,183
PE,23370,BEZERROS,151,705,2600,1941,843,1970,8,230,2,1797,17,706,55,88,20,176,0,480,6,6,9288,53,21,371,27,0,0,109,338,5,98,10,10112,46414,8178,36302,3107
PE,23396,BODOCÓ,64,136,139,1216,1569,59,4,43,0,167,1,56,115,2,0,2,0,195,5,0,12100,6,33,169,1,0,0,115,23,0,15,0,5554,25107,1231,19553,621
PE,23418,BOM CONSELHO,129,177,740,2458,987,75,2,4768,1,289,2,325,39,9,0,17,0,20,4,0,1388,14,80,5204,5,0,0,31,83,1,1731,0,10376,33810,1771,23434,874
