SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MA,8354,MIRINZAL,8,429,181,2,897,1,0,0,0,0,0,77,48,1795,71,0,0,0,5,3,0,0,1085,0,18,5,128,0,26,55,2058,7821,272,5763,125
MA,8362,SAO JOSE DOS BASILIOS,32,48,14,1,1078,0,0,0,0,0,0,103,5,2281,2,0,0,0,0,0,0,0,57,0,2,1,8,0,0,0,877,5113,73,4236,117
MA,8370,MONCAO,3152,391,190,3,689,1,0,1,4,0,0,946,43,1098,149,0,4,0,12,9,0,0,1767,0,10,6,120,0,4,1,3739,14046,266,10307,237
MA,8389,SAO PEDRO DA AGUA BRANCA,18,128,659,538,391,0,0,0,0,0,0,9,399,1009,0,0,0,0,1,2,6,0,7,0,1,0,798,0,3,0,1972,6649,134,4677,91
MA,8397,MONTES ALTOS,36,118,534,20,1018,0,0,0,0,0,0,13,1001,131,2,0,0,0,0,1,11,0,22,0,0,0,1420,0,1,0,956,6129,156,5173,111
MA,8400,SAO PEDRO DOS CRENTES,6,504,128,10,17,0,0,0,0,0,0,1,260,905,0,0,0,0,0,0,4,0,2,13,0,1,41,0,0,0,417,2665,28,2248,46
MA,8419,MORROS,37,442,131,41,1309,0,0,0,4,0,0,103,201,2242,99,0,2,0,13,1,1,0,256,0,9,0,179,0,7,4,2532,8854,150,6322,171
MA,8427,SAO RAIMUNDO DA DOCA BEZERRA,329,44,8,0,256,0,0,0,0,0,0,198,6,1655,0,0,0,0,0,0,0,0,28,0,0,1,55,0,0,0,693,3681,87,2988,48
MA,8435,NINA RODRIGUES,22,865,679,0,1609,0,0,0,1,0,0,13,7,465,7,5,1,0,4,3,0,0,81,0,1,0,147,0,2,0,955,5627,54,4672,95
MA,8443,SAO ROBERTO,17,18,8,2,48,0,0,0,0,0,0,1,1,2130,0,0,0,0,0,0,0,0,21,0,0,0,10,0,0,0,521,3114,34,2593,50
MA,8451,NOVA IORQUE,231,93,24,0,1624,0,0,0,0,0,0,0,2,117,21,0,0,0,0,2,0,0,3,0,0,0,14,0,0,0,575,3085,76,2510,57
MA,8460,SATUBINHA,153,22,7,26,870,0,0,0,0,0,0,3,3,1593,1,0,0,0,0,0,0,0,38,0,0,0,3,0,0,0,775,3902,24,3127,65
MA,8478,OLHO D AGUA DAS CUNHAS,470,101,162,28,3082,2,0,4,0,0,0,10,50,3314,2,0,0,0,3,1,0,0,188,0,1,3,72,0,0,2,3055,12342,337,9287,245
MA,8486,SENADOR ALEXANDRE COSTA,21,685,67,2,2014,0,0,0,0,0,0,10,3,260,0,0,16,0,0,0,0,0,58,0,1,0,39,0,1,0,2175,6068,83,3893,100
MA,8494,PACO DO LUMIAR,325,3398,1751,87,992,69,0,0,93,0,0,283,633,8356,788,3,38,0,479,83,33,0,1069,29,300,8,4409,0,80,242,6090,34590,1277,28500,1159
MA,8508,SENADOR LA ROQUE,59,210,1228,40,28,0,0,0,1,0,0,14,1157,1281,126,0,0,0,0,3,71,0,23,2,2,3,4110,0,0,0,2283,12370,270,10087,250
MA,8516,PALMEIRANDIA,60,1058,47,3,66,0,0,0,10,0,0,4037,151,1099,6,0,0,0,7,0,0,0,187,0,2,2,46,0,0,0,2295,10223,317,7928,133
MA,8524,SERRANO DO MARANHAO,24,85,17,1,148,0,0,0,0,0,0,1380,7,1998,1,1,0,0,18,0,1,0,17,3,3,3,43,0,0,0,2068,6576,164,4508,107
MA,8532,PARAIBANO,67,120,71,3,2735,0,0,0,0,0,0,30,11,4615,9,0,88,0,1,0,0,0,14,0,6,0,180,0,1,0,3627,13071,215,9444,252
MA,8540,SUCUPIRA DO RIACHAO,6,46,4,1,387,0,0,0,0,0,0,1,16,1636,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,12,571,3150,73,2579,73
MA,8559,PARNARAMA,268,1223,170,30,184,0,0,5,0,0,0,34,15,7714,2,0,939,0,1,8,0,0,13,1,1,2,390,0,0,0,3802,17891,559,14089,496
MA,8567,TRIZIDELA DO VALE,240,271,290,1,88,0,0,0,1,0,0,19,49,5150,7,0,95,0,2,0,3,0,1335,0,0,0,29,0,1,0,3223,12415,251,9192,292
MA,8575,PASSAGEM FRANCA,26,248,6,9,1898,0,0,0,0,0,0,21,84,3950,29,0,10,0,0,0,0,0,3,0,0,1,41,0,0,0,2548,10155,179,7607,181
MA,8583,TUFILANDIA,4,71,18,3,12,0,0,0,0,0,0,1,4,1742,65,0,18,0,1,1,115,0,230,1,3,0,51,0,15,0,1061,3962,57,2901,117
MA,8591,PASTOS BONS,117,169,95,2,2908,0,0,0,0,0,0,11,5,2798,8,0,0,0,4,0,0,0,11,2,71,1,288,0,0,0,1813,9763,241,7950,229
MA,8605,TURILANDIA,33,116,48,1,2659,0,0,0,5,0,0,134,12,1937,14,0,0,0,24,0,0,0,116,1,2,4,16,0,0,1,2821,9030,107,6209,127
MA,8613,PEDREIRAS,998,585,1073,15,164,1,0,0,0,0,0,30,93,5088,50,0,283,0,6,0,1,0,7694,0,15,6,170,0,0,2,6565,25900,486,19335,508
MA,8621,VILA NOVA DOS MARTIRIOS,6,23,348,31,23,0,0,1,0,0,0,0,231,555,6,0,0,0,0,0,19,0,6,5,0,0,1010,0,0,0,545,3321,99,2776,71
MA,8630,PENALVA,7205,218,242,2,748,0,0,0,7,0,0,62,289,2153,387,0,9,0,15,0,4,0,264,0,22,0,144,0,0,3,5097,18383,125,13286,178
