SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,62413,BOM JESUS DOS PERDÕES,4088,6320,2844,13876,246,11032,378
SP,62421,RIBEIRÃO DOS ÍNDIOS,815,707,338,1966,61,1628,45
SP,62430,BORÁ,384,335,191,951,13,760,28
SP,62448,TRABIJU,491,607,239,1372,14,1133,21
SP,62456,BORACÉIA,1291,1278,562,3307,68,2745,108
SP,62472,BORBOREMA,2533,5688,2577,11334,226,8757,310
SP,62499,BOTUCATU,24292,39752,17734,88616,2049,70882,4789
SP,62510,BRAGANÇA PAULISTA,25361,57440,21265,109471,1879,88206,3526
SP,62553,BRAÚNA,929,2077,577,3754,80,3177,91
SP,62570,BRODOWSKI,4607,6546,2835,14762,264,11927,510
SP,62596,BROTAS,3608,8256,3893,16613,323,12720,533
SP,62618,BURI,3960,6416,3381,14202,238,10821,207
SP,62634,BURITAMA,4134,4559,2828,12049,217,9221,311
SP,62650,BURITIZAL,685,1628,416,2879,58,2463,92
SP,62677,CABRÁLIA PAULISTA,1440,1113,924,3655,73,2731,105
SP,62693,CABREÚVA,11220,10796,5552,28903,538,23351,797
SP,62715,CAÇAPAVA,16802,32402,11664,64376,1320,52712,2188
SP,62731,CACHOEIRA PAULISTA,8720,8633,5044,23576,485,18532,694
SP,62758,CACONDE,3910,6056,3374,13859,196,10485,323
SP,62774,CAFELÂNDIA,3792,5638,3183,13170,239,9987,318
SP,62790,CAIABU,1656,1106,656,3534,60,2878,56
SP,62812,CAIEIRAS,24685,20129,9672,58265,1523,48593,2256
SP,62839,CAIUÁ,1817,1030,987,3946,43,2959,69
SP,62855,CAJAMAR,21675,16387,8453,48855,1004,40402,1336
SP,62871,CAJOBI,2701,3148,1699,7896,146,6197,202
SP,62898,CAJURU,5847,7074,4125,17938,316,13813,576
SP,62910,CAMPINAS,269856,288115,153916,761338,17407,607422,32044
SP,62936,CAMPO LIMPO PAULISTA,23473,18809,10230,56040,1116,45810,2412
SP,62952,CAMPOS DO JORDÃO,6775,19903,9170,37451,639,28281,964
SP,62979,CAMPOS NOVOS PAULISTA,1012,1540,721,3443,71,2722,99
SP,62995,CANANÉIA,2673,3638,3203,9864,125,6661,225
SP,63010,CÂNDIDO MOTA,7090,10914,5205,24442,597,19237,636
SP,63037,CÂNDIDO RODRIGUES,836,980,420,2383,69,1963,78
SP,63053,CAPÃO BONITO,10109,15401,8865,35866,607,27001,884
SP,63070,CAPELA DO ALTO,3670,5656,2138,11958,251,9820,243
SP,63096,CAPIVARI,8415,16840,6391,33435,686,27044,1103
SP,63118,CARAGUATATUBA,20732,28965,15891,68781,1284,52890,1909
SP,63134,CARAPICUÍBA,122833,78786,44570,260969,6122,216399,8658
SP,63150,CARDOSO,3771,3150,2514,9910,188,7396,287
SP,63177,CASA BRANCA,5073,9345,4962,20507,424,15545,703
SP,63193,CÁSSIA DOS COQUEIROS,692,1115,627,2595,42,1968,119
SP,63215,CASTILHO,6251,3435,1924,12196,262,10272,324
SP,63231,CATANDUVA,23180,38036,15679,81142,1425,65463,2822
SP,63258,CATIGUÁ,2260,1979,877,5511,133,4634,262
SP,63274,CEDRAL,1803,2789,961,5912,141,4951,218
SP,63290,CERQUEIRA CÉSAR,3393,6229,2955,13174,250,10219,347
SP,63312,CERQUILHO,7110,14952,4704,28351,548,23647,1037
SP,63339,CESÁRIO LANGE,2389,5862,2138,11035,242,8897,404
SP,63355,CHARQUEADA,3158,5964,2419,12135,223,9716,371
SP,63371,CHAVANTES,3050,3943,1929,9403,192,7474,289
SP,63398,CLEMENTINA,1643,2025,1093,4983,62,3890,160
SP,63410,COLINA,4937,5149,3404,14112,233,10708,389
SP,63436,COLÔMBIA,1829,1821,1391,5249,96,3858,112
SP,63452,CONCHAL,4899,9335,3611,18727,412,15116,470
SP,63479,CONCHAS,3445,5737,3671,13475,220,9804,402
SP,63495,CORDEIRÓPOLIS,4638,7498,2772,15808,332,13036,568
SP,63517,COROADOS,1115,1864,781,3926,57,3145,109
SP,63533,CORONEL MACEDO,1772,1407,801,4136,53,3335,103
SP,63550,CORUMBATAÍ,613,1710,852,3303,51,2451,77
SP,63576,COSMÓPOLIS,18325,12074,7868,40830,1160,32962,1403
SP,63592,COSMORAMA,1764,2699,959,5660,100,4701,138
SP,63614,COTIA,53800,49242,22797,132000,2457,109203,3704
SP,63630,CRAVINHOS,4937,12547,4712,23552,486,18840,870
SP,63657,CRISTAIS PAULISTA,1872,2757,1254,6101,78,4847,140
SP,63673,CRUZÁLIA,737,977,388,2164,32,1776,30
SP,63690,CRUZEIRO,14943,28681,10466,57421,1138,46955,2193
SP,63711,CUBATÃO,44125,27319,17398,93288,1879,75890,2567
SP,63738,CUNHA,7470,5638,5210,19121,319,13911,484
SP,63754,DESCALVADO,4987,13429,4822,24623,560,19801,825
SP,63770,DIADEMA,160238,80874,53340,312305,6741,258965,11112
SP,63797,DIVINOLÂNDIA,2291,4980,2210,10010,211,7800,318
SP,63819,DOBRADA,2027,2080,671,5037,121,4366,138
SP,63835,DOIS CÓRREGOS,4089,9230,4126,18273,384,14147,444
SP,63851,DOLCINÓPOLIS,1061,613,315,2070,27,1755,54
SP,63878,DOURADO,1714,3584,1533,7229,172,5696,226
SP,63894,DRACENA,10083,14525,4890,30790,621,25900,671
SP,63916,DUARTINA,3273,4109,1461,9406,195,7945,368
SP,63932,DUMONT,1803,2731,1077,5904,155,4827,138
SP,63959,ECHAPORÃ,1671,1968,1474,5307,65,3833,129
SP,63975,ELDORADO,4344,3286,3587,11590,139,8003,234
SP,63991,ELIAS FAUSTO,4385,4603,2939,12479,219,9540,333
SP,64017,EMBU,76563,56407,28705,170581,3894,141876,5012
SP,64033,EMBU-GUAÇU,19381,15640,9707,46904,940,37197,1236
SP,64050,ESTRELA D'OESTE,2101,2993,1284,6740,169,5456,193
SP,64076,ESTRELA DO NORTE,784,1000,430,2307,49,1877,44
SP,64092,FARTURA,3647,5368,2825,12376,217,9551,319
SP,64114,FERNANDÓPOLIS,20504,16143,10657,49459,990,38802,1165
SP,64130,FERNANDO PRESTES,1547,1833,981,4679,180,3698,138
SP,64157,FERRAZ DE VASCONCELOS,53711,30485,19176,109865,2691,90689,3802
SP,64173,FLORA RICA,738,537,397,1725,19,1328,34
SP,64190,FLOREAL,961,959,433,2508,72,2075,83
SP,64211,FLÓRIDA PAULISTA,3199,3261,1184,8000,178,6816,178
SP,64238,FLORÍNEA,1076,799,592,2559,49,1967,43
SP,64254,FRANCA,68968,101563,37939,218780,4177,180841,6133
SP,64270,FRANCISCO MORATO,51461,23993,18539,99210,2233,80671,2984
SP,64297,FRANCO DA ROCHA,41983,23608,15459,87013,2175,71554,3788
SP,64319,GABRIEL MONTEIRO,492,1387,488,2490,35,2002,88
SP,64335,GÁLIA,1597,2214,1484,5519,97,4035,127
SP,64351,GARÇA,6936,17645,7966,34143,677,26177,919
SP,64378,GASTÃO VIDIGAL,1496,876,761,3252,58,2491,61
SP,64394,GENERAL SALGADO,3129,3306,1201,7951,138,6750,177
SP,64416,GETULINA,2585,3188,2391,8488,136,6097,188
SP,64432,GLICÉRIO,1495,1286,853,3794,63,2941,97
SP,64459,GUAIÇARA,2993,2895,1765,7947,145,6182,149
SP,64475,GUAIMBÉ,1610,1542,897,4233,68,3336,116
SP,64491,GUAÍRA,10326,11068,6543,28855,413,22312,505
SP,64513,GUAPIAÇU,5065,5284,2740,13588,219,10848,280
SP,64530,GUAPIARA,6237,4121,4751,15622,164,10871,349
SP,64556,GUARÁ,6493,4739,3318,14995,181,11677,264
SP,64572,GUARAÇAÍ,2626,2395,1677,7036,149,5359,189
SP,64599,GUARACI,3215,2539,2172,8180,115,6008,139
SP,64610,GUARANI D'OESTE,632,520,309,1514,17,1205,36
SP,64637,GUARANTÃ,1792,2121,1219,5319,95,4100,92
SP,64653,GUARARAPES,7544,9889,5570,24121,459,18551,659
SP,64670,GUARAREMA,5962,9682,3490,19974,344,16484,496
SP,64696,GUARATINGUETÁ,24321,40707,16173,86093,1748,69920,3144
SP,64718,GUAREÍ,2459,4062,1827,8876,236,7049,292
SP,64734,GUARIBA,10781,9799,5031,26733,555,21702,567
SP,64750,GUARUJÁ,91185,69198,38894,211252,4871,172358,7104
SP,64777,GUARULHOS,299757,311328,125229,788694,18003,663465,34377
SP,64793,GUZOLÂNDIA,1717,1018,586,3478,74,2892,83
SP,64815,HERCULÂNDIA,2831,2143,1455,6723,97,5268,197
SP,64831,IACANGA,1960,3325,1054,6645,128,5591,178
SP,64858,IACRI,1645,2297,1114,5239,79,4125,104
SP,64874,IBATÉ,7037,10354,4227,22879,539,18652,722
SP,64890,IBIRÁ,1813,3997,1574,7778,153,6204,241
SP,64912,IBIRAREMA,1320,2420,773,4806,161,4033,132
SP,64939,IBITINGA,11651,18281,7803,39958,899,32155,1324
SP,64955,IBIÚNA,10681,29250,12200,54044,637,41844,1276
SP,64971,ICÉM,2438,2126,1648,6437,86,4789,139
SP,64998,IEPÊ,1431,3078,1098,5798,65,4700,126
SP,65013,IGARAÇU DO TIETÊ,6718,6978,3484,18441,549,14957,712
SP,65030,IGARAPAVA,7803,6986,5907,21713,484,15806,533
SP,65056,IGARATÁ,2361,2966,1155,6786,117,5631,187
SP,65072,IGUAPE,7035,8271,6639,22827,320,16188,562
SP,65099,ILHABELA,4854,10064,4650,20204,238,15554,398
SP,65110,INDAIATUBA,49858,51100,23659,133413,3332,109754,5464
SP,65137,INDIANA,1547,1694,818,4278,87,3460,132
SP,65153,INDIAPORÃ,1201,1127,489,2922,41,2433,64
SP,65170,INÚBIA PAULISTA,774,1504,447,2842,58,2395,59
SP,65196,IPAUSSU,2776,4721,2075,10029,199,7954,258
SP,65218,IPERÓ,6463,5522,3504,16245,306,12741,450
SP,65234,IPEÚNA,1278,2090,1028,4584,65,3556,123
SP,65250,IPORANGA,1584,689,1129,3504,38,2375,64
SP,65277,IPUÃ,3986,3679,2310,10335,172,8025,188
SP,65293,IRACEMÁPOLIS,4613,7283,2194,14856,305,12662,461
SP,65315,IRAPUÃ,1673,2338,1275,5574,134,4299,154
SP,65331,IRAPURU,1732,2315,1049,5341,118,4292,127
SP,65358,ITABERÁ,5562,4870,2833,13747,208,10914,274
SP,65374,ITAÍ,6114,5976,3591,16312,291,12721,340
SP,65390,ITAJOBI,2916,6177,2512,12211,273,9699,333
SP,65412,ITAJU,594,1352,588,2665,57,2077,74
SP,65439,ITANHAÉM,19569,23644,17646,63544,1059,45898,1626
SP,65455,ITAPECERICA DA SERRA,47185,31696,18458,102033,2096,83575,2598
SP,65471,ITAPETININGA,24277,49721,19415,98921,2045,79506,3463
SP,65498,ITAPEVA,16792,31536,14175,64567,857,50392,1207
SP,65510,ITAPEVI,65058,34061,22695,128169,2873,105474,3482
SP,65536,ITAPIRA,11343,28540,9678,52893,1202,43215,2130
SP,65552,ITÁPOLIS,8451,13010,7106,30353,753,23247,1033
SP,65579,ITAPORANGA,2949,5138,1902,10491,212,8589,290
SP,65595,ITAPUÍ,2309,3982,1650,8314,167,6664,206
SP,65617,ITAPURA,1692,575,970,3361,57,2391,67
SP,65633,ITAQUAQUECETUBA,91126,54904,34663,191064,4560,156401,5811
SP,65650,ITARARÉ,9333,16934,9301,36906,618,27605,720
SP,65676,ITARIRI,2641,3405,2618,8963,116,6345,183
SP,65692,ITATIBA,17347,34764,12601,68135,1200,55534,2223
SP,65714,ITATINGA,3484,6041,2735,12902,284,10167,358
SP,65730,ITIRAPINA,2708,4017,2296,9482,166,7186,295
SP,65757,ITIRAPUÃ,2007,1523,984,4693,64,3709,115
SP,65773,ITOBI,2341,2171,1373,6137,115,4764,137
SP,65790,ITU,32691,51204,22233,112495,2186,90262,4181
SP,65811,ITUPEVA,9220,11194,5478,27206,460,21728,854
SP,65838,ITUVERAVA,9840,11129,7805,30016,567,22211,675
SP,65854,JABORANDI,2294,1390,670,4642,155,3972,133
SP,65870,JABOTICABAL,12008,25509,12177,51959,933,39782,1332
