SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PR,77330,PALMAS,155,25,939,1134,8,5356,1,40,3,4926,0,127,252,523,0,41,10,0,3,10,4,55,55,1,2962,2,5,3,0,5007,25387,1161,20380,348
PR,77356,PALMEIRA,114,460,717,1462,963,2610,3,9,334,78,0,871,4533,1102,1,20,3,0,14,13,1,441,79,2,2658,8,8,6,0,3373,23337,1270,19964,667
PR,77372,PALMITAL,17,21,47,1130,6,2323,0,5,0,84,0,20,55,311,0,0,1,0,0,3,3,106,3005,0,206,1,0,4,0,3584,12367,312,8783,155
PR,77399,PALOTINA,30,2240,525,3243,32,2976,0,104,11,115,0,424,454,2019,0,6,2,0,15,92,0,29,65,2,2151,8,0,0,1,3428,20436,837,17008,376
PR,77410,PARAÍSO DO NORTE,0,37,29,1237,0,3894,0,16,1,89,0,5,31,218,0,1,1,0,37,15,0,11,5,0,282,0,6,1,0,1302,8393,362,7091,118
PR,77437,PARANACITY,23,542,32,574,2,1191,1,1,0,43,0,176,9,1352,0,0,0,0,37,7,0,35,18,0,510,0,0,0,0,1605,7243,293,5638,166
PR,77453,PARANAGUÁ,662,274,1787,1349,41,8771,9,173,295,1081,0,148,17506,523,6,15,23,0,42,71,10,32621,1273,5,2664,11,20,22,4,12615,91293,3131,78678,1396
PR,77470,PARANAPOEMA,0,11,3,167,2,930,0,0,4,5,0,7,0,294,0,0,0,0,0,0,0,0,6,0,17,1,0,0,0,310,2013,48,1703,22
PR,77496,PARANAVAÍ,154,220,175,2526,10,32207,27,90,0,145,0,33,3177,262,4,8,12,0,42,151,0,81,164,2,951,4,2,13,1,11443,58060,1637,46617,860
PR,77518,PATO BRANCO,30,39,15232,870,38,9413,0,17,23,245,3,3594,555,565,2,1186,8,1,12,68,0,132,706,4,805,15,10,104,0,8331,46560,1487,38229,603
PR,77534,PAULA FREITAS,5,5,44,343,0,1734,0,5,0,1,0,5,25,7,0,1,2,0,0,3,0,5,1,0,660,0,0,0,0,397,3789,200,3392,73
PR,77550,PAULO FRONTIN,1,5,42,518,6,1298,0,1,1,18,0,17,562,153,0,0,0,0,0,3,0,6,6,2,840,0,0,1,0,781,5070,326,4289,123
PR,77577,PEABIRU,20,751,54,456,3,1911,1,6,0,72,0,6,1908,251,0,0,5,0,16,25,0,218,102,0,738,0,5,5,0,2218,10309,471,8091,199
