SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1682,2099,1227,5140,25,3913,107
AC,1015,CAPIXABA,1350,2037,1508,4983,24,3475,64
AC,1023,PORTO ACRE,2228,3419,1653,7473,32,5820,141
AC,1031,SANTA ROSA,466,346,725,1594,5,869,52
AC,1040,MARECHAL THAUMATURGO,1373,2106,2922,6539,12,3617,126
AC,1058,BRASILÉIA,5310,4682,3413,13674,58,10261,211
AC,1066,PORTO WALTER,1065,946,2527,4612,7,2085,67
AC,1074,CRUZEIRO DO SUL,11228,15380,16433,43781,122,27348,618
AC,1082,RODRIGUES ALVES,2121,1614,3172,7039,12,3867,120
AC,1090,MÂNCIO LIMA,3032,2376,2784,8366,25,5582,149
AC,1104,JORDÃO,1249,497,1428,3231,3,1803,54
AC,1112,EPITACIOLÂNDIA,3588,2373,2011,8148,44,6137,132
AC,1120,ACRELÂNDIA,2422,3039,1945,7548,43,5603,99
AC,1139,FEIJÓ,6353,2718,5453,15049,47,9596,478
AC,1392,RIO BRANCO,81846,68282,39073,193549,1156,154476,3192
AC,1457,SENA MADUREIRA,6293,6419,7221,20416,66,13195,417
AC,1473,TARAUACÁ,5603,4619,8178,18876,62,10698,414
AC,1490,XAPURI,3371,3416,2608,9628,31,7020,202
AC,1511,PLÁCIDO DE CASTRO,3781,3773,3367,11128,42,7761,165
AC,1538,SENADOR GUIOMARD,4498,5044,3808,13641,59,9833,232
AC,1554,MANUEL URBANO,1091,1344,1829,4371,14,2542,93
AC,1570,ASSIS BRASIL,1634,1382,892,4054,10,3162,136
AL,27006,PARIPUEIRA,2849,1958,1541,6560,56,5019,156
AL,27014,ÁGUA BRANCA,7301,2013,3749,13550,83,9801,404
AL,27022,PARICONHA,4399,712,1799,7167,41,5368,216
AL,27030,ANADIA,5812,2193,4314,12769,93,8455,357
AL,27049,ESTRELA DE ALAGOAS,5708,1266,3210,10672,80,7462,408
AL,27057,ARAPIRACA,44646,37880,24469,110124,774,85655,2355
AL,27065,JEQUIÁ DA PRAIA,2582,1281,3359,7376,42,4017,112
AL,27073,ATALAIA,10459,7933,7805,27003,178,19198,628
AL,27081,CAMPESTRE,2282,708,1204,4321,18,3117,109
AL,27090,BARRA DE SANTO ANTÔNIO,3999,1535,1946,7694,54,5748,160
AL,27111,BARRA DE SÃO MIGUEL,2071,1534,978,4716,28,3738,105
AL,27138,BATALHA,6003,1325,2339,9944,44,7605,233
AL,27154,BELÉM,2328,808,1255,4571,50,3316,130
AL,27170,BELO MONTE,1959,599,1272,3965,25,2693,110
AL,27197,BOCA DA MATA,7904,4756,5036,18414,224,13378,494
AL,27219,BRANQUINHA,3516,1212,2030,7048,49,5018,241
AL,27235,CACIMBINHAS,3473,1467,2232,7474,41,5242,261
AL,27251,CAJUEIRO,5583,3927,3368,13389,101,10021,410
AL,27278,CAMPO ALEGRE,10183,3549,6226,20616,149,14390,509
AL,27294,CAMPO GRANDE,3838,1247,1252,6599,43,5347,219
AL,27316,CANAPI,6961,828,3584,11747,55,8163,319
AL,27332,CAPELA,4691,3819,3378,12352,101,8974,363
AL,27359,CARNEIROS,2736,952,981,4838,26,3857,143
AL,27375,CHÃ PRETA,3345,617,1025,5240,32,4215,221
AL,27391,COITÉ DO NÓIA,4078,1205,2086,7715,55,5629,291
AL,27413,COLÔNIA LEOPOLDINA,5008,3938,3757,13215,100,9458,412
AL,27430,COQUEIRO SECO,1812,1052,715,3723,47,3008,97
AL,27456,CORURIPE,13230,10992,9201,34573,289,25372,861
AL,27472,DELMIRO GOUVEIA,18488,3669,8756,31831,192,23075,726
AL,27499,DOIS RIACHOS,3864,1513,2237,7965,47,5728,304
AL,27510,FEIRA GRANDE,8106,1854,2844,13337,87,10493,446
AL,27537,FELIZ DESERTO,1447,611,643,2815,26,2172,88
AL,27553,FLEXEIRAS,3427,1565,1965,7239,46,5274,236
AL,27570,GIRAU DO PONCIANO,12550,2260,5805,21364,117,15559,632
AL,27596,IBATEGUARA,4761,1883,2855,9806,66,6951,241
AL,27618,IGACI,9339,2856,5963,18907,137,12944,612
AL,27634,IGREJA NOVA,7133,3341,4493,15560,137,11067,456
AL,27650,INHAPI,6766,891,3241,11398,61,8157,439
AL,27677,JACARÉ DOS HOMENS,2535,563,932,4152,22,3220,100
AL,27693,JACUÍPE,2624,666,1527,4992,35,3465,140
AL,27715,JAPARATINGA,1791,1405,1674,5001,41,3327,90
AL,27731,JARAMATAIA,2217,702,1199,4286,32,3087,136
AL,27758,JOAQUIM GOMES,5623,2703,5074,13934,103,8860,431
AL,27774,JUNDIÁ,1244,976,1051,3418,29,2367,118
AL,27790,JUNQUEIRO,7418,3611,5487,17109,131,11622,462
AL,27812,LAGOA DA CANOA,6364,1933,2965,11666,85,8701,319
AL,27839,LIMOEIRO DE ANADIA,8152,2282,4287,15294,108,11007,465
AL,27855,MACEIÓ,182236,191748,84687,476691,5377,392004,12643
AL,27871,MAJOR ISIDORO,6635,2505,3862,13436,54,9574,380
AL,27898,MARAGOGI,6768,3447,3705,14463,157,10758,386
AL,27910,MARAVILHA,2941,2023,2871,8097,56,5226,206
AL,27936,MARECHAL DEODORO,10379,8621,6070,25915,254,19845,591
AL,27952,MARIBONDO,4679,2622,3251,10964,85,7713,327
AL,27979,MAR VERMELHO,1544,661,592,2929,23,2337,109
AL,27995,MATA GRANDE,9469,1362,4436,15945,126,11509,552
AL,28010,MATRIZ DE CAMARAGIBE,6440,3971,4635,15526,128,10891,352
AL,28037,MESSIAS,4525,2751,2607,10223,77,7616,263
AL,28053,MINADOR DO NEGRÃO,2249,526,1121,4062,21,2941,145
AL,28070,MONTEIRÓPOLIS,2744,675,1433,4989,24,3556,113
AL,28096,MURICI,8115,4198,4039,17083,161,13044,570
AL,28118,NOVO LINO,2613,2836,1764,7520,46,5756,261
AL,28134,OLHO D'ÁGUA DAS FLORES,6134,3034,3461,13028,91,9567,308
AL,28150,OLHO D'ÁGUA DO CASADO,3590,660,1726,6220,42,4494,202
AL,28177,OLHO D'ÁGUA GRANDE,2063,597,1051,3865,25,2814,129
AL,28193,OLIVENÇA,3927,1391,2155,7783,45,5628,265
AL,28215,OURO BRANCO,4111,1246,1944,7513,27,5569,185
AL,28231,PALESTINA,2242,346,698,3365,13,2667,66
AL,28258,PALMEIRA DOS ÍNDIOS,19284,13266,12544,46607,367,34063,1146
AL,28274,PÃO DE AÇÚCAR,8526,2503,4842,16328,92,11486,365
AL,28290,PASSO DE CAMARAGIBE,4969,1408,3015,9678,63,6663,223
AL,28312,PAULO JACINTO,3324,811,1037,5383,44,4346,167
AL,28339,PENEDO,12415,12359,9269,34998,247,25729,708
AL,28355,PIAÇABUÇU,5076,2417,3859,11693,59,7834,282
AL,28371,PILAR,7029,9567,6676,24036,223,17360,541
AL,28398,PINDOBA,1377,318,404,2211,16,1807,96
AL,28410,PIRANHAS,7824,1862,4130,14303,73,10173,414
AL,28436,POÇO DAS TRINCHEIRAS,4713,1693,2429,9094,49,6665,210
AL,28452,PORTO CALVO,6912,5080,5914,18487,157,12573,424
AL,28479,PORTO DE PEDRAS,2463,1147,2256,6042,39,3786,137
AL,28495,PORTO REAL DO COLÉGIO,4993,4173,3235,12870,123,9635,346
AL,28517,QUEBRÂNGULO,5344,1231,1905,8791,43,6886,268
AL,28533,RIO LARGO,20866,13797,9880,45986,466,36106,977
AL,28550,ROTEIRO,1928,903,1549,4525,18,2976,127
AL,28576,SANTA LUZIA DO NORTE,2380,1350,1172,5055,41,3883,112
AL,28592,SANTANA DO IPANEMA,13102,6684,7257,27851,125,20594,683
AL,28614,SANTANA DO MUNDAÚ,4317,1037,1507,7222,60,5715,301
AL,28630,SÃO BRÁS,1835,1653,1228,4888,56,3660,116
AL,28657,SÃO JOSÉ DA LAJE,7400,3394,2342,13772,113,11430,523
AL,28673,SÃO JOSÉ DA TAPERA,7409,4403,5281,17836,122,12555,621
AL,28690,SÃO LUÍS DO QUITUNDE,10062,3858,6076,20694,200,14618,498
AL,28711,SÃO MIGUEL DOS CAMPOS,10855,14269,5763,32036,297,26273,852
AL,28738,SÃO MIGUEL DOS MILAGRES,2347,964,1463,4945,50,3482,121
AL,28754,SÃO SEBASTIÃO,11583,3443,5839,21598,164,15759,569
AL,28770,SATUBA,3038,3089,1941,8327,96,6386,163
AL,28797,TANQUE D'ARCA,2303,755,1636,4889,43,3253,152
AL,28819,TAQUARANA,6124,2451,2961,12134,101,9173,497
AL,28835,TRAIPÚ,8858,2636,5556,17734,95,12178,589
AL,28851,UNIÃO DOS PALMARES,16649,8489,10245,36702,288,26457,1031
AL,28878,VIÇOSA,9636,3045,5108,18459,139,13351,531
AL,28894,CRAÍBAS,6770,3103,3435,13808,72,10373,428
