SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MG,45276,FORTUNA DE MINAS,25,250,19,60,570,1,0,10,0,0,0,77,7,56,0,0,1,1,23,24,4,0,22,0,16,0,12,0,2,0,224,1737,98,1513,36
MG,45292,FRANCISCO BADARO,1,148,121,6,2424,1,0,4,2,0,0,14,13,682,1,0,0,2,0,0,0,0,11,0,0,0,34,0,0,0,2185,6788,145,4603,215
MG,45314,FRANCISCO DUMONT,39,823,26,564,29,0,0,13,17,0,0,22,206,37,4,0,12,0,3,6,1,0,39,13,1,1,70,0,4,0,861,3335,67,2474,96
MG,45330,FRANCISCO SA,1952,385,222,357,501,2,0,17,21,1,0,658,75,34,0,0,5,0,6,0,27,0,47,15,60,3,4491,0,452,0,4367,17084,650,12717,543
MG,45357,FREI GASPAR,4,299,120,8,38,0,0,19,5,0,0,787,2,316,7,0,5,1,4,1,25,0,12,1,3,0,295,0,0,0,869,3785,108,2916,185
MG,45373,FREI INOCENCIO,45,642,1306,12,1116,0,0,1,1,0,0,127,4,70,1,0,3,0,0,1,3,11,66,1,17,0,43,0,3,0,1393,6021,200,4628,174
MG,45390,FRONTEIRA,405,177,327,5,30,1,0,10,0,0,0,773,2,987,0,0,13,0,2,15,135,0,24,0,4,0,1134,0,1,0,459,5631,274,5172,147
MG,45411,FRUTAL,47,270,879,236,438,1,0,434,0,0,0,335,25,234,0,0,27,18,6,18,12289,0,216,0,201,0,7025,0,30,0,5616,33086,1324,27470,665
MG,45438,FUNILANDIA,89,124,85,136,357,1,0,53,0,0,0,310,87,213,0,0,18,0,2,9,4,0,149,9,159,10,13,0,5,0,583,2896,91,2313,52
MG,45454,GALILEIA,9,1266,158,0,1428,0,0,11,0,0,0,97,2,52,0,0,3,0,0,0,4,1,92,27,4,0,55,0,1,1,1716,5915,160,4199,114
MG,45470,GONCALVES,15,12,256,7,662,0,0,1,0,0,0,1,1,350,0,0,1,0,0,0,1,0,11,3,1,1,351,0,1,0,552,2966,197,2414,107
MG,45497,GONZAGA,260,40,31,22,167,0,0,0,1,0,0,1357,0,11,0,0,70,0,0,1,5,0,30,2,0,1,55,0,0,0,1292,4304,185,3012,208
MG,45519,GOUVEA,937,319,125,1677,365,0,0,87,4,1,0,80,85,31,1,0,85,0,2,0,4,0,516,26,6,1,78,0,2,0,1994,8327,359,6333,600
MG,45535,GOVERNADOR VALADARES,1261,3551,20441,400,47771,30,0,1630,197,39,0,14003,702,7460,26,0,801,2,32,225,265,938,7476,235,774,89,2926,0,291,4,36355,171027,4991,134672,2964
