SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27006,PARIPUEIRA,0,71,143,0,0,6,0,9,0,0,0,0,0,0,1594,0,0,0,2323,0,0,0,0,0,415,5451,245,5036,645
AL,27014,AGUA BRANCA,0,94,304,0,0,6,0,4,0,0,0,0,0,0,2293,0,0,0,4355,0,0,0,0,0,3112,12076,321,8964,1587
AL,27022,PARICONHA,0,41,96,0,0,1,0,2,0,0,0,0,0,0,1726,0,0,0,1565,0,0,0,0,0,1572,6119,175,4547,941
AL,27030,ANADIA,0,119,133,0,0,8,0,46,0,0,0,0,0,0,3714,0,0,0,2645,0,0,0,0,0,3562,11991,372,8429,1392
AL,27049,ESTRELA DE ALAGOAS,0,66,65,0,0,5,0,2,0,0,0,0,0,0,2115,0,0,0,1929,0,0,0,0,0,2726,8564,228,5838,1428
AL,27057,ARAPIRACA,0,915,2142,0,0,70,0,121,0,0,0,0,0,0,28753,0,0,0,36357,0,0,0,0,0,19055,100480,2569,81425,10498
AL,27065,JEQUIA DA PRAIA,0,42,93,0,0,1,0,3,0,0,0,0,0,0,2499,0,0,0,1068,0,0,0,0,0,1728,6407,177,4679,796
AL,27073,ATALAIA,0,290,620,0,0,12,0,25,0,0,0,0,0,0,6744,0,0,0,6339,0,0,0,0,0,5706,23591,727,17885,3128
AL,27081,CAMPESTRE,0,31,113,0,0,5,0,0,0,0,0,0,0,0,645,0,0,0,1221,0,0,0,0,0,1103,3665,117,2562,430
AL,27090,BARRA DE SANTO ANTONIO,0,60,144,0,0,2,0,7,0,0,0,0,0,0,1663,0,0,0,2104,0,0,0,0,0,495,5418,211,4923,732
AL,27111,BARRA DE SAO MIGUEL,0,41,100,0,0,4,0,5,0,0,0,0,0,0,1310,0,0,0,921,0,0,0,0,0,234,3087,75,2853,397
AL,27138,BATALHA,0,74,132,0,0,4,0,2,0,0,0,0,0,0,2285,0,0,0,3432,0,0,0,0,0,2017,9212,195,7195,1071
AL,27154,BELEM,0,32,31,0,0,2,0,1,0,0,0,0,0,0,658,0,0,0,1695,0,0,0,0,0,726,3896,178,3170,573
AL,27170,BELO MONTE,0,25,54,0,0,1,0,2,0,0,0,0,0,0,1531,0,0,0,897,0,0,0,0,0,923,4108,164,3185,511
AL,27197,BOCA DA MATA,0,181,342,0,0,16,0,7,0,0,0,0,0,0,6280,0,0,0,3170,0,0,0,0,0,3558,15780,577,12222,1649
AL,27219,BRANQUINHA,0,73,173,0,0,2,0,1,0,0,0,0,0,0,1198,0,0,0,1984,0,0,0,0,0,1587,6080,188,4493,874
AL,27235,CACIMBINHAS,0,45,59,0,0,3,0,1,0,0,0,0,0,0,1209,0,0,0,2400,0,0,0,0,0,1362,6203,143,4841,981
AL,27251,CAJUEIRO,0,75,261,0,0,5,0,2,0,0,0,0,0,0,3168,0,0,0,3193,0,0,0,0,0,2404,11021,324,8617,1589
AL,27278,CAMPO ALEGRE,0,181,227,0,0,9,0,9,0,0,0,0,0,0,6461,0,0,0,2981,0,0,0,0,0,5079,17608,558,12529,2103
AL,27294,CAMPO GRANDE,0,23,48,0,0,1,0,12,0,0,0,0,0,0,1568,0,0,0,1815,0,0,0,0,0,532,4889,172,4357,718
AL,27316,CANAPI,0,118,234,0,0,4,0,8,0,0,0,0,0,0,1688,0,0,0,4148,0,0,0,0,0,2737,10691,312,7954,1442
AL,27332,CAPELA,0,129,174,0,0,5,0,14,0,0,0,0,0,0,2902,0,0,0,3491,0,0,0,0,0,2498,11062,379,8564,1470
AL,27359,CARNEIROS,0,41,71,0,0,3,0,0,0,0,0,0,0,0,1239,0,0,0,1179,0,0,0,0,0,618,3796,58,3178,587
AL,27375,CHA PRETA,0,54,72,0,0,4,0,6,0,0,0,0,0,0,788,0,0,0,1910,0,0,0,0,0,299,4127,192,3828,802
AL,27391,COITE DO NOIA,0,67,50,0,0,1,0,4,0,0,0,0,0,0,1615,0,0,0,2208,0,0,0,0,0,1762,6927,235,5165,985
AL,27413,COLONIA LEOPOLDINA,0,78,346,0,0,12,0,1,0,0,0,0,0,0,2174,0,0,0,3958,0,0,0,0,0,3041,11425,471,8384,1344
AL,27430,COQUEIRO SECO,0,30,60,0,0,2,0,13,0,0,0,0,0,0,966,0,0,0,968,0,0,0,0,0,294,2803,117,2509,353
AL,27456,CORURIPE,0,160,403,0,0,20,0,13,0,0,0,0,0,0,8382,0,0,0,9656,0,0,0,0,0,6675,29641,778,22966,3554
AL,27472,DELMIRO GOUVEIA,0,174,790,0,0,9,0,6,0,0,0,0,0,0,7024,0,0,0,9841,0,0,0,0,0,7114,29089,1076,21975,3055
AL,27499,DOIS RIACHOS,0,50,60,0,0,5,0,1,0,0,0,0,0,0,2104,0,0,0,1920,0,0,0,0,0,1598,6938,108,5340,1092
AL,27510,FEIRA GRANDE,0,132,197,0,0,9,0,4,0,0,0,0,0,0,2684,0,0,0,3895,0,0,0,0,0,2794,12131,506,9337,1910
AL,27537,FELIZ DESERTO,0,10,25,0,0,0,0,2,0,0,0,0,0,0,630,0,0,0,938,0,0,0,0,0,234,2225,62,1991,324
AL,27553,FLEXEIRAS,0,56,32,0,0,5,0,7,0,0,0,0,0,0,1268,0,0,0,2496,0,0,0,0,0,634,5595,113,4961,984
AL,27570,GIRAU DO PONCIANO,0,148,338,0,0,10,0,4,0,0,0,0,0,0,4489,0,0,0,5527,0,0,0,0,0,4664,18166,430,13502,2556
AL,27596,IBATEGUARA,0,58,162,0,0,8,0,2,0,0,0,0,0,0,1515,0,0,0,2328,0,0,0,0,0,2666,8273,427,5607,1107
AL,27618,IGACI,0,176,148,0,0,9,0,3,0,0,0,0,0,0,3573,0,0,0,4814,0,0,0,0,0,4841,16258,563,11417,2131
AL,27634,IGREJA NOVA,0,142,396,0,0,3,0,5,0,0,0,0,0,0,3646,0,0,0,3231,0,0,0,0,0,3381,13664,1002,10283,1858
AL,27650,INHAPI,0,98,716,0,0,4,0,4,0,0,0,0,0,0,1059,0,0,0,3642,0,0,0,0,0,2630,10053,311,7423,1589
AL,27677,JACARE DOS HOMENS,0,26,203,0,0,2,0,3,0,0,0,0,0,0,1147,0,0,0,1194,0,0,0,0,0,715,3917,91,3202,536
AL,27693,JACUIPE,0,35,57,0,0,1,0,2,0,0,0,0,0,0,872,0,0,0,1509,0,0,0,0,0,1021,4273,127,3252,649
AL,27715,JAPARATINGA,0,20,49,0,0,1,0,0,0,0,0,0,0,0,1135,0,0,0,1316,0,0,0,0,0,1012,4137,249,3125,355
AL,27731,JARAMATAIA,0,30,45,0,0,4,0,3,0,0,0,0,0,0,628,0,0,0,1473,0,0,0,0,0,708,3534,102,2826,541
AL,27758,JOAQUIM GOMES,0,122,210,0,0,6,0,12,0,0,0,0,0,0,2853,0,0,0,3048,0,0,0,0,0,3784,12189,384,8405,1770
AL,27774,JUNDIA,0,22,41,0,0,1,0,0,0,0,0,0,0,0,743,0,0,0,903,0,0,0,0,0,288,2532,74,2244,460
AL,27790,JUNQUEIRO,0,159,221,0,0,10,0,24,0,0,0,0,0,0,4848,0,0,0,3669,0,0,0,0,0,3824,15025,489,11201,1781
AL,27812,LAGOA DA CANOA,0,133,175,0,0,6,0,10,0,0,0,0,0,0,2790,0,0,0,2921,0,0,0,0,0,2902,10658,306,7756,1415
AL,27839,LIMOEIRO DE ANADIA,0,152,149,0,0,15,0,21,0,0,0,0,0,0,5128,0,0,0,2420,0,0,0,0,0,3377,13942,560,10565,2120
AL,27855,MACEIO,0,6137,26404,0,0,857,0,1397,0,0,0,0,0,0,94926,0,0,0,187742,0,0,0,0,0,70874,416017,7053,345143,20627
AL,27871,MAJOR ISIDORO,0,64,85,0,0,3,0,9,0,0,0,0,0,0,3166,0,0,0,3470,0,0,0,0,0,3111,11709,324,8598,1477
AL,27898,MARAGOGI,0,64,171,0,0,2,0,11,0,0,0,0,0,0,2872,0,0,0,3694,0,0,0,0,0,2449,11280,641,8831,1376
AL,27910,MARAVILHA,0,66,68,0,0,0,0,5,0,0,0,0,0,0,1849,0,0,0,2044,0,0,0,0,0,2174,7416,185,5242,1025
AL,27936,MARECHAL DEODORO,0,374,587,0,0,10,0,29,0,0,0,0,0,0,7027,0,0,0,5181,0,0,0,0,0,3812,19917,749,16105,2148
AL,27952,MARIBONDO,0,85,171,0,0,11,0,7,0,0,0,0,0,0,2520,0,0,0,3334,0,0,0,0,0,2364,10053,405,7689,1156
AL,27979,MAR VERMELHO,0,19,44,0,0,0,0,2,0,0,0,0,0,0,985,0,0,0,687,0,0,0,0,0,207,2391,91,2184,356
AL,27995,MATA GRANDE,0,276,222,0,0,2,0,4,0,0,0,0,0,0,4254,0,0,0,3301,0,0,0,0,0,3329,14585,919,11256,2278
AL,28010,MATRIZ DE CAMARAGIBE,0,104,200,0,0,5,0,5,0,0,0,0,0,0,3269,0,0,0,4553,0,0,0,0,0,3599,13530,382,9931,1413
AL,28037,MESSIAS,0,71,192,0,0,12,0,39,0,0,0,0,0,0,2901,0,0,0,1963,0,0,0,0,0,1891,8287,226,6396,992
AL,28053,MINADOR DO NEGRAO,0,28,43,0,0,3,0,8,0,0,0,0,0,0,807,0,0,0,1260,0,0,0,0,0,869,3743,112,2874,613
AL,28070,MONTEIROPOLIS,0,27,61,0,0,1,0,1,0,0,0,0,0,0,1270,0,0,0,1293,0,0,0,0,0,952,4352,157,3400,590
AL,28096,MURICI,0,146,373,0,0,8,0,7,0,0,0,0,0,0,3682,0,0,0,4702,0,0,0,0,0,1343,12703,340,11360,2102
AL,28118,NOVO LINO,0,66,62,0,0,2,0,7,0,0,0,0,0,0,1621,0,0,0,2156,0,0,0,0,0,582,5475,197,4893,782
AL,28134,OLHO D AGUA DAS FLORES,0,74,208,0,0,4,0,10,0,0,0,0,0,0,3374,0,0,0,3300,0,0,0,0,0,2596,11211,291,8615,1354
AL,28150,OLHO D AGUA DO CASADO,0,32,95,0,0,3,0,24,0,0,0,0,0,0,827,0,0,0,1976,0,0,0,0,0,1105,4916,86,3811,768
AL,28177,OLHO D AGUA GRANDE,0,24,26,0,0,1,0,0,0,0,0,0,0,0,837,0,0,0,1021,0,0,0,0,0,830,3345,88,2515,518
AL,28193,OLIVENCA,0,61,44,0,0,4,0,13,0,0,0,0,0,0,2655,0,0,0,1352,0,0,0,0,0,1556,6893,102,5337,1106
AL,28215,OURO BRANCO,0,46,44,0,0,3,0,0,0,0,0,0,0,0,1365,0,0,0,2161,0,0,0,0,0,1608,6332,144,4724,961
AL,28231,PALESTINA,0,16,31,0,0,3,0,1,0,0,0,0,0,0,1154,0,0,0,665,0,0,0,0,0,202,2534,68,2332,394
AL,28258,PALMEIRA DOS INDIOS,0,459,815,0,0,22,0,23,0,0,0,0,0,0,8699,0,0,0,15304,0,0,0,0,0,9107,40149,1137,31042,4583
AL,28274,PAO DE ACUCAR,0,82,249,0,0,7,0,3,0,0,0,0,0,0,5316,0,0,0,3525,0,0,0,0,0,3271,14681,287,11410,1941
AL,28290,PASSO DE CAMARAGIBE,0,56,110,0,0,4,0,1,0,0,0,0,0,0,1603,0,0,0,3283,0,0,0,0,0,1836,8243,362,6407,988
AL,28312,PAULO JACINTO,0,36,45,0,0,0,0,2,0,0,0,0,0,0,1133,0,0,0,1788,0,0,0,0,0,288,4061,156,3773,613
AL,28339,PENEDO,0,225,1007,0,0,16,0,15,0,0,0,0,0,0,8482,0,0,0,9364,0,0,0,0,0,6957,29820,865,22863,2889
AL,28355,PIACABUCU,0,102,191,0,0,4,0,1,0,0,0,0,0,0,2674,0,0,0,2985,0,0,0,0,0,2936,10501,337,7565,1271
AL,28371,PILAR,0,266,349,0,0,10,0,15,0,0,0,0,0,0,6849,0,0,0,5178,0,0,0,0,0,4818,20339,740,15521,2114
AL,28398,PINDOBA,0,14,19,0,0,0,0,1,0,0,0,0,0,0,249,0,0,0,914,0,0,0,0,0,108,1569,22,1461,242
AL,28410,PIRANHAS,0,74,257,0,0,3,0,6,0,0,0,0,0,0,4031,0,0,0,2364,0,0,0,0,0,3118,11768,267,8650,1648
AL,28436,POCO DAS TRINCHEIRAS,0,49,65,0,0,3,0,4,0,0,0,0,0,0,2241,0,0,0,2383,0,0,0,0,0,1980,7935,91,5955,1119
AL,28452,PORTO CALVO,0,140,212,0,0,3,0,23,0,0,0,0,0,0,3854,0,0,0,5253,0,0,0,0,0,4057,16068,512,12011,2014
AL,28479,PORTO DE PEDRAS,0,48,62,0,0,3,0,3,0,0,0,0,0,0,1152,0,0,0,1969,0,0,0,0,0,1228,5122,218,3894,439
AL,28495,PORTO REAL DO COLEGIO,0,60,181,0,0,6,0,6,0,0,0,0,0,0,3182,0,0,0,3033,0,0,0,0,0,2854,11618,805,8764,1491
AL,28517,QUEBRANGULO,0,75,96,0,0,4,0,1,0,0,0,0,0,0,2015,0,0,0,2641,0,0,0,0,0,641,6897,378,6256,1046
AL,28533,RIO LARGO,0,431,1172,0,0,25,0,41,0,0,0,0,0,0,11516,0,0,0,12903,0,0,0,0,0,7218,37469,1084,30251,3079
AL,28550,ROTEIRO,0,43,86,0,0,1,0,7,0,0,0,0,0,0,1380,0,0,0,532,0,0,0,0,0,1374,4155,127,2781,605
AL,28576,SANTA LUZIA DO NORTE,0,62,199,0,0,10,0,5,0,0,0,0,0,0,1195,0,0,0,1476,0,0,0,0,0,939,4490,137,3551,467
AL,28592,SANTANA DO IPANEMA,0,240,560,0,0,15,0,11,0,0,0,0,0,0,5479,0,0,0,9564,0,0,0,0,0,5112,24798,630,19686,3187
AL,28614,SANTANA DO MUNDAU,0,45,111,0,0,4,0,2,0,0,0,0,0,0,1721,0,0,0,1786,0,0,0,0,0,830,5715,163,4885,1053
