SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SE,31712,LARANJEIRAS,59,112,324,455,1,745,0,855,0,1077,325,150,275,449,3,0,0,1,1,309,6045,95,13,101,2,54,2443,2428,18928,853,16500,577
SE,31739,MACAMBIRA,14,202,34,348,3,22,0,1743,0,779,0,3,2,500,0,0,0,0,0,76,130,13,3,18,0,10,27,660,5288,194,4628,98
SE,31755,MALHADA DOS BOIS,7,8,569,699,0,21,0,93,0,260,0,9,4,370,0,0,0,0,2,59,60,47,3,9,0,5,21,522,3179,108,2657,56
SE,31771,MALHADOR,30,754,180,611,8,134,0,1117,0,385,0,90,6,1084,0,0,0,1,0,51,1202,18,6,201,7,18,186,1221,8744,442,7523,295
SE,31798,MARUIM,56,249,576,908,3,980,0,315,0,467,0,188,31,946,0,0,0,2,0,397,1744,92,14,520,8,89,483,1854,11644,609,9790,341
SE,31810,MOITA BONITA,17,800,97,116,0,31,0,185,0,98,0,17,20,1544,0,0,0,0,0,28,2773,15,3,20,0,7,54,1176,8337,380,7161,296
SE,31836,MONTE ALEGRE DE SERGIPE,579,157,891,1217,0,445,0,632,0,1206,0,16,5,547,3,0,0,0,0,39,61,26,1,9,0,3,481,1336,8965,232,7629,221
SE,31852,MURIBECA,20,76,920,247,1,62,0,252,0,455,0,28,24,962,0,0,0,0,4,96,661,44,4,55,0,13,296,1120,6240,317,5120,129
SE,31879,NEÓPOLIS,122,55,1732,1064,1,623,0,316,0,2063,3,69,11,373,0,0,0,3,1,330,150,123,3,114,1,238,1620,2566,14021,790,11455,457
SE,31895,NOSSA SENHORA DA GLÓRIA,624,53,1634,1481,0,1147,0,446,0,1235,0,68,48,906,0,0,0,0,3,174,205,27,17,62,1,15,7868,3527,22163,519,18636,479
SE,31917,NOSSA SENHORA DAS DORES,96,122,1095,1435,0,270,0,582,0,1796,1,326,250,1564,6,0,0,0,1,87,964,72,685,582,3,795,1083,3322,18503,1130,15181,702
SE,31933,NOSSA SENHORA DE LOURDES,11,4,1526,259,0,21,0,59,0,110,0,19,8,306,0,0,0,0,1,299,33,5,1,77,0,14,879,617,4966,164,4349,138
