SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27022,PARICONHA,0,3500,0,0,768,2326,0,0,0,0,0,0,426,0,0,209,0,0,0,0,0,0,0,1632,204,0,2169,7856,621,5687,1688
AL,27030,ANADIA,0,6635,0,0,304,4744,0,0,0,0,0,0,1578,0,0,24,0,0,0,0,0,0,0,1344,278,0,4121,13937,1866,9816,2859
AL,27049,ESTRELA DE ALAGOAS,0,3697,0,0,803,4757,0,0,0,0,0,0,71,0,0,10,0,0,0,0,0,0,0,2322,475,0,4368,12250,1295,7882,2334
AL,27057,ARAPIRACA,0,55139,0,0,3028,72158,0,0,0,0,0,0,2970,0,0,1192,0,0,0,0,0,0,0,22876,13507,0,23985,125965,14166,101980,18924
AL,27065,JEQUIÁ DA PRAIA,0,4439,0,0,171,3976,0,0,0,0,0,0,226,0,0,67,0,0,0,0,0,0,0,867,103,0,2144,8074,747,5930,1264
AL,27073,ATALAIA,0,17099,0,0,688,13542,0,0,0,0,0,0,728,0,0,1237,0,0,0,0,0,0,0,3268,632,0,7060,29788,2899,22728,5363
AL,27081,CAMPESTRE,0,1754,0,0,46,2584,0,0,0,0,0,0,26,0,0,7,0,0,0,0,0,0,0,439,767,0,751,4287,651,3536,798
AL,27090,BARRA DE SANTO ANTÔNIO,0,4467,0,0,118,4350,0,0,0,0,0,0,217,0,0,193,0,0,0,0,0,0,0,1202,316,0,759,7547,1272,6788,1441
AL,27111,BARRA DE SÃO MIGUEL,0,2874,0,0,105,2326,0,0,0,0,0,0,389,0,0,383,0,0,0,0,0,0,0,1118,153,0,919,5219,450,4300,802
AL,27138,BATALHA,0,5477,0,0,369,4714,0,0,0,0,0,0,1593,0,0,351,0,0,0,0,0,0,0,1713,389,0,2400,11076,919,8676,1827
AL,27154,BELÉM,0,2257,0,0,197,2282,0,0,0,0,0,0,76,0,0,4,0,0,0,0,0,0,0,694,197,0,1256,4863,555,3607,952
AL,27170,BELO MONTE,0,2174,0,0,465,2131,0,0,0,0,0,0,221,0,0,103,0,0,0,0,0,0,0,620,73,0,1169,4675,354,3506,871
AL,27197,BOCA DA MATA,0,9499,0,0,327,8391,0,0,0,0,0,0,2399,0,0,56,0,0,0,0,0,0,0,2218,416,0,5049,19974,3118,14925,3426
AL,27219,BRANQUINHA,0,2927,0,0,328,3001,0,0,0,0,0,0,86,0,0,16,0,0,0,0,0,0,0,1456,274,0,950,6053,591,5103,1527
AL,27235,CACIMBINHAS,0,1049,0,0,314,4077,0,0,0,0,0,0,83,0,0,63,0,0,0,0,0,0,0,1988,1806,0,1257,6823,332,5566,1420
AL,27251,CAJUEIRO,0,7514,0,0,242,6515,0,0,0,0,0,0,320,0,0,64,0,0,0,0,0,0,0,1773,683,0,3452,14012,1572,10560,2437
AL,27278,CAMPO ALEGRE,0,11412,0,0,601,8785,0,0,0,0,0,0,984,0,0,44,0,0,0,0,0,0,0,2764,571,0,6474,22239,2690,15765,3679
AL,27294,CAMPO GRANDE,0,3233,0,0,207,4222,0,0,0,0,0,0,149,0,0,5,0,0,0,0,0,0,0,1488,391,0,1698,7579,738,5881,1329
AL,27316,CANAPI,0,6799,0,0,142,6937,0,0,0,0,0,0,75,0,0,11,0,0,0,0,0,0,0,777,333,0,3994,13218,941,9224,2433
AL,27332,CAPELA,0,5738,0,0,1312,5649,0,0,0,0,0,0,410,0,0,96,0,0,0,0,0,0,0,1914,483,0,3285,13116,1465,9831,2595
AL,27359,CARNEIROS,0,2688,0,0,442,2700,0,0,0,0,0,0,41,0,0,4,0,0,0,0,0,0,0,539,410,0,1541,5687,433,4146,1035
AL,27375,CHÃ PRETA,0,2268,0,0,1073,2297,0,0,0,0,0,0,494,0,0,16,0,0,0,0,0,0,0,473,85,0,497,4861,713,4364,1309
AL,27391,COITÉ DO NÓIA,0,3925,0,0,178,3766,0,0,0,0,0,0,446,0,0,37,0,0,0,0,0,0,0,851,281,0,786,6593,707,5807,1423
AL,27413,COLÔNIA LEOPOLDINA,0,6317,0,0,225,4970,0,0,0,0,0,0,735,0,0,46,0,0,0,0,0,0,0,2106,581,0,4330,14758,2815,10428,3061
AL,27430,COQUEIRO SECO,0,2296,0,0,69,2084,0,0,0,0,0,0,227,0,0,37,0,0,0,0,0,0,0,520,155,0,764,4184,738,3420,714
AL,27456,CORURIPE,0,17245,0,0,651,15622,0,0,0,0,0,0,1166,0,0,192,0,0,0,0,0,0,0,6423,948,0,9411,36868,6218,27457,6449
AL,27472,DELMIRO GOUVEIA,0,10388,0,0,574,13133,0,0,0,0,0,0,1981,0,0,531,0,0,0,0,0,0,0,9189,3742,0,9550,35344,4827,25794,7223
AL,27499,DOIS RIACHOS,0,4101,0,0,448,4412,0,0,0,0,0,0,243,0,0,11,0,0,0,0,0,0,0,821,326,0,2533,8846,602,6313,1662
AL,27510,FEIRA GRANDE,0,7458,0,0,530,7402,0,0,0,0,0,0,272,0,0,117,0,0,0,0,0,0,0,1573,546,0,3493,15273,2279,11780,3383
AL,27537,FELIZ DESERTO,0,1652,0,0,72,1339,0,0,0,0,0,0,370,0,0,10,0,0,0,0,0,0,0,372,54,0,749,3240,455,2491,658
AL,27553,FLEXEIRAS,0,4148,0,0,309,3425,0,0,0,0,0,0,479,0,0,49,0,0,0,0,0,0,0,1143,212,0,1749,7782,890,6033,1411
AL,27570,GIRAU DO PONCIANO,0,8834,0,0,1721,11654,0,0,0,0,0,0,121,0,0,122,0,0,0,0,0,0,0,3079,1161,0,6966,23759,2590,16793,4304
AL,27596,IBATEGUARA,0,4472,0,0,352,3386,0,0,0,0,0,0,935,0,0,43,0,0,0,0,0,0,0,1876,525,0,2895,10679,1537,7784,2442
