SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,61794,ASSIS,12403,17,253,13,10,160,20,11951,462,22867,892,16353,69655,2113,53302,2141
SP,61808,PONTALINDA,931,1,2,0,0,2,2,326,3,1104,7,804,3391,150,2587,59
SP,61816,ATIBAIA,10342,43,277,59,32,199,8,13588,906,46091,1693,21692,102560,3732,80868,3898
SP,61824,PARISI,382,0,1,0,0,1,0,237,2,1019,6,409,2180,57,1771,66
SP,61832,AURIFLAMA,2847,2,29,2,0,25,0,1162,28,3951,99,2469,11422,435,8953,373
SP,61840,TAQUARIVAÍ,850,0,7,0,1,5,0,463,17,1999,6,1201,4762,111,3561,102
SP,61859,AVAÍ,839,1,16,2,1,5,0,787,20,1325,27,770,4041,127,3271,121
SP,61867,MARAPOAMA,348,0,4,1,0,0,1,237,7,1329,9,449,2536,71,2087,80
SP,61875,AVANHANDAVA,1825,4,44,1,2,5,1,1415,19,2197,27,1619,7688,290,6069,239
SP,61883,SÃO JOÃO DE IRACEMA,528,0,1,0,0,4,0,177,2,477,13,362,1654,44,1292,46
SP,61891,AVARÉ,7559,23,157,9,18,165,5,10078,422,25162,656,13781,63241,2576,49460,2630
SP,61905,SÃO LOURENÇO DA SERRA,2114,3,58,3,2,37,0,1743,44,3767,102,2306,11035,433,8729,423
SP,61913,BADY BASSITT,2397,6,45,2,0,25,1,1346,38,4659,104,2470,11897,333,9427,471
SP,61921,ZACARIAS,603,1,1,0,0,1,0,195,2,855,6,553,2375,72,1822,86
SP,61930,BALBINOS,199,0,2,0,0,1,0,286,2,525,3,381,1494,40,1113,55
SP,61948,ITAPIRAPUÃ PAULISTA,1129,0,6,1,0,12,0,235,7,843,2,761,3161,108,2400,57
SP,61956,BÁLSAMO,946,2,32,1,3,14,0,631,19,3680,39,1013,6813,241,5800,192
SP,61964,MESÓPOLIS,403,0,5,0,1,0,0,145,3,651,7,380,1690,66,1310,29
SP,61972,BANANAL,1988,4,25,5,0,16,0,1264,34,2620,46,1809,8307,218,6498,278
SP,61980,NOVA CAMPINA,2727,0,18,1,0,6,0,796,28,1581,12,1429,6794,103,5365,93
SP,61999,BARBOSA,1188,0,18,3,2,2,0,662,15,2103,10,1253,5527,117,4274,154
SP,62006,ILHA COMPRIDA,1649,5,36,2,7,12,0,1178,36,2516,47,2394,8329,174,5935,273
