SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1628,0,8,2,3,6,0,1956,1,1925,12,984,6902,74,5918,303
AC,1015,CAPIXABA,1344,1,16,1,4,6,0,1551,8,2475,10,1241,6941,57,5700,227
AC,1023,PORTO ACRE,3131,3,53,1,11,9,1,1983,12,3512,16,2108,11434,127,9326,467
AC,1031,SANTA ROSA DO PURUS,612,2,7,0,0,1,0,878,3,257,3,856,2783,21,1927,143
AC,1040,MARECHAL THAUMATURGO,2909,1,11,2,2,10,0,793,7,2425,4,2408,8799,19,6391,208
AC,1058,BRASILÉIA,4616,6,30,4,12,13,0,2857,14,5252,12,3616,17126,145,13510,549
AC,1066,PORTO WALTER,2134,1,7,0,0,2,0,343,2,1388,2,1381,5444,25,4063,159
AC,1074,CRUZEIRO DO SUL,12561,9,161,5,18,101,0,9201,46,15165,47,12504,51461,410,38957,1233
AC,1082,RODRIGUES ALVES,3466,1,26,0,2,8,0,1333,6,2351,3,2206,9731,45,7525,284
AC,1090,MÂNCIO LIMA,4348,3,49,1,3,21,0,1455,7,2306,5,2270,10818,70,8548,280
AC,1104,JORDÃO,1372,1,1,2,2,2,0,876,7,859,1,1047,4311,11,3264,130
AC,1112,EPITACIOLÂNDIA,2057,1,53,0,11,8,2,2801,9,2868,9,2097,10408,116,8311,376
AC,1120,ACRELÂNDIA,2293,3,19,2,13,21,1,717,15,3464,2,2144,9143,108,6999,341
AC,1139,FEIJÓ,7129,4,11,7,4,14,0,2841,16,3038,8,4565,18595,101,14030,857
AC,1392,RIO BRANCO,35802,39,520,25,155,332,6,115594,346,44676,648,25660,232220,2174,206560,6243
AC,1457,SENA MADUREIRA,5013,8,40,6,6,35,1,6363,24,7034,25,6206,25964,229,19758,974
AC,1473,TARAUACÁ,8629,8,27,3,17,4,1,2947,13,4185,8,6063,23055,209,16992,941
AC,1490,XAPURI,3785,6,31,1,2,7,0,2279,12,2341,19,2340,11344,57,9004,464
AC,1511,PLÁCIDO DE CASTRO,2322,7,22,3,6,12,0,3713,14,3269,7,2575,12516,113,9941,453
AC,1538,SENADOR GUIOMARD,2845,8,50,2,8,17,1,5240,25,4685,17,3146,16632,157,13486,431
AC,1554,MANOEL URBANO,1716,0,30,1,2,7,1,1399,6,1028,5,1464,5992,58,4528,275
AC,1570,ASSIS BRASIL,1929,0,31,0,1,3,0,483,4,1606,4,906,5186,18,4280,201
AL,27006,PARIPUEIRA,2408,4,84,1,0,21,1,1598,6,1795,37,1175,8056,399,6881,527
AL,27014,ÁGUA BRANCA,7724,4,12,3,1,18,0,1020,14,736,59,3063,13647,204,10584,789
AL,27022,PARICONHA,4473,0,0,3,3,6,0,409,6,308,20,1282,7146,95,5864,541
AL,27030,ANADIA,4276,2,32,4,4,32,0,1306,12,1572,34,3472,12013,403,8541,864
AL,27049,ESTRELA DE ALAGOAS,4977,1,19,5,0,14,1,810,6,733,26,3078,10714,245,7636,799
AL,27057,ARAPIRACA,44462,46,336,122,47,434,6,25924,250,23376,1123,20303,128775,4390,108472,7956
AL,27065,JEQUIÁ DA PRAIA,2795,1,42,3,0,16,0,1247,3,853,12,1299,6812,148,5513,393
AL,27073,ATALAIA,9726,13,133,9,6,76,0,3773,34,5066,92,6051,28031,1140,21980,1912
AL,27081,CAMPESTRE,1587,1,37,2,1,35,1,1062,0,445,8,1012,4627,134,3615,302
AL,27090,BARRA DE SANTO ANTÔNIO,3783,5,64,2,0,26,0,1718,10,1237,26,1801,9802,476,8001,654
AL,27111,BARRA DE SÃO MIGUEL,1842,1,21,1,4,18,0,1178,9,1296,21,757,5610,153,4853,309
AL,27138,BATALHA,5401,1,15,0,3,27,0,1476,9,1107,33,2063,11049,180,8986,734
AL,27154,BELÉM,1820,1,7,0,0,16,0,738,3,475,21,892,4457,140,3565,344
AL,27170,BELO MONTE,2451,1,8,1,1,17,0,340,1,330,14,849,4328,68,3479,247
AL,27197,BOCA DA MATA,6448,9,37,5,6,28,0,3099,17,2621,80,4227,18557,738,14330,1242
AL,27219,BRANQUINHA,2889,4,42,3,0,5,0,683,2,870,14,2112,7378,254,5266,500
AL,27235,CACIMBINHAS,3427,10,8,3,2,7,2,985,7,595,28,1543,7260,102,5717,541
AL,27251,CAJUEIRO,3598,2,20,1,4,13,2,2058,6,3081,67,2786,13074,542,10288,894
AL,27278,CAMPO ALEGRE,7576,6,41,2,3,38,0,3285,20,3578,48,4585,20988,492,16403,1314
AL,27294,CAMPO GRANDE,4214,1,13,3,1,14,0,450,7,531,18,1381,7242,146,5861,463
AL,27316,CANAPI,6542,1,21,2,12,33,0,580,4,450,53,2957,11722,198,8765,869
AL,27332,CAPELA,4127,9,33,1,5,13,0,1869,7,2174,58,2405,11935,374,9530,860
AL,27359,CARNEIROS,3244,2,4,1,1,20,0,354,3,419,25,1237,5745,57,4508,378
AL,27375,CHÃ PRETA,2256,1,6,2,2,5,1,502,3,698,24,1311,5391,164,4080,416
AL,27391,COITÉ DO NÓIA,4187,4,12,4,2,13,0,578,2,640,44,1633,7845,175,6212,551
AL,27413,COLÔNIA LEOPOLDINA,3634,3,25,2,3,42,0,2601,15,2591,51,2855,13168,475,10313,871
AL,27430,COQUEIRO SECO,1792,3,10,4,0,6,0,547,3,655,24,460,4113,256,3653,353
AL,27456,CORURIPE,10566,17,126,16,7,144,3,8236,27,6214,107,7637,36985,1607,29348,2278
AL,27472,DELMIRO GOUVEIA,18857,14,76,5,11,85,1,3419,50,1970,181,6417,33644,661,27227,1897
AL,27499,DOIS RIACHOS,3787,2,6,2,1,43,0,672,1,639,26,2003,7848,125,5845,541
AL,27510,FEIRA GRANDE,8109,3,27,2,2,58,0,1001,10,1379,28,2660,14748,494,12088,975
AL,27537,FELIZ DESERTO,1185,0,3,2,0,10,1,417,4,383,5,781,3151,123,2370,237
AL,27553,FLEXEIRAS,1591,1,30,3,1,9,0,1904,7,1531,34,1796,7814,228,6018,679
AL,27570,GIRAU DO PONCIANO,12514,11,31,5,0,27,1,1218,19,1520,89,5405,22708,478,17303,1390
AL,27596,IBATEGUARA,2798,6,29,8,4,20,0,1627,9,1823,61,1895,9567,420,7672,867
AL,27618,IGACI,8994,7,21,6,0,21,1,963,5,1077,49,5010,17868,479,12858,1235
AL,27634,IGREJA NOVA,7974,2,14,1,2,18,1,1283,9,1374,32,2968,15476,789,12508,1009
AL,27650,INHAPI,6503,1,8,4,1,34,1,467,8,445,36,2448,10983,198,8535,829
AL,27677,JACARÉ DOS HOMENS,2293,2,5,0,0,9,1,438,2,347,22,860,4306,49,3446,278
AL,27693,JACUÍPE,1833,2,16,0,0,10,0,1036,8,446,18,891,4722,157,3831,305
AL,27715,JAPARATINGA,1107,0,27,2,0,21,2,2148,7,572,14,1159,5685,262,4526,364
AL,27731,JARAMATAIA,2154,0,12,1,0,20,2,446,2,351,7,794,4202,96,3408,317
AL,27758,JOAQUIM GOMES,4526,2,34,1,3,32,1,2038,1,1351,46,2432,11811,381,9379,963
AL,27774,JUNDIÁ,924,2,11,1,0,12,0,917,4,596,14,971,3826,117,2855,257
AL,27790,JUNQUEIRO,6624,4,35,6,2,30,0,1723,5,3094,33,3982,17049,531,13067,980
AL,27812,LAGOA DA CANOA,6452,6,24,6,5,81,3,1054,8,1586,72,1954,12380,310,10426,819
AL,27839,LIMOEIRO DE ANADIA,7526,4,16,8,1,59,1,1528,9,1696,36,2953,15261,409,12308,1015
AL,27855,MACEIÓ,126159,678,4084,355,289,3268,60,137540,2056,116834,8857,89721,551962,25148,462241,36913
AL,27871,MAJOR ISIDORO,6062,5,11,7,0,10,1,1334,6,1902,41,3072,13519,264,10447,804
AL,27898,MARAGOGI,3222,3,40,6,4,32,0,7564,8,1406,71,3151,17351,824,14200,1020
AL,27910,MARAVILHA,3054,3,11,1,0,35,0,950,2,827,17,1568,7089,125,5521,496
AL,27936,MARECHAL DEODORO,9467,28,199,18,3,59,3,5973,78,5973,210,6280,31717,1372,25437,2054
AL,27952,MARIBONDO,3738,4,21,1,5,48,1,1189,5,1665,33,2059,9847,313,7788,765
AL,27979,MAR VERMELHO,1469,2,2,1,0,7,2,284,1,357,14,563,3007,90,2444,215
AL,27995,MATA GRANDE,8140,3,18,1,10,34,0,826,8,977,20,3642,15096,325,11454,1092
AL,28010,MATRIZ DE CAMARAGIBE,4806,5,82,3,0,32,0,4160,3,2232,47,3658,16484,594,12826,862
AL,28037,MESSIAS,3891,4,48,6,5,28,0,2041,5,2106,21,2060,11413,423,9353,775
AL,28053,MINADOR DO NEGRÃO,1881,0,3,2,8,9,0,401,4,367,7,689,3790,81,3101,338
AL,28070,MONTEIRÓPOLIS,2708,0,6,4,1,20,0,299,5,631,11,1131,5238,106,4107,316
AL,28096,MURICI,5795,5,73,7,4,31,1,3135,23,3005,89,3407,17759,683,14352,1501
AL,28118,NOVO LINO,2336,1,30,3,3,16,0,1749,33,1510,18,1772,8338,286,6566,581
AL,28134,OLHO D'ÁGUA DAS FLORES,4170,7,28,6,2,45,0,1955,14,2874,45,3056,13503,345,10447,956
AL,28150,OLHO D'ÁGUA DO CASADO,3708,0,8,3,0,18,0,239,1,235,16,1304,6077,97,4773,448
AL,28177,OLHO D'ÁGUA GRANDE,2145,0,8,0,0,24,0,184,0,263,4,821,3792,83,2971,260
AL,28193,OLIVENÇA,3754,0,9,5,1,27,1,849,1,770,19,1538,7713,100,6175,639
AL,28215,OURO BRANCO,3896,1,7,3,2,11,1,781,1,501,16,1313,7095,118,5782,444
AL,28231,PALESTINA,2059,5,17,1,1,13,0,262,3,416,7,820,3847,51,3027,192
AL,28258,PALMEIRA DOS ÍNDIOS,20278,12,128,16,11,108,3,5264,53,7693,242,8688,46881,1471,38193,2914
AL,28274,PÃO DE AÇÚCAR,8306,14,39,10,0,31,1,1539,16,1509,82,3574,16430,352,12856,957
AL,28290,PASSO DE CAMARAGIBE,4017,3,118,3,1,18,1,1735,7,1325,18,2016,10336,442,8320,632
AL,28312,PAULO JACINTO,2421,3,12,3,1,10,0,605,2,940,30,1260,5919,205,4659,427
AL,28339,PENEDO,15846,23,107,9,3,56,0,6629,36,3470,203,9248,39012,1302,29764,2080
AL,28355,PIAÇABUÇU,5281,1,40,6,1,26,1,1424,8,1143,40,2891,12003,339,9112,802
AL,28371,PILAR,6877,10,72,4,7,44,0,4247,16,4394,120,4524,23176,1232,18652,1629
AL,28398,PINDOBA,1060,0,1,1,0,1,0,266,3,278,10,341,2236,61,1895,214
AL,28410,PIRANHAS,9334,5,19,3,2,33,0,892,8,668,39,3337,15550,191,12213,1019
AL,28436,POÇO DAS TRINCHEIRAS,5345,0,8,0,0,28,0,442,4,597,20,1812,8915,133,7103,526
AL,28452,PORTO CALVO,2932,4,58,6,4,36,0,6271,10,2703,60,4083,18207,908,14124,1132
AL,28479,PORTO DE PEDRAS,1399,0,43,1,1,7,0,1666,4,1139,37,1186,6113,280,4927,350
AL,28495,PORTO REAL DO COLÉGIO,6821,3,30,1,0,52,1,1188,7,1312,20,2437,13158,469,10721,817
AL,28517,QUEBRANGULO,4304,6,4,5,3,28,0,768,10,1175,28,1726,8851,178,7125,616
AL,28533,RIO LARGO,16097,24,379,7,9,251,0,10251,82,7495,384,7908,48337,2478,40429,2972
AL,28550,ROTEIRO,1389,2,21,0,0,6,0,790,4,485,6,680,3854,126,3174,345
AL,28576,SANTA LUZIA DO NORTE,2267,2,24,1,2,22,0,582,2,892,24,641,5027,204,4386,364
AL,28592,SANTANA DO IPANEMA,14751,9,40,7,3,73,0,1982,74,3521,162,5264,28075,480,22811,1709
AL,28614,SANTANA DO MUNDAÚ,3183,2,8,2,0,31,0,524,5,1011,20,1608,7107,205,5499,508
AL,28630,SÃO BRÁS,2672,0,13,3,1,16,1,471,3,531,17,965,5220,199,4255,328
AL,28657,SÃO JOSÉ DA LAJE,5148,9,52,11,20,36,0,3245,23,2342,54,2846,15387,491,12541,1110
AL,28673,SÃO JOSÉ DA TAPERA,9205,5,18,9,3,50,1,1333,13,1330,77,4699,18315,358,13616,1214
AL,28690,SÃO LUÍS DO QUITUNDE,6093,3,115,1,5,43,0,4545,5,3008,58,4472,20559,908,16087,1303
AL,28711,SÃO MIGUEL DOS CAMPOS,6720,13,178,16,5,98,5,12424,40,6364,192,6138,35545,1224,29407,2128
AL,28738,SÃO MIGUEL DOS MILAGRES,1226,2,109,2,1,11,0,1455,6,910,22,1133,5680,325,4547,478
AL,28754,SÃO SEBASTIÃO,11072,5,67,5,6,37,2,1479,14,2864,38,4586,22243,600,17657,1468
AL,28770,SATUBA,3186,13,62,3,3,38,0,2105,12,1281,82,1340,9050,436,7710,489
AL,28797,TANQUE D'ARCA,2160,1,1,0,0,8,1,538,5,387,18,1093,4774,207,3681,355
AL,28819,TAQUARANA,4566,5,12,4,0,36,1,2294,12,1399,50,2441,12185,390,9744,975
AL,28835,TRAIPU,8239,3,18,8,2,59,0,1198,11,1163,49,3821,15834,213,12013,1050
AL,28851,UNIÃO DOS PALMARES,14727,14,165,17,14,151,2,4986,70,7038,264,8612,40396,1482,31784,2854
AL,28878,VIÇOSA,5985,6,24,8,8,32,1,2643,33,3655,100,3665,18241,735,14576,1346
AL,28894,CRAÍBAS,8502,9,19,2,0,20,0,1153,17,1185,56,3188,15760,500,12572,1109
AL,28916,SENADOR RUI PALMEIRA,4219,4,2,11,1,22,0,779,5,398,16,1717,7849,93,6132,582
AL,28932,TEOTÔNIO VILELA,7745,6,69,6,4,48,1,4650,21,4748,65,5603,25481,904,19878,1611
AM,2003,APUÍ,3801,1,91,1,0,4,0,112,1,1947,3,3101,9485,72,6384,351
AM,2011,NOVO AIRÃO,4042,1,88,1,2,13,0,445,9,1529,9,1132,7676,53,6544,352
AM,2020,GUAJARÁ,3482,1,45,0,1,9,0,413,3,972,0,3343,8659,34,5316,356
AM,2038,ANORI,4145,1,87,1,2,10,0,809,5,1386,5,2530,9328,55,6798,292
AM,2046,CAREIRO DA VÁRZEA,7952,2,362,1,2,12,0,968,4,1295,25,1610,12802,99,11192,470
AM,2054,ATALAIA DO NORTE,2578,1,37,1,1,2,0,1236,1,613,4,2184,6919,7,4735,254
AM,2070,AUTAZES,12147,2,228,9,3,20,0,1686,12,1635,20,5666,22305,131,16639,746
AM,2097,BARCELOS,2944,1,202,2,0,7,2,1027,10,1467,9,3162,9227,61,6065,333
AM,2119,BARREIRINHA,9886,3,43,2,3,16,0,1157,3,655,9,4513,16916,75,12403,551
AM,2135,BENJAMIN CONSTANT,11603,2,105,1,2,8,1,791,3,1156,18,4424,18891,84,14467,693
AM,2151,BOCA DO ACRE,8228,5,143,2,1,18,0,976,6,3175,8,5193,18823,132,13630,936
AM,2178,BORBA,10047,3,161,2,3,10,0,1334,6,1328,20,5103,18757,70,13654,670
AM,2194,CANUTAMA,3373,2,215,0,2,6,0,86,4,678,1,2432,7171,39,4739,333
AM,2216,CARAUARI,8414,4,351,1,3,2,0,565,3,1185,4,6526,17731,58,11205,615
AM,2232,CAREIRO,11137,8,480,1,0,31,2,910,12,1981,34,5697,21450,148,15753,1009
AM,2259,COARI,18929,10,723,6,4,65,1,5394,15,5105,85,13796,46097,328,32301,1636
AM,2275,CODAJÁS,6836,1,83,1,1,28,1,1042,7,1228,20,4391,14131,51,9740,441
AM,2291,EIRUNEPÉ,8501,1,46,2,2,10,0,931,9,1739,9,7930,20280,148,12350,952
AM,2313,ENVIRA,5348,2,70,0,2,4,1,229,1,610,6,3723,10492,41,6769,455
AM,2330,FONTE BOA,7828,3,28,2,1,9,0,332,7,873,3,3801,13463,39,9662,537
AM,2356,HUMAITÁ,13400,4,202,8,4,35,1,950,31,4086,57,6758,26562,202,19804,824
AM,2372,SANTA ISABEL DO RIO NEGRO,2591,0,38,0,0,0,0,506,4,668,7,2756,6863,41,4107,252
AM,2399,IPIXUNA,4720,1,29,1,1,2,1,213,3,671,5,3409,9566,38,6157,472
AM,2410,ITACOATIARA,32500,16,772,3,9,96,3,5294,44,7645,151,6679,55262,472,48583,1578
AM,2437,ITAPIRANGA,3592,1,82,1,1,9,0,704,4,640,5,1451,6666,26,5215,150
AM,2453,JAPURÁ,1700,1,62,0,0,1,0,258,1,441,2,1232,3815,17,2583,100
AM,2470,JURUÁ,2541,1,74,0,0,6,0,120,4,1177,3,2374,6610,35,4236,275
AM,2496,JUTAÍ,5757,2,56,1,0,2,1,383,5,424,2,3399,10630,42,7231,556
AM,2518,LÁBREA,10591,10,306,0,5,11,0,592,18,1927,22,7792,22260,110,14468,876
AM,2534,MANACAPURU,28605,11,661,4,5,147,1,7011,65,7084,96,5940,52230,443,46290,2157
AM,2550,MANAUS,407714,1155,32080,436,534,9241,78,289636,3881,231578,14688,181029,1244405,30130,1063376,42225
AM,2577,MANICORÉ,12841,5,233,0,0,4,0,876,4,3250,17,7270,25437,83,18167,854
AM,2593,MARAÃ,4514,1,44,0,0,3,0,318,2,318,3,2931,8445,14,5514,297
AM,2615,MAUÉS,15624,9,134,4,0,16,0,1988,8,1614,23,8335,28916,159,20581,1002
AM,2631,NHAMUNDÁ,6638,4,27,0,0,4,0,818,6,914,12,3377,12139,31,8762,308
AM,2658,NOVA OLINDA DO NORTE,8302,2,197,1,1,6,0,864,6,1103,14,4385,15508,76,11123,551
AM,2674,NOVO ARIPUANÃ,5738,2,128,2,0,5,0,489,4,803,9,3751,11384,72,7633,381
AM,2690,PARINTINS,31770,13,398,7,8,50,0,6334,46,6391,170,17153,64215,520,47062,1355
AM,2712,PAUINI,3894,1,261,0,0,11,0,782,3,576,7,3274,9146,33,5872,304
AM,2739,SANTO ANTÔNIO DO IÇÁ,6371,4,222,2,0,8,0,804,4,887,1,3074,12055,80,8981,598
AM,2755,SÃO PAULO DE OLIVENÇA,8648,4,27,3,1,4,1,1059,4,1088,9,2976,14756,75,11780,857
AM,2771,SILVES,4121,2,67,0,2,8,0,413,2,280,7,1364,6462,31,5098,165
AM,2798,TAPAUÁ,5401,4,435,1,2,7,0,383,4,1069,4,4054,11880,55,7826,461
AM,2810,TEFÉ,18734,6,389,4,2,25,0,2942,27,3761,76,10016,37434,243,27418,1209
AM,2836,SÃO GABRIEL DA CACHOEIRA,14203,6,53,1,0,16,0,1922,10,1618,21,8210,26780,99,18570,621
AM,2852,URUCARÁ,6338,1,89,2,0,9,1,668,5,604,10,2715,10817,48,8102,327
AM,2879,URUCURITUBA,6688,1,53,2,0,3,1,758,1,619,5,3115,11595,51,8480,298
AM,2895,ALVARÃES,5086,1,44,3,2,1,2,466,4,655,8,2427,9057,29,6630,329
AM,2917,AMATURÁ,2816,4,85,2,0,2,0,440,1,358,3,1112,5112,25,4000,264
AM,2933,ANAMÃ,3437,0,65,0,2,4,0,602,3,507,2,1850,6734,30,4884,232
AM,2950,BERURI,6338,1,63,3,2,4,0,336,4,625,6,2307,10092,35,7785,368
AM,2976,BOA VISTA DO RAMOS,5353,1,26,0,0,7,0,636,0,470,4,2783,9572,20,6789,272
AM,2992,CAAPIRANGA,4140,0,93,1,0,10,0,396,4,392,4,1910,7237,38,5327,249
AM,98353,IRANDUBA,13013,9,433,5,1,45,0,2669,14,2133,70,1395,20899,191,19504,921
AM,98370,ITAMARATI,2497,0,72,1,0,10,0,528,1,744,3,1900,5997,18,4097,223
AM,98396,MANAQUIRI,6981,0,182,1,1,31,0,604,7,697,12,2991,12005,67,9014,431
AM,98418,PRESIDENTE FIGUEIREDO,9362,7,335,2,1,41,0,1812,14,1966,37,2345,16729,165,14384,642
AM,98434,RIO PRETO DA EVA,6293,3,321,2,1,33,0,1121,12,1847,35,1487,11987,133,10500,699
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2774,0,41,0,1,18,0,418,1,645,1,1406,5494,36,4088,153
AM,98477,TABATINGA,13857,3,166,4,0,36,0,3348,10,2216,47,6969,28416,285,21447,1475
AM,98493,UARINI,3996,0,29,1,0,4,0,312,1,588,4,1788,6997,25,5209,249
AM,98515,TONANTINS,4599,3,35,1,0,2,0,416,2,621,3,2198,8268,21,6070,367
AP,6009,PRACUÚBA,1543,0,31,0,8,4,0,341,1,303,9,166,2471,11,2305,54
AP,6017,AMAPÁ,3079,2,57,0,33,6,0,577,4,801,22,528,5301,36,4773,156
AP,6025,PORTO GRANDE,6436,17,107,2,5,24,1,953,14,1913,37,1476,11533,101,10057,447
AP,6033,CALÇOENE,3363,4,54,2,0,10,0,581,2,1457,16,1019,6777,53,5758,216
AP,6041,ITAUBAL,2324,4,91,2,0,0,0,513,8,568,15,392,4037,22,3645,98
AP,6050,MACAPÁ,105408,961,2968,108,177,1191,14,51275,969,64960,3217,26279,268474,3240,242195,7707
AP,6068,CUTIAS,2034,2,14,1,0,6,0,419,5,493,4,279,3357,16,3078,84
AP,6076,MAZAGÃO,7905,3,167,5,19,7,0,1294,10,1484,22,994,12257,60,11263,287
AP,6084,PEDRA BRANCA DO AMAPARI,4027,7,120,5,10,15,0,834,13,1171,20,1209,7745,70,6536,244
AP,6092,OIAPOQUE,6291,4,109,2,5,24,2,2771,15,2210,29,3658,15974,246,12316,608
AP,6106,SERRA DO NAVIO,1540,1,66,0,7,7,0,357,4,654,19,317,3079,17,2762,90
AP,6114,FERREIRA GOMES,2429,3,76,3,0,6,0,1093,3,713,29,905,5435,48,4530,127
AP,6122,VITÓRIA DO JARI,5629,2,115,3,15,5,0,668,5,857,11,1027,8668,64,7641,267
AP,6130,LARANJAL DO JARI,13285,5,286,3,11,41,2,3613,45,4314,86,3299,26137,333,22838,814
AP,6157,SANTANA,29514,102,778,20,140,193,2,11712,147,16268,459,5342,67380,665,62038,2038
AP,6173,TARTARUGALZINHO,4209,5,77,6,5,10,0,790,9,959,13,673,7055,63,6382,236
BA,30007,LUÍS EDUARDO MAGALHÃES,11032,9,237,10,6,57,0,6539,42,10343,85,8968,39378,867,30410,1183
BA,30058,EUNÁPOLIS,17401,14,186,7,61,91,7,16928,57,14226,220,20087,74025,1469,53938,3271
BA,30660,IUIU,4222,0,11,1,0,1,1,325,4,1084,6,2180,8255,100,6075,320
BA,30678,JABORANDI,3992,2,1,6,4,3,0,197,3,845,6,931,6539,139,5608,410
BA,30694,JUSSARI,2004,1,19,0,0,2,0,290,0,759,9,1572,4962,50,3390,256
BA,30716,AMÉRICA DOURADA,6690,2,20,5,0,11,1,732,1,698,16,3545,12361,167,8816,473
BA,30732,ARATACA,2723,0,14,0,1,3,1,632,1,832,1,433,5000,53,4567,306
BA,30759,BARRO ALTO,5209,5,26,1,0,10,0,706,7,742,20,2024,9267,158,7243,359
BA,30775,BARROCAS,6765,2,26,3,1,13,1,758,8,1355,20,2494,12173,129,9679,598
BA,30791,BURITIRAMA,6632,0,55,6,1,11,0,369,2,2133,2,4695,14827,83,10132,838
BA,30813,CAPELA DO ALTO ALEGRE,3793,4,28,5,4,15,4,831,9,1154,28,2329,9075,271,6746,600
BA,30830,CAPIM GROSSO,7894,5,44,4,3,22,1,2993,18,2945,42,5244,20808,510,15564,1083
BA,30856,CANUDOS,6580,3,20,6,0,5,1,930,2,560,9,3319,12057,103,8738,519
BA,30872,DIAS D'ÁVILA,18935,19,352,13,9,77,0,7075,48,4300,170,9161,43915,1560,34754,2196
BA,30899,FÁTIMA,6942,6,21,3,1,12,1,890,31,1372,98,4042,14546,372,10504,755
BA,30910,FILADÉLFIA,6069,2,39,3,1,16,2,1183,6,1596,11,3625,13557,237,9932,767
BA,30937,GAVIÃO,1670,2,6,0,1,3,0,367,8,680,7,984,4063,63,3079,272
BA,30953,GUAJERU,3594,1,5,2,0,4,0,256,1,380,6,2797,7452,45,4655,361
BA,30970,HELIÓPOLIS,5761,1,18,4,3,10,0,459,3,896,31,3465,11255,157,7790,447
BA,30996,JOÃO DOURADO,8070,2,59,3,5,18,1,2303,9,1425,10,4465,17115,221,12650,524
BA,33014,ABAÍRA,2928,4,29,1,11,13,2,377,2,1047,18,1741,6739,124,4998,442
BA,33030,ABARÉ,6901,2,11,4,1,13,0,1370,4,848,4,1845,11806,65,9961,738
BA,33057,ACAJUTIBA,4513,0,26,2,0,3,0,1035,10,1543,24,2721,10801,235,8080,689
BA,33065,ADUSTINA,6192,4,11,3,2,16,1,548,6,780,12,1457,9948,223,8491,693
BA,33073,ÁGUA FRIA,4580,6,67,4,1,11,4,1828,5,1152,28,3067,11912,223,8845,936
BA,33090,ÉRICO CARDOSO,3270,2,27,5,0,2,0,368,21,1324,8,3387,9044,118,5657,512
BA,33111,AIQUARA,1919,0,26,2,0,3,0,478,4,301,7,1374,4417,65,3043,238
BA,33138,ALAGOINHAS,37064,106,552,33,26,188,8,22584,132,12650,783,22591,106317,3815,83726,5785
BA,33154,ALCOBAÇA,7927,1,47,4,0,26,1,1281,23,1489,30,5483,17502,377,12019,813
BA,33170,ALMADINA,2047,2,17,3,1,4,0,330,5,773,13,1639,5215,70,3576,311
BA,33197,AMARGOSA,9602,6,110,6,4,33,0,4229,24,2717,104,5812,24713,658,18901,1408
BA,33219,AMÉLIA RODRIGUES,7864,6,130,5,5,28,1,2413,12,2007,76,3171,17343,633,14172,992
BA,33235,ANAGÉ,7432,5,19,4,1,20,1,1599,26,2801,11,4434,17738,277,13304,1108
BA,33251,ANDARAÍ,5241,4,12,0,0,1,0,561,11,353,18,3426,10179,99,6753,453
BA,33260,ANDORINHA,7287,2,21,6,0,3,0,542,6,594,13,1108,10357,199,9249,576
BA,33278,ANGICAL,7232,2,29,1,1,4,0,418,3,826,15,2432,11699,121,9267,615
BA,33294,ANGUERA,4832,3,34,2,1,9,2,733,7,646,25,1859,8832,168,6973,511
BA,33316,ANTAS,5145,1,15,2,3,10,0,716,5,1202,17,2292,10069,141,7777,520
BA,33332,ANTÔNIO CARDOSO,6483,1,5,1,1,6,1,844,0,483,23,1784,10266,184,8482,450
BA,33359,ANTÔNIO GONÇALVES,3770,1,10,0,4,6,0,744,6,735,18,1897,7741,123,5844,427
BA,33375,APORÁ,5347,4,30,6,0,8,2,742,10,1961,19,4307,13386,265,9079,685
BA,33383,ARAÇÁS,4546,5,19,2,1,9,0,1034,9,1158,24,2658,10233,318,7575,450
BA,33391,ARACATU,6185,1,17,0,2,8,1,1002,58,958,19,3258,12286,181,9028,596
BA,33405,APUAREMA,2002,1,15,0,0,16,2,488,3,809,6,1776,5573,86,3797,369
BA,33413,ARACI,19925,7,40,6,7,13,1,2043,12,2570,83,12057,38916,410,26859,1742
BA,33430,ARAMARI,4231,2,20,4,1,2,0,983,4,697,18,1503,8160,206,6657,489
BA,33456,ARATUÍPE,3550,3,23,2,3,1,0,772,4,731,14,1890,7637,198,5747,446
BA,33472,AURELINO LEAL,4092,1,60,4,2,9,0,1042,2,549,34,1357,7760,102,6403,506
BA,33499,BAIANÓPOLIS,6361,0,22,4,0,8,0,658,1,890,4,2131,10735,162,8604,494
BA,33510,BAIXA GRANDE,5761,4,39,6,1,8,4,1803,9,2167,44,4305,15505,379,11200,975
BA,33529,BANZAÊ,4383,3,26,2,1,9,1,758,5,1052,15,2881,9820,174,6939,510
