SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,61743,HOLAMBRA,2282,5923,1895,10383,102,8488,181
SP,61751,ARTUR NOGUEIRA,7715,16801,5690,31654,574,25964,874
SP,61760,ELISIÁRIO,611,1535,481,2718,26,2237,65
SP,61778,ARUJÁ,17863,29539,12092,62378,917,50286,1967
SP,61786,BOM SUCESSO DE ITARARÉ,1074,1215,809,3149,19,2340,32
SP,61794,ASSIS,16980,33500,16654,69656,853,53002,1669
SP,61808,PONTALINDA,1118,1369,792,3391,46,2599,66
SP,61816,ATIBAIA,15188,60757,22663,102563,1287,79900,2668
SP,61824,PARISI,553,1140,422,2180,23,1758,42
SP,61832,AURIFLAMA,3843,4730,2409,11424,173,9015,269
SP,61840,TAQUARIVAÍ,1051,2355,1238,4762,48,3524,70
SP,61859,AVAÍ,1125,1875,918,4041,47,3123,76
SP,61867,MARAPOAMA,443,1525,504,2536,15,2032,49
SP,61875,AVANHANDAVA,2475,3289,1710,7688,89,5978,125
SP,61883,SÃO JOÃO DE IRACEMA,632,582,391,1654,25,1263,24
SP,61891,AVARÉ,10521,35864,14256,63240,847,48984,1752
SP,61905,SÃO LOURENÇO DA SERRA,3025,5018,2455,11035,192,8580,345
SP,61913,BADY BASSITT,3058,5827,2531,11897,126,9366,355
SP,61921,ZACARIAS,702,984,577,2375,28,1798,84
SP,61930,BALBINOS,280,745,413,1494,22,1081,34
SP,61948,ITAPIRAPUÃ PAULISTA,1195,1110,757,3161,41,2404,58
SP,61956,BÁLSAMO,1261,4194,1125,6813,96,5688,137
SP,61964,MESÓPOLIS,497,752,402,1690,25,1288,14
SP,61972,BANANAL,2908,3273,1783,8308,103,6525,241
SP,61980,NOVA CAMPINA,2707,2407,1557,6794,37,5237,86
SP,61999,BARBOSA,1505,2526,1336,5528,55,4192,106
SP,62006,ILHA COMPRIDA,2185,3321,2563,8329,75,5766,185
SP,62014,BARÃO DE ANTONINA,736,1157,538,2521,32,1983,58
SP,62022,LOURDES,659,834,458,2021,19,1563,51
SP,62030,BARIRI,3190,14197,5959,24262,312,18303,604
SP,62049,TORRE DE PEDRA,409,1309,844,2627,27,1783,38
SP,62057,BARRA BONITA,5677,16775,6556,30325,428,23769,889
SP,62065,ARCO-ÍRIS,524,1051,409,2020,10,1611,26
SP,62073,BARRA DO TURVO,2525,1718,2851,7242,40,4391,108
SP,62081,BREJO ALEGRE,981,826,439,2358,40,1919,72
SP,62090,BARRETOS,21564,40026,20188,84994,1056,64806,2160
SP,62103,CANAS,1163,1732,678,3695,42,3017,80
SP,62111,BARRINHA,7120,8803,4721,21644,432,16923,568
SP,62120,PRACINHA,521,585,360,1499,14,1139,19
SP,62138,BARUERI,83265,95593,45259,236278,4163,191019,7998
SP,62146,PRATÂNIA,1027,2123,1037,4322,49,3285,86
SP,62154,BASTOS,3149,9649,3873,17234,290,13361,273
SP,62162,QUADRA,626,1526,730,2960,34,2230,44
SP,62170,BATATAIS,10111,22284,8884,42877,564,33993,1034
SP,62189,SANTA CRUZ DA ESPERANÇA,387,926,510,1908,10,1398,75
SP,62197,BAURU,72881,119147,52327,258307,4189,205980,9763
SP,62200,SANTA SALETE,459,790,262,1557,17,1295,29
SP,62219,BEBEDOURO,13244,29368,13328,57977,762,44649,1275
SP,62227,VITÓRIA BRASIL,638,616,247,1571,16,1324,54
SP,62235,BENTO DE ABREU,554,1062,549,2250,27,1701,58
SP,62243,IPIGUÁ,1019,1792,799,3709,40,2910,59
SP,62251,BERNARDINO DE CAMPOS,1685,4580,1948,8503,98,6555,192
SP,62260,TAQUARAL,533,1128,513,2253,36,1740,43
SP,62278,BILAC,1097,3503,1201,5979,48,4778,130
SP,62286,FERNÃO,432,697,408,1578,18,1170,23
SP,62294,BIRIGUI,15552,46968,14575,80581,1053,66006,2433
SP,62308,GAVIÃO PEIXOTO,1497,1407,692,3717,40,3025,81
SP,62316,BIRITIBA MIRIM,4534,12321,4531,22301,385,17770,530
SP,62324,JUMIRIM,400,1390,514,2356,16,1842,36
SP,62332,BOA ESPERANÇA DO SUL,3285,4324,2169,10190,150,8021,262
SP,62340,NANTES,1009,750,515,2320,20,1805,26
SP,62359,BOCAINA,1107,5557,1841,8762,79,6921,178
SP,62367,NOVA CASTILHO,367,627,293,1322,9,1029,26
SP,62375,BOFETE,1891,3325,2306,7796,86,5490,188
SP,62383,OUROESTE,2650,2887,1601,7414,101,5813,175
SP,62391,BOITUVA,7170,20925,8122,38011,549,29889,1245
SP,62405,PAULISTÂNIA,301,917,367,1617,16,1250,16
SP,62413,BOM JESUS DOS PERDÕES,2910,8434,3178,15050,205,11872,323
SP,62421,RIBEIRÃO DOS ÍNDIOS,766,789,441,2071,37,1630,38
SP,62430,BORÁ,308,498,224,1060,15,836,15
SP,62448,TRABIJU,402,791,287,1509,15,1222,14
SP,62456,BORACÉIA,1199,1561,709,3601,52,2892,80
SP,62472,BORBOREMA,1919,6493,2578,11341,133,8763,218
SP,62499,BOTUCATU,19566,49864,20175,94693,1337,74518,3751
SP,62510,BRAGANÇA PAULISTA,18003,72117,23476,117990,1380,94514,3014
SP,62553,BRAÚNA,820,2454,780,4174,33,3394,87
SP,62570,BRODOWSKI,3207,8592,3073,15528,187,12455,469
SP,62596,BROTAS,2573,10126,4494,17840,208,13346,439
SP,62618,BURI,3560,7242,3545,14779,195,11234,237
SP,62634,BURITAMA,3575,5384,2964,12397,164,9433,310
SP,62650,BURITIZAL,746,1889,633,3381,40,2748,73
SP,62677,CABRÁLIA PAULISTA,1312,1489,984,3905,49,2921,71
SP,62693,CABREÚVA,8449,16055,6471,32491,578,26020,938
SP,62715,CAÇAPAVA,13622,37666,13711,68331,1105,54620,2227
SP,62731,CACHOEIRA PAULISTA,7150,10782,5677,24578,334,18901,635
SP,62758,CACONDE,4667,5704,3640,14443,148,10803,284
SP,62774,CAFELÂNDIA,2493,7070,3416,13378,165,9962,234
SP,62790,CAIABU,1575,1268,728,3668,37,2940,60
SP,62812,CAIEIRAS,19748,27979,11906,63609,1269,51703,2707
SP,62839,CAIUÁ,1660,1191,1166,4119,39,2953,63
SP,62855,CAJAMAR,19547,21752,10501,54514,1015,44013,1699
SP,62871,CAJOBI,2073,3855,1863,8046,88,6183,167
SP,62898,CAJURU,5406,7969,4342,18575,277,14233,581
SP,62910,CAMPINAS,227776,366419,170275,809136,13592,638861,31074
SP,62936,CAMPO LIMPO PAULISTA,18439,25461,11938,59558,1103,47620,2617
SP,62952,CAMPOS DO JORDÃO,6957,20178,9928,38655,560,28727,1032
SP,62979,CAMPOS NOVOS PAULISTA,1022,1684,879,3703,42,2824,76
SP,62995,CANANÉIA,2371,4211,3335,10204,92,6869,195
SP,63010,CÂNDIDO MOTA,5232,13043,5513,24684,372,19171,524
SP,63037,CÂNDIDO RODRIGUES,489,1451,521,2548,31,2027,56
SP,63053,CAPÃO BONITO,9050,17102,9443,36779,519,27336,665
SP,63070,CAPELA DO ALTO,3051,6865,2426,12812,194,10386,276
SP,63096,CAPIVARI,5865,21083,7078,35440,508,28362,906
SP,63118,CARAGUATATUBA,18909,36820,18384,77548,1196,59164,2239
SP,63134,CARAPICUÍBA,101741,103862,55197,276921,5781,221724,10340
SP,63150,CARDOSO,3043,3957,2744,10117,122,7373,251
SP,63177,CASA BRANCA,4118,10308,5718,21035,331,15317,560
SP,63193,CÁSSIA DOS COQUEIROS,611,1271,769,2774,31,2005,92
SP,63215,CASTILHO,6154,4384,2862,13932,213,11070,319
SP,63231,CATANDUVA,15365,49492,17291,85589,1014,68298,2427
SP,63258,CATIGUÁ,1066,3503,902,5781,74,4879,236
SP,63274,CEDRAL,1367,3819,1200,6684,96,5484,202
SP,63290,CERQUEIRA CÉSAR,2536,7563,3538,14128,236,10590,255
SP,63312,CERQUILHO,4245,19286,5740,30778,463,25038,1044
SP,63339,CESÁRIO LANGE,1449,7190,2474,11725,233,9251,379
SP,63355,CHARQUEADA,1827,7757,2499,12516,155,10017,278
SP,63371,CHAVANTES,2587,4579,2172,9713,127,7541,248
SP,63398,CLEMENTINA,1263,2707,1099,5263,53,4164,141
SP,63410,COLINA,4279,6177,3521,14551,193,11030,381
SP,63436,COLÔMBIA,1864,2042,1607,5726,90,4119,123
SP,63452,CONCHAL,3536,12058,3893,20180,291,16287,402
SP,63479,CONCHAS,2641,6796,3897,13777,139,9880,304
SP,63495,CORDEIRÓPOLIS,3381,9775,3381,17385,277,14004,571
SP,63517,COROADOS,936,2259,808,4116,37,3308,76
SP,63533,CORONEL MACEDO,1592,1619,1002,4341,48,3339,80
SP,63550,CORUMBATAÍ,471,1881,320,2771,32,2451,67
SP,63576,COSMÓPOLIS,13736,18143,9919,44308,867,34389,1643
SP,63592,COSMORAMA,1662,3104,1169,6082,70,4913,77
SP,63614,COTIA,46557,67143,28069,148777,2444,120708,4564
SP,63630,CRAVINHOS,4233,14041,5354,24713,293,19359,792
SP,63657,CRISTAIS PAULISTA,1736,3386,1576,6923,72,5347,153
SP,63673,CRUZÁLIA,603,1112,466,2216,20,1750,15
SP,63690,CRUZEIRO,12583,31490,12130,59117,856,46987,2058
SP,63711,CUBATÃO,39480,31722,19660,95161,1257,75501,3042
SP,63738,CUNHA,6990,6537,5143,19391,259,14248,462
SP,63754,DESCALVADO,3241,15424,5289,25202,397,19913,851
SP,63770,DIADEMA,131507,112729,61364,325067,6027,263703,13440
SP,63797,DIVINOLÂNDIA,2170,5411,2143,10199,180,8056,295
SP,63819,DOBRADA,1629,2692,1002,5570,86,4568,161
SP,63835,DOIS CÓRREGOS,2567,11299,4543,18983,221,14440,353
SP,63851,DOLCINÓPOLIS,1104,603,454,2241,23,1787,57
SP,63878,DOURADO,1195,4227,1645,7407,113,5762,227
SP,63894,DRACENA,7421,18485,6898,33815,418,26917,593
SP,63916,DUARTINA,2574,5063,2031,10058,121,8027,269
SP,63932,DUMONT,1275,3766,1247,6508,72,5261,148
SP,63959,ECHAPORÃ,1460,2347,1344,5315,51,3971,113
SP,63975,ELDORADO,4058,3447,3982,11798,99,7816,212
SP,63991,ELIAS FAUSTO,3790,5843,3045,13283,230,10238,375
SP,64017,EMBU DAS ARTES,58376,66768,15566,149654,3127,134088,5817
SP,64033,EMBU-GUAÇU,16135,20850,11399,50960,902,39561,1674
SP,64050,ESTRELA D'OESTE,1639,3644,1420,6944,93,5524,148
SP,64076,ESTRELA DO NORTE,851,1059,585,2557,25,1972,37
SP,64092,FARTURA,3188,6129,3100,12833,154,9733,262
SP,64114,FERNANDÓPOLIS,16843,20758,11624,50933,665,39309,1043
SP,64130,FERNANDO PRESTES,1035,2561,1086,4879,96,3793,101
SP,64157,FERRAZ DE VASCONCELOS,45162,43161,24502,120731,2617,96229,5289
SP,64173,FLORA RICA,628,632,528,1820,13,1292,19
SP,64190,FLOREAL,778,1285,523,2675,29,2152,60
SP,64211,FLÓRIDA PAULISTA,2385,3978,1675,8358,118,6683,202
SP,64238,FLORÍNEA,893,1059,659,2674,25,2015,38
SP,64254,FRANCA,58044,121297,40416,229100,3256,188684,6087
SP,64270,FRANCISCO MORATO,48328,33098,24601,112572,2454,87971,4091
SP,64297,FRANCO DA ROCHA,34314,34343,20193,95780,2088,75587,4842
SP,64319,GABRIEL MONTEIRO,338,1655,498,2585,26,2087,68
SP,64335,GÁLIA,1474,2424,1515,5585,73,4070,99
SP,64351,GARÇA,5846,18833,8720,34842,542,26122,901
SP,64378,GASTÃO VIDIGAL,1185,1173,884,3333,41,2449,50
SP,64394,GENERAL SALGADO,1958,4533,1846,8565,90,6719,138
SP,64416,GETULINA,1968,3696,2539,8469,107,5930,159
SP,64432,GLICÉRIO,1280,1768,909,4076,40,3167,79
SP,64459,GUAIÇARA,2099,3969,1943,8275,118,6332,146
SP,64475,GUAIMBÉ,1561,1735,1111,4573,60,3462,106
SP,64491,GUAÍRA,8892,12676,7326,29691,304,22365,493
SP,64513,GUAPIAÇU,3754,6933,2973,14254,204,11281,390
SP,64530,GUAPIARA,5413,5206,4883,15917,160,11034,255
SP,64556,GUARÁ,5749,5564,3553,15313,169,11760,278
SP,64572,GUARAÇAÍ,1950,3082,1723,7005,100,5282,150
SP,64599,GUARACI,2793,3056,2387,8464,85,6077,143
SP,64610,GUARANI D'OESTE,677,625,348,1700,13,1352,37
SP,64637,GUARANTÃ,1415,2535,1439,5571,93,4132,89
SP,64653,GUARARAPES,5875,12238,5937,24851,265,18914,536
SP,64670,GUARAREMA,5222,12245,4115,22337,303,18222,452
SP,64696,GUARATINGUETÁ,19947,47558,18295,89300,1308,71005,2192
SP,64718,GUAREÍ,2169,4380,1918,8958,162,7040,329
SP,64734,GUARIBA,8139,13260,5934,28355,428,22421,594
SP,64750,GUARUJÁ,81188,83706,44638,221991,3792,177353,8667
SP,64777,GUARULHOS,242275,414153,158413,868515,15156,710102,38518
SP,64793,GUZOLÂNDIA,1618,1274,809,3835,49,3026,85
SP,64815,HERCULÂNDIA,2344,2798,1454,6874,68,5420,210
SP,64831,IACANGA,1479,4354,1356,7462,117,6106,156
SP,64858,IACRI,1210,2782,1165,5311,54,4146,100
SP,64874,IBATÉ,5599,12538,5205,24503,445,19298,716
SP,64890,IBIRÁ,1617,4687,1658,8249,91,6591,196
SP,64912,IBIRAREMA,1031,2633,1064,4932,90,3868,114
SP,64939,IBITINGA,9629,21343,9337,41953,575,32616,1069
SP,64955,IBIÚNA,9643,32690,13916,58286,701,44370,1336
SP,64971,ICÉM,2161,2548,1816,6705,54,4889,126
SP,64998,IEPÊ,1459,3138,1334,6112,60,4778,121
SP,65013,IGARAÇU DO TIETÊ,4913,8642,3812,18587,517,14775,703
SP,65030,IGARAPAVA,6790,7925,6371,21865,307,15494,472
SP,65056,IGARATÁ,1575,4377,1546,7733,66,6187,169
SP,65072,IGUAPE,6942,8091,7235,22989,229,15754,492
SP,65099,ILHABELA,4495,11707,5203,22051,207,16848,439
SP,65110,INDAIATUBA,37797,76102,27598,149224,2476,121626,5251
SP,65137,INDIANA,1270,2083,982,4484,70,3502,79
SP,65153,INDIAPORÃ,1334,1163,705,3296,34,2591,60
SP,65170,INÚBIA PAULISTA,595,1826,554,3076,34,2522,67
SP,65196,IPAUSSU,2029,5906,2394,10657,128,8263,200
SP,65218,IPERÓ,5746,7383,4262,18226,296,13964,539
SP,65234,IPEÚNA,915,3006,602,4674,42,4072,109
SP,65250,IPORANGA,1433,774,1204,3510,25,2306,74
SP,65277,IPUÃ,4120,4121,2261,10828,143,8567,183
SP,65293,IRACEMÁPOLIS,3698,9146,2613,16111,211,13498,443
SP,65315,IRAPUÃ,1227,2904,1313,5678,102,4365,132
SP,65331,IRAPURU,1477,2502,1277,5450,87,4173,107
SP,65358,ITABERÁ,4979,5781,2943,14057,142,11114,212
SP,65374,ITAÍ,4589,7951,3816,16902,227,13086,319
SP,65390,ITAJOBI,1640,7688,2614,12365,151,9751,272
SP,65412,ITAJU,587,1621,830,3129,42,2299,49
SP,65439,ITANHAÉM,17720,30180,20801,71360,848,50559,1811
SP,65455,ITAPECERICA DA SERRA,39971,42345,22939,110869,2163,87930,3451
SP,65471,ITAPETININGA,19342,58756,21919,104966,1644,83047,3305
SP,65498,ITAPEVA,13784,36565,16013,68137,729,52124,1046
SP,65510,ITAPEVI,59093,46950,29425,143098,3029,113673,4601
SP,65536,ITAPIRA,8294,30268,13693,55065,820,41372,1990
SP,65552,ITÁPOLIS,5250,16805,7989,31262,442,23273,776
SP,65579,ITAPORANGA,2623,5740,2657,11397,125,8740,252
SP,65595,ITAPUÍ,1757,4964,1804,8820,116,7016,179
SP,65617,ITAPURA,1742,823,1043,3726,43,2683,75
SP,65633,ITAQUAQUECETUBA,83679,74788,42516,213922,4906,171406,8033
SP,65650,ITARARÉ,6698,19493,10390,37557,396,27167,580
SP,65676,ITARIRI,2633,3594,3096,9588,93,6492,172
SP,65692,ITATIBA,11193,46313,14797,75414,1001,60617,2110
SP,65714,ITATINGA,2480,7720,3113,13897,208,10784,376
SP,65730,ITIRAPINA,2311,4866,1369,8989,145,7620,298
SP,65757,ITIRAPUÃ,1885,1898,1103,5007,41,3904,80
SP,65773,ITOBI,2146,2494,1495,6365,96,4870,134
SP,65790,ITU,22450,64888,27908,121381,1684,93473,4451
SP,65811,ITUPEVA,9315,18344,5871,35060,460,29189,1070
SP,65838,ITUVERAVA,8433,12726,8136,30285,361,22149,629
SP,65854,JABORANDI,1950,1963,875,5006,96,4131,122
SP,65870,JABOTICABAL,9184,29581,12904,53290,553,40386,1068
SP,65897,JACAREÍ,35760,86431,31538,159989,1896,128451,4364
SP,65919,JACI,1417,2535,988,5123,76,4135,107
SP,65935,JACUPIRANGA,3347,5822,4059,13600,116,9541,256
SP,65951,JAGUARIÚNA,6636,19741,7929,35927,571,27998,1050
SP,65978,JALES,9454,18540,8282,37689,470,29407,943
SP,65994,JAMBEIRO,930,2477,824,4364,43,3540,90
SP,66010,JANDIRA,26760,29637,15249,75607,1487,60358,2474
SP,66036,JARDINÓPOLIS,5801,13845,6348,27151,431,20803,726
SP,66052,JARINU,4351,9350,4568,19011,257,14443,485
SP,66079,JAÚ,14263,60440,19038,97381,1206,78343,2434
SP,66095,JERIQUARA,1101,1085,965,3240,44,2275,45
SP,66117,JOANÓPOLIS,1323,5636,2043,9269,85,7226,182
SP,66133,JOÃO RAMALHO,1155,1567,939,3782,36,2843,85
SP,66150,JOSÉ BONIFÁCIO,5799,13632,5094,25358,365,20264,468
SP,66176,JÚLIO MESQUITA,1394,1381,780,3718,70,2938,93
SP,66192,JUNDIAÍ,63650,156327,40955,276401,3910,235446,11559
SP,66214,JUNQUEIRÓPOLIS,3212,7191,2618,13534,208,10916,305
SP,66230,JUQUIÁ,3779,6548,6329,17137,161,10808,320
SP,66257,JUQUITIBA,6987,8933,5598,22372,306,16774,548
SP,66273,LAGOINHA,1151,2682,1219,5205,65,3986,88
SP,66290,LARANJAL PAULISTA,2615,12925,4261,20454,210,16193,443
SP,66311,LAVÍNIA,1528,1594,960,4253,65,3293,106
SP,66338,LAVRINHAS,1656,2811,1110,5818,84,4708,157
SP,66354,LEME,14819,39384,13200,70634,1080,57434,2151
SP,66370,LENÇÓIS PAULISTA,7546,28332,8727,46582,706,37855,1271
SP,66397,LIMEIRA,43070,115053,40433,208522,3271,168089,6695
SP,66419,LINDÓIA,821,3263,1094,5351,57,4257,116
SP,66435,LINS,8262,32094,13322,55574,620,42252,1276
SP,66451,LORENA,14654,32582,14201,63836,923,49635,1476
SP,66478,LOUVEIRA,6883,16309,3267,27681,412,24414,810
SP,66494,LUCÉLIA,3712,6741,3986,14935,176,10949,320
SP,66516,LUCIANÓPOLIS,575,873,429,1948,25,1519,46
SP,66532,LUÍS ANTÔNIO,2715,3496,2200,8823,137,6623,275
SP,66559,LUIZIÂNIA,1023,1940,1051,4115,42,3064,59
SP,66575,LUPÉRCIO,1096,1578,939,3726,39,2787,74
