STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1534,2241,843,5140,4297,63,307
AC,1015,CAPIXABA,1274,2290,1009,4983,3974,44,230
AC,1023,PORTO ACRE,1931,3617,1162,7473,6311,61,447
AC,1031,SANTA ROSA,607,464,330,1594,1264,16,146
AC,1040,MARECHAL THAUMATURGO,1649,2891,1550,6539,4989,17,352
AC,1058,BRASILÉIA,4787,5405,2417,13674,11257,126,611
AC,1066,PORTO WALTER,1499,1457,1331,4612,3281,14,226
AC,1074,CRUZEIRO DO SUL,10038,19755,10783,43781,32998,268,1933
AC,1082,RODRIGUES ALVES,2356,2302,1820,7039,5219,43,417
AC,1090,MÂNCIO LIMA,2848,3201,1658,8366,6708,50,476
AC,1104,JORDÃO,1488,717,793,3231,2438,9,184
AC,1112,EPITACIOLÂNDIA,3022,2925,1436,8148,6712,111,369
AC,1120,ACRELÂNDIA,2079,3471,1409,7548,6139,73,292
AC,1139,FEIJÓ,6195,3440,3950,15049,11099,103,987
AC,1392,RIO BRANCO,66466,77090,30127,193549,163422,2191,6188
AC,1457,SENA MADUREIRA,6124,7915,4408,20416,16008,176,1043
AC,1473,TARAUACÁ,5864,5762,4981,18876,13895,270,1366
AC,1490,XAPURI,3200,3631,1884,9628,7744,72,539
AC,1511,PLÁCIDO DE CASTRO,3424,4545,2237,11128,8891,79,480
AC,1538,SENADOR GUIOMARD,3961,5691,2651,13641,10990,157,670
AC,1554,MANUEL URBANO,1221,1659,1059,4371,3312,51,274
AC,1570,ASSIS BRASIL,1654,1420,584,4054,3470,24,257
AL,27006,PARIPUEIRA,2088,1992,895,6560,5665,214,485
AL,27014,ÁGUA BRANCA,5833,2145,3256,13550,10294,256,1085
AL,27022,PARICONHA,3530,858,1629,7167,5538,107,618
AL,27030,ANADIA,4514,2880,3307,12769,9462,315,1001
AL,27049,ESTRELA DE ALAGOAS,4679,1411,3056,10672,7616,195,951
AL,27057,ARAPIRACA,33429,39010,18025,110124,92099,2579,6151
AL,27065,JEQUIÁ DA PRAIA,2410,1820,1605,7376,5771,177,579
AL,27073,ATALAIA,7773,9024,5719,27003,21284,711,2371
AL,27081,CAMPESTRE,1874,845,1038,4321,3283,65,252
AL,27090,BARRA DE SANTO ANTÔNIO,3256,1606,1186,7694,6508,242,589
AL,27111,BARRA DE SÃO MIGUEL,1672,1357,641,4716,4075,97,324
AL,27138,BATALHA,5408,1460,1548,9944,8396,129,752
