STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1628,1925,984,6902,5918,74,303
AC,1015,CAPIXABA,1344,2475,1241,6941,5700,57,227
AC,1023,PORTO ACRE,3131,3512,2108,11434,9326,127,467
AC,1031,SANTA ROSA DO PURUS,612,257,856,2783,1927,21,143
AC,1040,MARECHAL THAUMATURGO,2909,2425,2408,8799,6391,19,208
AC,1058,BRASILÉIA,4616,5252,3616,17126,13510,145,549
AC,1066,PORTO WALTER,2134,1388,1381,5444,4063,25,159
AC,1074,CRUZEIRO DO SUL,12561,15165,12504,51461,38957,410,1233
AC,1082,RODRIGUES ALVES,3466,2351,2206,9731,7525,45,284
AC,1090,MÂNCIO LIMA,4348,2306,2270,10818,8548,70,280
AC,1104,JORDÃO,1372,859,1047,4311,3264,11,130
AC,1112,EPITACIOLÂNDIA,2057,2868,2097,10408,8311,116,376
AC,1120,ACRELÂNDIA,2293,3464,2144,9143,6999,108,341
AC,1139,FEIJÓ,7129,3038,4565,18595,14030,101,857
AC,1392,RIO BRANCO,35802,44676,25660,232220,206560,2174,6243
AC,1457,SENA MADUREIRA,5013,7034,6206,25964,19758,229,974
AC,1473,TARAUACÁ,8629,4185,6063,23055,16992,209,941
AC,1490,XAPURI,3785,2341,2340,11344,9004,57,464
AC,1511,PLÁCIDO DE CASTRO,2322,3269,2575,12516,9941,113,453
AC,1538,SENADOR GUIOMARD,2845,4685,3146,16632,13486,157,431
AC,1554,MANOEL URBANO,1716,1028,1464,5992,4528,58,275
AC,1570,ASSIS BRASIL,1929,1606,906,5186,4280,18,201
AL,27006,PARIPUEIRA,2408,1795,1175,8056,6881,399,527
AL,27014,ÁGUA BRANCA,7724,736,3063,13647,10584,204,789
AL,27022,PARICONHA,4473,308,1282,7146,5864,95,541
AL,27030,ANADIA,4276,1572,3472,12013,8541,403,864
AL,27049,ESTRELA DE ALAGOAS,4977,733,3078,10714,7636,245,799
AL,27057,ARAPIRACA,44462,23376,20303,128775,108472,4390,7956
AL,27065,JEQUIÁ DA PRAIA,2795,853,1299,6812,5513,148,393
AL,27073,ATALAIA,9726,5066,6051,28031,21980,1140,1912
AL,27081,CAMPESTRE,1587,445,1012,4627,3615,134,302
AL,27090,BARRA DE SANTO ANTÔNIO,3783,1237,1801,9802,8001,476,654
AL,27111,BARRA DE SÃO MIGUEL,1842,1296,757,5610,4853,153,309
AL,27138,BATALHA,5401,1107,2063,11049,8986,180,734
AL,27154,BELÉM,1820,475,892,4457,3565,140,344
AL,27170,BELO MONTE,2451,330,849,4328,3479,68,247
AL,27197,BOCA DA MATA,6448,2621,4227,18557,14330,738,1242
AL,27219,BRANQUINHA,2889,870,2112,7378,5266,254,500
AL,27235,CACIMBINHAS,3427,595,1543,7260,5717,102,541
AL,27251,CAJUEIRO,3598,3081,2786,13074,10288,542,894
AL,27278,CAMPO ALEGRE,7576,3578,4585,20988,16403,492,1314
AL,27294,CAMPO GRANDE,4214,531,1381,7242,5861,146,463
AL,27316,CANAPI,6542,450,2957,11722,8765,198,869
AL,27332,CAPELA,4127,2174,2405,11935,9530,374,860
AL,27359,CARNEIROS,3244,419,1237,5745,4508,57,378
AL,27375,CHÃ PRETA,2256,698,1311,5391,4080,164,416
AL,27391,COITÉ DO NÓIA,4187,640,1633,7845,6212,175,551
AL,27413,COLÔNIA LEOPOLDINA,3634,2591,2855,13168,10313,475,871
AL,27430,COQUEIRO SECO,1792,655,460,4113,3653,256,353
AL,27456,CORURIPE,10566,6214,7637,36985,29348,1607,2278
AL,27472,DELMIRO GOUVEIA,18857,1970,6417,33644,27227,661,1897
AL,27499,DOIS RIACHOS,3787,639,2003,7848,5845,125,541
AL,27510,FEIRA GRANDE,8109,1379,2660,14748,12088,494,975
AL,27537,FELIZ DESERTO,1185,383,781,3151,2370,123,237
AL,27553,FLEXEIRAS,1591,1531,1796,7814,6018,228,679
AL,27570,GIRAU DO PONCIANO,12514,1520,5405,22708,17303,478,1390
AL,27596,IBATEGUARA,2798,1823,1895,9567,7672,420,867
AL,27618,IGACI,8994,1077,5010,17868,12858,479,1235
AL,27634,IGREJA NOVA,7974,1374,2968,15476,12508,789,1009
AL,27650,INHAPI,6503,445,2448,10983,8535,198,829
AL,27677,JACARÉ DOS HOMENS,2293,347,860,4306,3446,49,278
AL,27693,JACUÍPE,1833,446,891,4722,3831,157,305
AL,27715,JAPARATINGA,1107,572,1159,5685,4526,262,364
AL,27731,JARAMATAIA,2154,351,794,4202,3408,96,317
AL,27758,JOAQUIM GOMES,4526,1351,2432,11811,9379,381,963
AL,27774,JUNDIÁ,924,596,971,3826,2855,117,257
AL,27790,JUNQUEIRO,6624,3094,3982,17049,13067,531,980
AL,27812,LAGOA DA CANOA,6452,1586,1954,12380,10426,310,819
AL,27839,LIMOEIRO DE ANADIA,7526,1696,2953,15261,12308,409,1015
AL,27855,MACEIÓ,126159,116834,89721,551962,462241,25148,36913
AL,27871,MAJOR ISIDORO,6062,1902,3072,13519,10447,264,804
AL,27898,MARAGOGI,3222,1406,3151,17351,14200,824,1020
AL,27910,MARAVILHA,3054,827,1568,7089,5521,125,496
AL,27936,MARECHAL DEODORO,9467,5973,6280,31717,25437,1372,2054
AL,27952,MARIBONDO,3738,1665,2059,9847,7788,313,765
AL,27979,MAR VERMELHO,1469,357,563,3007,2444,90,215
AL,27995,MATA GRANDE,8140,977,3642,15096,11454,325,1092
AL,28010,MATRIZ DE CAMARAGIBE,4806,2232,3658,16484,12826,594,862
AL,28037,MESSIAS,3891,2106,2060,11413,9353,423,775
AL,28053,MINADOR DO NEGRÃO,1881,367,689,3790,3101,81,338
AL,28070,MONTEIRÓPOLIS,2708,631,1131,5238,4107,106,316
AL,28096,MURICI,5795,3005,3407,17759,14352,683,1501
AL,28118,NOVO LINO,2336,1510,1772,8338,6566,286,581
AL,28134,OLHO D'ÁGUA DAS FLORES,4170,2874,3056,13503,10447,345,956
AL,28150,OLHO D'ÁGUA DO CASADO,3708,235,1304,6077,4773,97,448
AL,28177,OLHO D'ÁGUA GRANDE,2145,263,821,3792,2971,83,260
AL,28193,OLIVENÇA,3754,770,1538,7713,6175,100,639
AL,28215,OURO BRANCO,3896,501,1313,7095,5782,118,444
AL,28231,PALESTINA,2059,416,820,3847,3027,51,192
AL,28258,PALMEIRA DOS ÍNDIOS,20278,7693,8688,46881,38193,1471,2914
AL,28274,PÃO DE AÇÚCAR,8306,1509,3574,16430,12856,352,957
AL,28290,PASSO DE CAMARAGIBE,4017,1325,2016,10336,8320,442,632
AL,28312,PAULO JACINTO,2421,940,1260,5919,4659,205,427
AL,28339,PENEDO,15846,3470,9248,39012,29764,1302,2080
AL,28355,PIAÇABUÇU,5281,1143,2891,12003,9112,339,802
AL,28371,PILAR,6877,4394,4524,23176,18652,1232,1629
AL,28398,PINDOBA,1060,278,341,2236,1895,61,214
AL,28410,PIRANHAS,9334,668,3337,15550,12213,191,1019
AL,28436,POÇO DAS TRINCHEIRAS,5345,597,1812,8915,7103,133,526
AL,28452,PORTO CALVO,2932,2703,4083,18207,14124,908,1132
AL,28479,PORTO DE PEDRAS,1399,1139,1186,6113,4927,280,350
AL,28495,PORTO REAL DO COLÉGIO,6821,1312,2437,13158,10721,469,817
AL,28517,QUEBRANGULO,4304,1175,1726,8851,7125,178,616
AL,28533,RIO LARGO,16097,7495,7908,48337,40429,2478,2972
AL,28550,ROTEIRO,1389,485,680,3854,3174,126,345
AL,28576,SANTA LUZIA DO NORTE,2267,892,641,5027,4386,204,364
AL,28592,SANTANA DO IPANEMA,14751,3521,5264,28075,22811,480,1709
AL,28614,SANTANA DO MUNDAÚ,3183,1011,1608,7107,5499,205,508
AL,28630,SÃO BRÁS,2672,531,965,5220,4255,199,328
AL,28657,SÃO JOSÉ DA LAJE,5148,2342,2846,15387,12541,491,1110
AL,28673,SÃO JOSÉ DA TAPERA,9205,1330,4699,18315,13616,358,1214
AL,28690,SÃO LUÍS DO QUITUNDE,6093,3008,4472,20559,16087,908,1303
AL,28711,SÃO MIGUEL DOS CAMPOS,6720,6364,6138,35545,29407,1224,2128
AL,28738,SÃO MIGUEL DOS MILAGRES,1226,910,1133,5680,4547,325,478
AL,28754,SÃO SEBASTIÃO,11072,2864,4586,22243,17657,600,1468
AL,28770,SATUBA,3186,1281,1340,9050,7710,436,489
AL,28797,TANQUE D'ARCA,2160,387,1093,4774,3681,207,355
AL,28819,TAQUARANA,4566,1399,2441,12185,9744,390,975
AL,28835,TRAIPU,8239,1163,3821,15834,12013,213,1050
AL,28851,UNIÃO DOS PALMARES,14727,7038,8612,40396,31784,1482,2854
AL,28878,VIÇOSA,5985,3655,3665,18241,14576,735,1346
AL,28894,CRAÍBAS,8502,1185,3188,15760,12572,500,1109
AL,28916,SENADOR RUI PALMEIRA,4219,398,1717,7849,6132,93,582
AL,28932,TEOTÔNIO VILELA,7745,4748,5603,25481,19878,904,1611
AM,2003,APUÍ,3801,1947,3101,9485,6384,72,351
AM,2011,NOVO AIRÃO,4042,1529,1132,7676,6544,53,352
