"party","variable","1990","1993","1997","2001","2005","2009"
"DEM","valuepe10",5.4730785457398,5.2864963677389,5.67642083041,5.46892917551485,5.26281277064731,5.25579633615421
"DEM","valuese10",0.0567652184178505,0.0646508151729873,0.0733209970386479,0.0789618415089466,0.0939840139367881,0.0912534737091496
"PCDOB","valuepe10",1.1773263404884,1.3208162925055,1.24031940307034,1.32472828800354,1.80945059928559,1.83347553190545
"PCDOB","valuese10",0.0513115050043835,0.0619569518213881,0.0667733985239764,0.0744661620108693,0.0901962668360139,0.0862981759849733
"PDC","valuepe10",5.24221523243298,NA,NA,NA,NA,NA
"PDC","valuese10",0.0549396739871635,NA,NA,NA,NA,NA
"PDT","valuepe10",2.33026546378637,2.5627738300455,2.33250194776897,2.38144132185317,2.78052580298769,2.73961203728933
"PDT","valuese10",0.0507361063751638,0.0582181301073576,0.0656813430718558,0.0704300572594233,0.0856944797514467,0.0826391567377448
"PMDB","valuepe10",3.51393337929641,3.59783936512997,3.85010014877228,4.03765023560533,3.92782565985615,3.85547976918426
"PMDB","valuese10",0.048806005073774,0.0607915812099942,0.0677431170402296,0.0779124872817957,0.0848812269624218,0.0845584881159126
"PP","valuepe10",5.89635906400423,5.44839789963689,5.82876913645991,5.66394626101643,5.28671271987945,5.0116806303816
"PP","valuese10",0.0597769312089411,0.0647389475341286,0.0748678359783855,0.0862503643134715,0.0907107778611001,0.0893675109658243
"PPold","valuepe10",NA,4.47476179708409,NA,NA,NA,NA
"PPold","valuese10",NA,0.0602579918990931,NA,NA,NA,NA
"PPS","valuepe10",1.60501334244153,2.18589830286541,2.15898857219051,2.60168192137728,2.64144250961643,3.21206406408821
"PPS","valuese10",0.0514057430184498,0.0611199910259996,0.0662204468562277,0.0722765580829533,0.0863168952746874,0.0856949308544029
"PR","valuepe10",5.12676432564714,5.21771803546408,5.26106443050171,4.73023837775402,4.66596144512485,4.51379775425556
"PR","valuese10",0.0524742597970165,0.0621695028993737,0.0692798931852726,0.0763177178004301,0.088142621180286,0.0866361769452883
"PRN","valuepe10",5.26669681715849,5.78907409187676,NA,NA,NA,NA
"PRN","valuese10",0.0550262880262178,0.0653595708145654,NA,NA,NA,NA
"PSB","valuepe10",1.78860534463831,1.82903381934705,2.0187193671877,2.01998647017433,2.33598600072488,2.46514572751436
"PSB","valuese10",0.049471502052389,0.0620471511727097,0.0670167843633155,0.0722785695370946,0.090288936835586,0.0811986571242352
"PSDB","valuepe10",2.91014746291703,3.10718746327116,4.10348647088887,4.10975034474785,3.99077321721166,3.90899142272491
"PSDB","valuese10",0.0482194227399506,0.059195349459456,0.0662097180196264,0.0748513703095697,0.0878341083191989,0.0842350086540482
"PSOL","valuepe10",NA,NA,NA,NA,NA,1.24468371577925
"PSOL","valuese10",NA,NA,NA,NA,NA,0.0823296810308403
"PSTU","valuepe10",NA,1.62355340667428,NA,NA,NA,NA
"PSTU","valuese10",NA,0.0614072929413135,NA,NA,NA,NA
"PT","valuepe10",1.34449554478686,1.60707382437058,1.46323677101399,1.60431326924513,2.37273545051468,2.36755456738575
"PT","valuese10",0.0523399874537271,0.0626961989947013,0.0684486225640102,0.0744501807630394,0.0899691516489804,0.0838520056748428
"PTB","valuepe10",4.90892907673686,4.83263071535425,5.13048495376129,4.81065258859862,4.56634619170254,4.38052183504084
"PTB","valuese10",0.0522155654358696,0.0615507969479554,0.0741170213489271,0.0774912651792999,0.0914691946750659,0.0885942037664766
"PV","valuepe10",NA,NA,NA,NA,NA,3.02473473733436
"PV","valuese10",NA,NA,NA,NA,NA,0.0846183846706999
