,NM_CAND,NM_URNA,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS ELEITO
0,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,19,GUAJARÁ-MIRIM,RO,12249
1,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,35,PORTO VELHO,RO,73687
2,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,51,JI-PARANÁ,RO,43524
3,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,78,ARIQUEMES,RO,15883
4,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,94,CACOAL,RO,15486
5,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,116,PIMENTA BUENO,RO,8944
6,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,132,VILHENA,RO,14667
7,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,159,JARU,RO,7386
8,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,175,OURO PRETO DO OESTE,RO,8962
9,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,191,PRESIDENTE MÉDICI,RO,4622
10,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,213,COSTA MARQUES,RO,3076
11,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,230,COLORADO DO OESTE,RO,3316
12,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,256,ESPIGÃO DO OESTE,RO,5229
13,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,272,CEREJEIRAS,RO,2812
14,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,299,ROLIM DE MOURA,RO,9390
15,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,310,ALTA FLORESTA DO OESTE,RO,4261
16,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,337,ALVORADA DO OESTE,RO,3683
17,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,353,SANTA LUZIA DO OESTE,RO,1636
18,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,370,NOVA BRASILÂNDIA DO OESTE,RO,4106
19,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,396,MACHADINHO DO OESTE,RO,4211
20,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,418,SÃO MIGUEL DO GUAPORÉ,RO,4366
21,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,434,NOVA MAMORÉ,RO,5059
22,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,450,CABIXI,RO,1324
23,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,477,CANDEIAS DO JAMARI,RO,3730
24,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,493,ITAPUÃ DO OESTE,RO,2060
25,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,515,NOVO HORIZONTE DO OESTE,RO,2074
26,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,531,CASTANHEIRAS,RO,659
27,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,558,VALE DO PARAÍSO,RO,1454
28,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,566,URUPÁ,RO,2310
29,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,574,MIRANTE DA SERRA,RO,2639
30,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,582,SERINGUEIRAS,RO,3937
31,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,590,THEOBROMA,RO,1896
32,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,604,MINISTRO ANDREAZZA,RO,2022
33,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,612,GOVERNADOR JORGE TEIXEIRA,RO,1284
34,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,620,CACAULÂNDIA,RO,736
35,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,639,ALTO PARAÍSO,RO,1880
36,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,647,RIO CRESPO,RO,833
37,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,655,CORUMBIARA,RO,1371
38,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,663,MONTE NEGRO,RO,1676
39,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,671,CAMPO NOVO DE RONDÔNIA,RO,2032
40,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,680,CUJUBIM,RO,1399
41,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,698,VALE DO ANARI,RO,1310
42,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,701,PARECIS,RO,838
43,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,710,SÃO FELIPE DO OESTE,RO,1328
44,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,728,PRIMAVERA DE RONDÔNIA,RO,1045
45,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,736,ALTO ALEGRE DOS PARECIS,RO,2316
46,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,744,NOVA UNIÃO,RO,1443
47,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,752,TEIXEIRÓPOLIS,RO,1268
48,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,779,BURITIS,RO,5097
49,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,787,PIMENTEIRAS DO OESTE,RO,687
50,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,795,SÃO FRANCISCO DO GUAPORÉ,RO,4188
51,ACIR MARCOS GURGACZ,ACIR GURGACZ,12,Partido Democrático Trabalhista,PDT,809,CHUPINGUAIA,RO,1223
52,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74004,GODOY MOREIRA,PR,1770
53,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74012,ABATIÁ,PR,3195
54,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74020,IBEMA,PR,2710
55,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74039,ADRIANÓPOLIS,PR,1602
56,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74047,LINDOESTE,PR,2407
57,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74055,AGUDOS DO SUL,PR,3518
58,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74063,OURO VERDE DO OESTE,PR,2575
59,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74071,ALMIRANTE TAMANDARÉ,PR,28520
60,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74080,SANTA TEREZA DO OESTE,PR,4608
61,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74098,ALTO PARANÁ,PR,5442
62,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74101,ANAHY,PR,1515
63,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74110,ALTO PIQUIRI,PR,3646
64,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74128,ÂNGULO,PR,1670
65,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74136,ALVORADA DO SUL,PR,3826
66,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74144,BOA ESPERANÇA DO IGUAÇU,PR,1065
67,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74152,AMAPORÃ,PR,1959
68,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74160,BOM SUCESSO DO SUL,PR,1730
69,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74179,AMPÉRE,PR,6210
70,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74187,BRASILÂNDIA DO SUL,PR,1978
71,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74195,ANDIRÁ,PR,6968
72,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74209,CAFEZAL DO SUL,PR,1646
73,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74217,ANTONINA,PR,7821
74,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74225,CANDÓI,PR,4706
75,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74233,ANTONIO OLINTO,PR,2731
76,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74241,CRUZEIRO DO IGUAÇU,PR,1549
77,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74250,APUCARANA,PR,51065
78,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74268,DIAMANTE DO SUL,PR,1359
79,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74276,ARAPONGAS,PR,47109
80,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74284,ENTRE RIOS DO OESTE,PR,2190
81,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74292,ARAPOTI,PR,10738
82,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74306,FAROL,PR,1329
83,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74314,ARARUNA,PR,6002
84,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74322,FAZENDA RIO GRANDE,PR,29018
85,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74330,MARILÂNDIA DO SUL,PR,3852
86,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74349,FLOR DA SERRA DO SUL,PR,2308
87,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74357,ARAUCÁRIA,PR,43092
88,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74365,HONÓRIO SERPA,PR,1713
89,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74373,ASSAÍ,PR,8051
90,ALVARO FERNANDES DIAS,ALVARO DIAS,45,Partido da Social Democracia Brasileira,PSDB,74381,IGUATU,PR,833
