,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,WGT_COORD1,WGT_COORD2,WGT_COORD1_NORM,WGT_COORD2_NORM
0,19,GUAJARA MIRIM,RO,2.891353102007393e-05,-5.035970407309725e-06,-0.04750715034251648,-0.02810996197003224
1,35,PORTO VELHO,RO,-3.965886992068633e-05,-8.677173180277445e-05,-0.28438357783297474,-0.7652646102806734
2,51,JI PARANA,RO,6.437777424456932e-05,-9.476255995780107e-05,0.07500049301575647,-0.8373319161668857
3,78,ARIQUEMES,RO,-0.00016177747095907574,-2.983613186809495e-06,-0.7062299409068932,-0.009600259004573616
4,94,CACOAL,RO,0.00010948960921748132,-0.00018815508531900028,0.23083476685362445,-1.6796160401794313
5,116,PIMENTA BUENO,RO,2.463520887755424e-05,-2.2348748293932e-05,-0.06228618171475753,-0.18424963053622517
6,132,VILHENA,RO,6.0052016440959814e-05,-3.956702892238571e-05,0.0600575999472579,-0.33953705166601705
7,159,JARU,RO,4.936282569201985e-06,-3.099615809751005e-05,-0.1303341314044793,-0.2622384841753652
8,175,OURO PRETO DO OESTE,RO,8.996627377872736e-06,-1.3564206328887517e-05,-0.11630808069804048,-0.10502401579604431
9,191,PRESIDENTE MEDICI,RO,3.0514740671102026e-05,-4.219223166374114e-05,-0.04197593345940855,-0.36321310692639386
10,213,COSTA MARQUES,RO,7.1355865950499255e-06,-8.773763877491276e-06,-0.12273685796121306,-0.06182019827208714
11,230,COLORADO DO OESTE,RO,2.4419544427542912e-05,-1.8151148371919524e-05,-0.06303117275713785,-0.14639251338907183
12,256,ESPIGAO D'OESTE,RO,1.2718449025008698e-05,-1.675484679271632e-05,-0.1034514240339134,-0.13379961424700496
13,272,CEREJEIRAS,RO,2.087591680335845e-05,-1.2807887718403968e-05,-0.07527227618150933,-0.09820296501235727
14,299,ROLIM DE MOURA,RO,5.31637226532343e-05,-6.122786499136704e-05,0.03626268535252553,-0.5348907832754759
15,310,ALTA FLORESTA DO OESTE,RO,8.88887573407513e-06,-9.541627608002077e-06,-0.11668029785959287,-0.06874537164236413
16,337,ALVORADA DO OESTE,RO,2.2869104285207854e-05,-3.301592926195263e-05,-0.06838701150444093,-0.2804543015479951
17,353,SANTA LUZIA DO OESTE,RO,7.461488305217615e-06,-1.0084688052028564e-05,-0.12161106344682462,-0.0736430996844495
18,370,NOVA BRASILANDIA,RO,2.7055258133689104e-05,-3.879112315424815e-05,-0.053926366187233545,-0.33253934914427385
19,396,MACHADINHO DO OESTE,RO,-9.987301327893421e-06,-1.597623694394505e-05,-0.18188614344430884,-0.12677752428976827
20,418,SAO MIGUEL DO GUAPORE,RO,1.6917508554039308e-05,-2.3736456773581315e-05,-0.0889461973478036,-0.19676503063538356
21,434,NOVA MAMORE,RO,3.842820700936864e-06,-8.210708049958524e-06,-0.1341113848971118,-0.05674213680379093
22,450,CABIXI,RO,5.290247875409249e-06,-4.571386903306199e-06,-0.1291113940343473,-0.02391999807102772
23,477,CANDEIAS DO JAMARI,RO,-2.4540987937457398e-06,-2.0488221410946614e-06,-0.15586345677489286,-0.0011696093992701305
24,493,ITAPUA DO OESTE,RO,-6.524498706493015e-06,-3.728430411035005e-06,-0.16992424182195578,-0.016317581625735725
