year,cod_microregion,IS_mt,XD_mt,cod_mesoregion,income2,income3,income_percapita,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,munic_size,sizeagric,sizeinformal,sizemanuf,sizemine,sizenontrade,sizeprim,sizerural,state,workforce
2000,11901,.088575304,.65836084,1191,42607.14945331425,8794754.468347119,206.41499,6.0299954,5.7745748,.014901258,.37551141,.0078029165031642,.1988787652354859,.4305359845925937,.0573832027436602,.0025467596157826,.3345033642445047,.2014255248512686,.3471027299899272,11,744319.4561568499
2000,12001,.049159586,.008409082,1201,9176.91262671724,879113.3905302964,95.796204,3.4602704,2.35941,.007198798,.0055518188,.0004708941911263,.1808716218729779,.392436602871196,.0535653039856667,0,.2872026569431826,.1808716218729779,.4667170838224863,12,44918.55168569088
2000,12002,.048759837,.008409082,1201,3427.110806059805,200628.3121538332,58.541531,2.5416837,1.642669,.0017261563,.004797868,.0002620216206226,.2457665745215998,.3943161334172944,.0243126163804792,0,.1929944004261561,.2457665745215998,.5143119658393295,12,24994.21723711491
2000,12901,.067823626,.198486,1202,30057.71603778098,5211154.699004861,173.37161,5.252738,3.1230264,.01320336,.07972376,.0021374060298511,.1257444482806731,.3668458417396139,.0411548000470003,.000190555303782,.4065933615417819,.125935003584455,.2411928308416206,12,203886.9559965134
2000,13002,.048759837,.40743911,1391,2205.925874948502,103606.3496022566,46.967285,2.5416837,11.960725,.00055536494,.024329089,.0001253639807483,.3056561216467686,.3988617188447472,.0333395390599724,.0044425511851945,.0720711209023737,.3100986728319631,.7645717958567513,13,11958.4580886364
2000,13003,.088797227,.008409082,1391,3611.483905724148,217034.3753280405,60.095623,5.2341666,2.6944263,.014916027,.0029754159,.0008750234687874,.3555174581450169,.4854252703787005,.0219485720290283,.0000483828439302,.1373188660696198,.3555658409889471,.5128117845943194,13,83468.40468537807
2000,13005,.11729148,.1540122,1391,9107.509655697504,869159.4581950948,95.433273,6.4829812,6.3860102,.0140128,.011875181,.0003914740341448,.2812457858862629,.4808194817435112,.0500209996158993,.0006088344721466,.195896705482614,.2818546203584095,.3171971797006852,13,37342.67053556442
2000,13011,.087831669,.008409082,1391,3451.657076529824,202787.6314887844,58.750805,5.4600158,1.6950315,.0081768502,.0022488479,.0002036470330481,.3301068626497771,.5010962187284953,.0252947690385277,0,.1857095762603206,.3301068626497771,.50337354090661,13,19425.87093234062
2000,13901,2.1449571,.32209012,1391,26618.36861515045,4342823.231862637,163.15137,114.97416,46.295818,.52172709,.051037867,.0122401653689439,.0996700627636521,.3468957372577549,.0751292515934309,.0016388756383982,.3274236456148599,.1013089384020503,.1623680221250065,13,1167588.199487686
2000,13904,.086297527,.012649396,1391,2188.999692854486,102416.1747661657,46.786747,5.3799314,2.095856,.0098850466,.0057518492,.0007353760141861,.2310689453841576,.3971683206015419,.0372910379887288,.0000945785349634,.1536578367224122,.231163523919121,.43877397843091,13,70147.44739711285
2000,14901,.11810923,.013514028,1491,44082.30097051803,9255425.365135683,209.95786,6.3216286,3.0816782,.023714738,.0083882986,.0017254193284951,.1095870741252205,.3905941401724125,.0329250388303182,.0030080793823068,.3698327017192755,.1125951535075272,.2097538158732674,14,164587.5841048956
2000,15001,.084952779,3.9793725,1591,5263.000365369953,381812.4628771753,72.546539,5.5085177,62.684669,-.00295147,2.1279109,.0006968646777472,.2782873862972611,.487068940873928,.0600203149304406,.0113067056717489,.2112133810004419,.28959409196901,.4649984583382298,15,66473.85471129417
2000,15005,.19318646,.24422592,1591,4636.877239030087,315746.3924237118,68.09462,15.158611,5.1663551,.011111299,.12246462,.0007069048874582,.2265144107660531,.4464819937287448,.1017123962386795,.0005500870289703,.1715662258679473,.2270644977950234,.5908323304512916,15,67431.58935177326
2000,15006,.17967229,.03303254,1591,5207.970149729459,375839.766410656,72.166267,12.066759,2.4532864,.0074428394,.0081144124,.0005637739978877,.226623433313653,.439610879665292,.054694840864668,.0011421423860765,.1957061811020055,.2277655756997295,.5431992725889847,15,53778.34753620625
2000,15007,.17829449,1.4770899,1591,44723.5498005189,9458110.870927254,211.47943,10.842937,12.649487,.019762423,.78285545,.011189412714937,.0131274124114874,.3236170577339655,.0529903415997572,.0015709836714724,.4425414871607914,.0146983960829598,.0352517056193392,15,1067357.004694223
2000,15011,.25791991,.30990931,1591,4727.615796589293,325059.7991370026,68.75766,16.049681,5.1790128,.015601276,.15302716,.0016529526560799,.2406287876258462,.5260412476526046,.0788989014949282,.0007574612032665,.2287990534504277,.2413862488291128,.476678937183886,15,157674.9951800108
2000,15014,.072490618,.36539173,1591,18547.70845261309,2526011.893412727,136.18997,4.5951929,7.6718421,.0095760133,.20796929,.0010531585530739,.2305435882414285,.5294715979372429,.0375109653891659,.0888908861162504,.2106735148343267,.319434474357679,.546242395481069,15,100460.693274498
2000,15018,.063094772,.014267625,1591,28185.43798536435,4731917.692329146,167.88519,4.0244246,2.2799087,.0088452725,.0050288597,.0004788328006104,.2856353998787082,.4828088797615261,.0318523448168277,.0036039323772795,.1916884902757305,.2892393322559877,.52504519264719,15,45675.81488227844
2000,15901,.12883367,.54344714,1591,13492.44988260098,1567242.572658981,116.15701,7.1655645,7.6823969,.019011628,.27374467,.0122503388288347,.2171315208383961,.4542617682495257,.0797781126743544,.0046728363575183,.2378684008602425,.2218043571959145,.4179662170939035,15,1168558.644850016
