year,cod_microregion,IS_mt,XD_mt,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,state,idcluster,workforce,sizerural,sizeinformal,sizeprim,sizeagric,sizemine,sizemanuf,sizenontrade,tot_work_main,munic_size,_merge
2000,11901,.088575304,.65836084,6.0299954,5.7745748,.014901258,.37551141,11,1191,744319.4561568499,.3471027299899272,.4305359845925937,.2014255248512686,.3287665811464418,.0042100495288739,.0948601996745507,.5529676701000864,450256.6345552206,.0078029165031642,matched (3)
2000,12001,.049159586,.008409082,3.4602704,2.35941,.007198798,.0055518188,12,1201,44918.55168569088,.4667170838224863,.392436602871196,.1808716218729779,.3375129378006513,0,.0999547796673366,.5359304654055749,24071.64403390884,.0004708941911263,matched (3)
2000,12002,.048759837,.008409082,2.5416837,1.642669,.0017261563,.004797868,12,1201,24994.21723711491,.5143119658393295,.3943161334172944,.2457665745215998,.5211480049810528,0,.0515549014231097,.4092446133099606,11786.94554042816,.0002620216206226,matched (3)
2000,12901,.067823626,.198486,5.252738,3.1230264,.01320336,.07972376,12,1202,203886.9559965134,.2411928308416206,.3668458417396139,.125935003584455,.2158698388644168,.0003271328737342,.0706518671489431,.698012871657384,118764.4041811228,.0021374060298511,matched (3)
2000,13002,.048759837,.40743911,2.5416837,11.960725,.00055536494,.024329089,13,1391,11958.4580886364,.7645717958567513,.3988617188447472,.3100986728319631,.7328785395088345,.0106520046343491,.079938960693898,.1728065433243209,4987.423867940903,.0001253639807483,matched (3)
2000,13003,.088797227,.008409082,5.2341666,2.6944263,.014916027,.0029754159,13,1391,83468.40468537807,.5128117845943194,.4854252703787005,.3555658409889471,.6823857251815051,.0000928667813219,.0421284296947736,.2635719620998108,43486.36551749706,.0008750234687874,matched (3)
2000,13005,.11729148,.1540122,6.4829812,6.3860102,.0140128,.011875181,13,1391,37342.67053556442,.3171971797006852,.4808194817435112,.2818546203584095,.5296754640190996,.0011466293815883,.0942054868440422,.3689359399620594,19828.12011373043,.0003914740341448,matched (3)
2000,13011,.087831669,.008409082,5.4600158,1.6950315,.0081768502,.0022488479,13,1391,19425.87093234062,.50337354090661,.5010962187284953,.3301068626497771,.5983330054261075,0,.0458478659270967,.3366066612742127,10717.46544075012,.0002036470330481,matched (3)
2000,13901,2.1449571,.32209012,114.97416,46.295818,.52172709,.051037867,13,1391,1167588.199487686,.1623680221250065,.3468957372577549,.1013089384020503,.1948771387276947,.0032043663491907,.1468943951605518,.6401860442339766,597163.8843058348,.0122401653689439,matched (3)
2000,13904,.086297527,.012649396,5.3799314,2.095856,.0098850466,.0057518492,13,1391,70147.44739711285,.43877397843091,.3971683206015419,.231163523919121,.5335309795934199,.0002183788839459,.0861038422757522,.3547911469125314,30380.42271471024,.0007353760141861,matched (3)
2000,14901,.11810923,.013514028,6.3216286,3.0816782,.023714738,.0083882986,14,1491,164587.5841048956,.2097538158732674,.3905941401724125,.1125951535075272,.2104263488031633,.0057760385189736,.0632218330544126,.7101434700398337,85714.89208447933,.0017254193284951,matched (3)
2000,15001,.084952779,3.9793725,5.5085177,62.684669,-.00295147,2.1279109,15,1591,66473.85471129417,.4649984583382298,.487068940873928,.28959409196901,.4934059451215434,.0200468870415177,.1064165379853518,.3744831530507114,37492.12077319622,.0006968646777472,matched (3)
2000,15005,.19318646,.24422592,15.158611,5.1663551,.011111299,.12246462,15,1591,67431.58935177326,.5908323304512916,.4464819937287448,.2270644977950234,.441488495834131,.0010721485409103,.1982428079133474,.3343915945048137,34597.11152875423,.0007069048874582,matched (3)
2000,15006,.17967229,.03303254,12.066759,2.4532864,.0074428394,.0081144124,15,1591,53778.34753620625,.5431992725889847,.439610879665292,.2277655756997295,.466875175312179,.0023529690594394,.1126788304456652,.4031814198367422,26104.26598167419,.0005637739978877,matched (3)
2000,15007,.17829449,1.4770899,10.842937,12.649487,.019762423,.78285545,15,1591,1067357.004694223,.0352517056193392,.3236170577339655,.0146983960829598,.0252566898847379,.0030225185406413,.1019515943218361,.8514345974664512,554769.2771639824,.011189412714937,matched (3)
2000,15011,.25791991,.30990931,16.049681,5.1790128,.015601276,.15302716,15,1591,157674.9951800108,.476678937183886,.5260412476526046,.2413862488291128,.4256333300488014,.0013398261176897,.1395593707295542,.4047084473680782,89140.44143283367,.0016529526560799,matched (3)
2000,15014,.072490618,.36539173,4.5951929,7.6718421,.0095760133,.20796929,15,1591,100460.693274498,.546242395481069,.5294715979372429,.319434474357679,.3993243637994862,.1539678323596319,.0649727129858279,.3649074256297254,57999.38797712326,.0010531585530739,matched (3)
2000,15018,.063094772,.014267625,4.0244246,2.2799087,.0088452725,.0050288597,15,1591,45675.81488227844,.52504519264719,.4828088797615261,.2892393322559877,.5502615899436577,.0069427863661625,.0613618686961907,.3692778047742443,23709.86797392368,.0004788328006104,matched (3)
2000,15901,.12883367,.54344714,7.1655645,7.6823969,.019011628,.27374467,15,1591,1168558.644850016,.4179662170939035,.4542617682495257,.2218043571959145,.3972083457387061,.0085482273246682,.1459416488180966,.4351432424200131,638785.4597396851,.0122503388288347,matched (3)
2000,15905,.093597129,.069193989,6.1260095,2.2699301,.011118992,.03639375,15,1591,254079.577476263,.4307615906818159,.4943608475997608,.2570327978761591,.4710428784415204,.0008774516247045,.0643295570680646,.4515397032691125,138385.1902984381,.0026635898226322,matched (3)
