year,cod_microregion,IS_mt,XD_mt,idcluster,income2,income3,income_percapita,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,munic_size,region,sizeagric,sizeinformal,sizemanuf,sizemine,sizenontrade,sizeprim,sizerural,state,wls_b_avghourwage_s0,wls_b_avghourwage_s1,wls_b_avghourwage_s3,wls_b_avghourwage_s4,wls_b_formal_s0,wls_b_migrated_s0,wls_b_occup_skill_s0,wls_b_outmigrated_s0,wls_b_wagehrskill,wls_b_wagehrunskill,wls_b_work_main_s0,wls_b_work_main_s4,wls_se_avghourwage_s0,wls_se_avghourwage_s1,wls_se_avghourwage_s3,wls_se_avghourwage_s4,wls_se_formal_s0,wls_se_migrated_s0,wls_se_occup_skill_s0,wls_se_outmigrated_s0,wls_se_wagehrskill,wls_se_wagehrunskill,wls_se_work_main_s0,wls_se_work_main_s4,wls_wgt,workforce,dstate2,dstate3,dstate4,dstate5,dstate6,dstate7,dstate8,dstate9,dstate10,dstate11,dstate12,dstate13,dstate14,dstate15,dstate16,dstate17,dstate18,dstate19,dstate20,dstate21,dstate22,dstate23,dstate24,dstate25,dstate26,dstate27,Dwls_b_avghourwage_s0
2000,25901,.1399866,.54449046,2502,2906.282325341614,156677.5245034815,53.909946,6.8198814,7.5148101,.013582192,.29471502,.0009339389378313,2,.2578533052362943,.4782076814968208,.0436411060596777,.0106147766182167,.2400446371836697,.268468081854511,.4353375215210337,25,-.57810283,-.66405463,-.83445537,-.42422166,-.22361085,-.010083406,.0006421727,.0047099404,-.51812762,-.59954357,-.011007898,-.1539536,.011086818,.01662448,.036483299,.014727013,.0039750328,.0020370549,.002966682,.0029334226,.036437906,.01132648,.0040223734,.0055166762,.0013806986,89088.34562158585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0333597660064697
2001,25901,.1399866,.54449046,2502,2906.282325341614,156677.5245034815,53.909946,6.8198814,7.5148101,.013582192,.29471502,.0009339389378313,2,.2578533052362943,.4782076814968208,.0436411060596777,.0106147766182167,.2400446371836697,.268468081854511,.4353375215210337,25,-.61146259,-.7812041,-.791991,-.47970235,-.30335304,-.013614045,-.0067239949,.0026602193,-.46994179,-.64015937,-.12913314,-.045218647,.0092350002,.016425155,.037892494,.01122359,.0039687925,.0020439578,.0030580284,.0036183901,.026922189,.0096312454,.0033419987,.004810621,.0016617151,89088.34562158585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,25909,.12681966,.096797168,2591,2797.10306995608,147932.1962101769,52.887646,6.1329932,6.1170144,.019020738,.0071537159,.0011935429793429,2,.233329619659462,.3926023116036528,.0352142290409197,.0010552826626868,.2372195969322289,.2343849023221488,.3709591882035349,25,-.63646042,-.57712984,-.46517777,-.42108002,-.1917394,,-.031138616,,-.81572294,-.58843136,-.0058431318,-.15017694,.0077379066,.0085340794,.01925952,.020371694,.0046238247,,.0015624057,,.056549251,.0077340617,.0027063179,.0036511961,.0014366782,113851.9502193928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,25909,.12681966,.096797168,2591,2797.10306995608,147932.1962101769,52.887646,6.1329932,6.1170144,.019020738,.0071537159,.0011935429793429,2,.233329619659462,.3926023116036528,.0352142290409197,.0010552826626868,.2372195969322289,.2343849023221488,.3709591882035349,25,-.44958881,-.28498065,-.68422616,-.48030701,-.25826684,-.027251078,-.029085804,.024813399,-.81346202,-.40700817,-.053412858,-.15816805,.017152997,.025155466,.046692055,.022155447,.0047412654,.0029127824,.0027575134,.0037738541,.083972014,.017618073,.0039136782,.0063345893,.0014168078,113851.9502193928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,25909,.12681966,.096797168,2591,2797.10306995608,147932.1962101769,52.887646,6.1329932,6.1170144,.019020738,.0071537159,.0011935429793429,2,.233329619659462,.3926023116036528,.0352142290409197,.0010552826626868,.2372195969322289,.2343849023221488,.3709591882035349,25,-.43099773,-.48605651,-.53046823,-.34104979,-.13499324,-.01265256,.0039409855,.0060278466,-.48316565,-.43439561,-.051457696,-.11360982,.009970421,.015651794,.032665282,.013266542,.0046798959,.0019013581,.0028115341,.0026732136,.031548217,.01034108,.0037812495,.0053797411,.0014162012,113851.9502193928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0028116703033447
2001,25909,.12681966,.096797168,2591,2797.10306995608,147932.1962101769,52.887646,6.1329932,6.1170144,.019020738,.0071537159,.0011935429793429,2,.233329619659462,.3926023116036528,.0352142290409197,.0010552826626868,.2372195969322289,.2343849023221488,.3709591882035349,25,-.42818606,-.52117336,-.45619071,-.38551852,-.17183186,-.031494178,-.0010753259,.00071134267,-.42356533,-.43551278,-.19112775,-.004890034,.0099876337,.023160402,.026622953,.011862694,.0052691009,.0019338586,.0032780608,.0034437675,.029016251,.010888254,.0033844265,.005396212,.0013401773,113851.9502193928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,26001,.070351318,.029822724,2601,5491.264315122331,406919.5191703784,74.103065,3.7479784,2.2716935,.0073414235,.012771577,.0013928639405268,2,.2446604265433354,.4377948610646268,.04636391516966,.0052276120746394,.185611973242396,.2498880386179748,.5310279975188603,26,-.48874205,-.36731058,-.28101656,-.24457662,-.3915782,,-.038893815,,-.50748545,-.43321082,-.0054526026,-.18557525,.007444975,.0081966817,.021319292,.022488048,.004007007,,.0011618717,,.077692255,.0074761803,.0024800841,.0030634569,.0014715062,132865.1575719118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,26001,.070351318,.029822724,2601,5491.264315122331,406919.5191703784,74.103065,3.7479784,2.2716935,.0073414235,.012771577,.0013928639405268,2,.2446604265433354,.4377948610646268,.04636391516966,.0052276120746394,.185611973242396,.2498880386179748,.5310279975188603,26,-.65491968,-.62157542,-.6183387,-.37498608,-.33479854,-.032755516,-.044344921,.025246873,-.25649065,-.63693178,-.036509931,-.23815918,.017571451,.022500861,.045371808,.030599479,.0031715322,.0029457249,.0023233148,.003704339,.094292566,.017712217,.0038161278,.0058678538,.001333641,132865.1575719118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,26001,.070351318,.029822724,2601,5491.264315122331,406919.5191703784,74.103065,3.7479784,2.2716935,.0073414235,.012771577,.0013928639405268,2,.2446604265433354,.4377948610646268,.04636391516966,.0052276120746394,.185611973242396,.2498880386179748,.5310279975188603,26,-.43910429,-.54536271,-.41705129,-.31224474,-.25724646,-.019496918,-.005242479,-.0057752039,-.26538864,-.46395823,-.067056499,-.19877678,.012316133,.018365387,.035086896,.018034738,.0037263269,.0017942127,.0028739283,.0023199739,.04172067,.012691202,.0037888184,.0054378076,.0012710613,132865.1575719118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0001214444637299
2001,26001,.070351318,.029822724,2601,5491.264315122331,406919.5191703784,74.103065,3.7479784,2.2716935,.0073414235,.012771577,.0013928639405268,2,.2446604265433354,.4377948610646268,.04636391516966,.0052276120746394,.185611973242396,.2498880386179748,.5310279975188603,26,-.43898284,-.66870576,-.41571307,-.29365972,-.29386792,-.034465034,.0038231099,.010411909,-.17822666,-.49857852,-.12324122,-.12782452,.011191381,.01977434,.031178135,.014373471,.0045181164,.0020405171,.0034311228,.0028751609,.031676598,.011846291,.0037196127,.0055122636,.001196619,132865.1575719118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
