STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
RS,85278,ARVOREZINHA,663,1396,93,2,4004,14,39,1,137,273,17,6,0,1363,8696,7333,420,268
RS,85286,ESTAÇÃO,252,752,99,1,2355,11,55,1,169,202,13,16,0,596,4836,4240,133,181
RS,85294,AUGUSTO PESTANA,378,1087,60,0,2756,6,39,0,49,238,9,13,4,569,5490,4921,119,163
RS,85308,ARROIO DO SAL,572,774,121,1,3187,20,24,1,233,261,23,22,0,1254,6819,5565,134,192
RS,85316,BAGÉ,5982,18174,1236,43,31074,719,504,22,934,5053,600,435,25,21102,91960,70858,3027,3030
RS,85324,SÃO JOSÉ DO HORTÊNCIO,149,357,82,2,2059,6,15,2,97,128,9,2,0,219,3313,3094,63,123
RS,85332,BARÃO DE COTEGIPE,168,1259,68,0,2235,6,51,1,86,310,17,21,0,470,5077,4607,214,171
RS,85340,PINHAL,244,589,44,1,713,7,12,0,25,100,8,6,0,278,2114,1836,47,40
RS,85359,BARRACÃO,146,1222,104,1,1443,8,23,0,61,183,5,10,1,723,4289,3566,188,171
RS,85367,TRÊS CACHOEIRAS,558,812,74,0,4386,27,25,0,205,188,25,8,4,713,7337,6624,107,205
RS,85375,BARRA DO RIBEIRO,668,1888,187,4,3668,92,42,0,147,655,56,24,2,1695,9776,8081,305,343
RS,85383,SÃO VENDELINO,90,267,65,0,1157,9,13,0,85,127,5,4,0,203,2136,1933,39,72
RS,85391,BARROS CASSAL,393,2343,380,0,2383,14,20,0,79,575,16,8,2,1298,7974,6676,308,155
RS,85405,PROTÁSIO ALVES,48,132,78,1,1139,3,8,0,58,91,5,4,1,180,1850,1670,73,29
RS,85413,BENTO GONÇALVES,4533,7729,1058,16,50294,329,501,20,2705,2760,244,299,20,14744,89311,74567,1813,2246
RS,85421,POUSO NOVO,127,380,29,0,610,3,6,1,9,88,4,3,0,205,1527,1322,27,35
RS,85430,BOA VISTA DO BURICÁ,341,1040,45,3,2639,2,77,1,181,204,19,4,1,509,5331,4822,112,153
RS,85448,EUGÊNIO DE CASTRO,174,519,77,0,918,4,17,0,13,87,3,4,0,422,2355,1933,69,48
RS,85456,BOM JESUS,459,1811,314,2,2630,19,35,1,73,658,15,17,1,1704,8338,6634,364,235
RS,85464,CRISTAL,434,1562,76,0,2280,28,7,0,59,308,12,20,0,1093,6178,5085,163,136
RS,85472,BOM RETIRO DO SUL,467,1471,137,3,4680,57,38,4,167,374,25,36,2,1262,9452,8190,302,427
RS,85480,SÃO MIGUEL DAS MISSÕES,490,1801,38,2,1898,6,25,1,37,161,13,4,0,905,5631,4726,166,84
RS,85499,BOSSOROCA,310,1612,30,1,1391,9,23,0,26,235,12,12,1,825,4811,3986,216,108
RS,85502,GLORINHA,360,679,122,2,3233,23,14,1,91,286,18,25,1,1088,6283,5195,187,153
RS,85510,BRAGA,162,1081,75,1,719,3,9,0,10,77,10,5,0,520,2841,2321,87,82
RS,85529,SEGREDO,300,1691,136,1,1859,13,40,1,33,354,10,10,1,630,5415,4785,205,131
RS,85537,BUTIÁ,1342,3177,196,6,5076,85,43,3,248,815,52,61,23,2064,14163,12099,578,394
RS,85545,ALEGRIA,221,935,97,0,1124,7,26,0,13,153,5,3,0,403,3168,2765,110,71
RS,85553,CAÇAPAVA DO SUL,2326,6429,436,5,6572,137,101,8,360,1195,144,63,4,3305,23355,20050,1300,970
RS,85561,SALDANHA MARINHO,207,447,27,1,1185,1,12,0,53,222,2,2,0,332,2612,2280,60,61
RS,85570,CACEQUI,628,2557,127,1,2603,43,39,3,44,380,28,22,2,1322,8285,6963,214,272
RS,85588,SÃO JOSÉ DO HERVAL,193,551,43,1,589,2,9,0,8,65,3,7,1,475,2073,1598,64,62
