STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,301,1134,131,1,4140,131,30,4,12,617,24,38,1,1691,8684,6993,89,340
AC,1015,CAPIXABA,236,992,104,0,3484,77,18,6,2,616,29,22,2,978,6829,5851,43,220
AC,1023,PORTO ACRE,344,1970,155,3,6031,138,15,4,9,1086,16,60,2,1915,12324,10409,121,455
AC,1031,SANTA ROSA DO PURUS,74,1110,33,1,474,97,4,0,4,304,34,5,2,989,3332,2343,15,186
AC,1040,MARECHAL THAUMATURGO,325,2847,296,2,1982,34,10,1,0,1269,35,13,2,2479,9540,7061,31,214
AC,1058,BRASILÉIA,403,3275,150,4,7608,159,20,4,27,1000,21,60,0,2590,16026,13436,174,531
AC,1066,PORTO WALTER,155,1576,349,1,1623,31,16,1,0,612,12,34,3,1440,6089,4649,28,208
AC,1074,CRUZEIRO DO SUL,2433,6454,1455,12,27455,601,132,7,120,4087,128,262,11,8905,54492,45587,608,1822
AC,1082,RODRIGUES ALVES,280,2072,236,1,4371,63,24,4,1,1046,22,28,3,2482,11011,8529,86,292
AC,1090,MÂNCIO LIMA,334,2764,245,0,4654,80,33,2,7,1085,28,25,1,2677,12425,9748,114,376
AC,1104,JORDÃO,167,1676,48,1,1081,18,15,1,1,378,4,6,2,1213,4794,3581,14,169
AC,1112,EPITACIOLÂNDIA,319,1920,92,2,5567,111,22,0,25,600,25,43,3,1534,10783,9249,151,369
AC,1120,ACRELÂNDIA,267,1130,61,0,4776,33,35,3,7,548,16,18,1,1548,8808,7260,73,292
AC,1139,FEIJÓ,405,6417,75,3,5561,161,20,10,12,1081,48,43,4,5974,20548,14574,148,586
AC,1392,RIO BRANCO,12508,21648,1998,31,140632,7614,967,156,1645,11971,889,2433,55,43550,255579,212029,2793,6689
AC,1457,SENA MADUREIRA,871,3816,317,4,12105,314,49,11,35,1732,62,99,4,7780,28313,20533,245,869
AC,1473,TARAUACÁ,659,6818,175,6,7798,256,33,9,14,1168,107,67,3,7360,25562,18202,247,842
AC,1490,XAPURI,361,3482,82,2,4331,83,9,1,6,574,32,44,1,1832,11399,9567,91,468
AC,1511,PLÁCIDO DE CASTRO,527,1463,107,2,5831,168,32,6,18,1113,39,80,5,1542,11453,9911,131,389
AC,1538,SENADOR GUIOMARD,540,2078,175,1,9070,316,38,7,34,1385,38,130,6,2498,17102,14604,208,578
AC,1554,MANOEL URBANO,202,1720,134,1,1979,52,4,0,1,498,24,25,0,1862,6788,4926,52,234
AC,1570,ASSIS BRASIL,98,1808,40,2,1955,20,5,4,10,345,9,29,2,1135,5727,4592,37,228
AL,27006,PARIPUEIRA,486,2232,254,1,3188,88,25,2,29,371,40,94,3,1720,9425,7705,294,598
AL,27014,ÁGUA BRANCA,849,8092,336,3,668,18,16,3,25,143,25,36,1,3993,14876,10883,107,561
AL,27022,PARICONHA,517,4901,226,1,278,15,10,1,30,80,13,41,1,1766,8279,6513,74,325
AL,27030,ANADIA,506,5219,311,0,1610,27,20,4,20,181,23,54,3,3778,12607,8829,215,636
AL,27049,ESTRELA DE ALAGOAS,424,5461,313,4,702,43,14,2,33,135,29,26,3,3664,11630,7966,182,595
AL,27057,ARAPIRACA,17291,36666,2858,41,41182,871,414,32,964,4659,467,835,18,25135,140846,115711,3081,6332
AL,27065,JEQUIÁ DA PRAIA,366,2218,144,2,2188,35,15,0,14,197,25,67,1,1549,7264,5715,129,314
AL,27073,ATALAIA,1502,11004,745,8,5700,113,50,2,59,1051,159,274,9,7608,30375,22767,742,1349
AL,27081,CAMPESTRE,242,2249,116,1,663,8,5,2,7,41,9,160,0,1414,5257,3843,97,243
AL,27090,BARRA DE SANTO ANTÔNIO,429,4035,215,2,2608,57,21,1,31,312,38,121,3,2664,11459,8795,326,596
AL,27111,BARRA DE SÃO MIGUEL,388,1796,117,0,2105,57,34,2,25,270,37,70,3,1115,6465,5350,124,322
AL,27138,BATALHA,619,5479,206,5,1933,21,29,5,43,189,26,29,0,2937,12169,9232,127,521
AL,27154,BELÉM,164,2123,160,0,672,33,4,2,17,110,15,25,0,1127,4797,3670,117,228
AL,27170,BELO MONTE,164,2744,125,1,450,24,5,1,13,73,13,32,0,1306,5137,3831,47,139
AL,27197,BOCA DA MATA,918,6163,357,3,3999,78,61,2,126,303,55,138,3,5901,19528,13627,452,969
AL,27219,BRANQUINHA,301,3273,257,0,961,23,16,1,13,184,15,64,1,2506,8068,5562,159,294
AL,27235,CACIMBINHAS,390,3665,295,1,966,9,6,1,42,135,9,14,2,2092,8027,5935,64,336
AL,27251,CAJUEIRO,618,5136,323,3,2332,62,27,1,20,429,23,46,1,4180,14267,10087,294,772
AL,27278,CAMPO ALEGRE,1198,9564,599,6,3571,91,25,3,70,407,57,308,0,6537,23928,17391,403,1089
AL,27294,CAMPO GRANDE,470,4078,194,1,684,13,6,2,13,107,12,37,1,2055,8150,6095,134,343
AL,27316,CANAPI,445,6931,329,9,809,32,14,0,25,98,10,19,0,3772,13119,9347,137,489
AL,27332,CAPELA,769,4136,276,3,3055,63,35,0,46,365,30,109,3,3058,12855,9797,239,668
AL,27359,CARNEIROS,252,3364,164,3,455,15,7,0,28,61,12,13,1,1656,6343,4687,51,261
AL,27375,CHÃ PRETA,233,2534,125,1,762,11,10,0,14,85,11,18,1,1627,5862,4235,89,341
AL,27391,COITÉ DO NÓIA,590,4036,191,3,786,23,16,0,48,123,13,23,1,2041,8382,6341,113,375
AL,27413,COLÔNIA LEOPOLDINA,892,4274,267,5,3241,43,21,3,26,386,36,156,6,4380,14949,10569,326,887
AL,27430,COQUEIRO SECO,227,1631,81,3,1109,24,9,0,15,187,15,18,2,772,4544,3772,144,307
AL,27456,CORURIPE,1746,8377,803,7,12003,284,72,5,127,1356,88,257,8,9566,38411,28845,1043,2669
AL,27472,DELMIRO GOUVEIA,2631,18820,752,6,3683,99,32,4,150,292,57,235,3,8557,37067,28510,391,1355
AL,27499,DOIS RIACHOS,424,3903,200,0,914,12,5,1,16,90,10,8,1,2528,8521,5993,74,335
AL,27510,FEIRA GRANDE,749,8392,478,4,1846,24,6,0,27,273,14,52,0,4045,16909,12864,323,676
AL,27537,FELIZ DESERTO,123,1239,89,1,586,8,7,1,2,97,9,14,2,982,3412,2430,65,187
AL,27553,FLEXEIRAS,356,2259,253,1,2234,37,12,3,21,265,21,71,2,2289,8479,6190,181,474
AL,27570,GIRAU DO PONCIANO,1318,13137,504,3,1880,73,34,0,24,246,36,105,6,6883,25527,18644,377,901
AL,27596,IBATEGUARA,431,3892,249,2,2163,25,26,1,16,308,26,62,1,2648,10732,8084,287,595
AL,27618,IGACI,860,9218,435,4,1611,61,30,3,42,243,33,44,1,5603,19263,13660,313,762
AL,27634,IGREJA NOVA,545,7969,365,4,2113,60,27,1,12,335,26,66,1,4010,16756,12746,482,740
AL,27650,INHAPI,491,6188,309,1,729,13,8,0,12,137,7,47,0,3681,12301,8620,146,532
AL,27677,JACARÉ DOS HOMENS,235,2613,99,0,390,9,12,0,12,47,17,9,0,1128,4767,3639,38,158
AL,27693,JACUÍPE,345,2443,114,2,672,10,16,1,5,80,5,49,1,1303,5387,4084,95,246
AL,27715,JAPARATINGA,191,1688,134,1,1900,30,10,1,17,215,11,76,2,1453,6324,4871,180,415
AL,27731,JARAMATAIA,230,2466,126,4,419,10,3,4,14,44,3,31,0,1017,4645,3628,59,215
AL,27758,JOAQUIM GOMES,631,5985,407,2,1906,39,21,0,7,313,24,61,1,3185,13436,10251,233,621
AL,27774,JUNDIÁ,251,1283,98,1,850,13,7,0,18,114,17,16,4,1184,4184,3000,92,236
AL,27790,JUNQUEIRO,1316,6993,490,2,3144,44,32,5,106,340,43,94,2,5258,18977,13719,403,705
AL,27812,LAGOA DA CANOA,935,6512,394,5,1769,73,17,0,31,300,24,68,2,3210,14199,10989,260,599
AL,27839,LIMOEIRO DE ANADIA,1199,7861,260,6,2089,34,20,1,37,242,15,63,1,4529,17638,13109,335,946
AL,27855,MACEIÓ,60338,85734,9230,305,227491,8653,2198,162,6568,21176,4698,8309,180,109655,595525,485870,15215,35613
AL,27871,MAJOR ISIDORO,629,6328,312,3,2220,37,20,1,54,231,34,35,2,3599,14401,10802,206,690
AL,27898,MARAGOGI,1001,4610,402,5,6551,104,32,2,38,614,35,190,1,4561,19904,15343,611,1147
AL,27910,MARAVILHA,691,3300,112,3,740,23,9,0,15,135,10,19,3,2233,7796,5563,91,412
AL,27936,MARECHAL DEODORO,2073,7480,795,23,12298,300,74,13,129,1483,217,356,12,7863,35870,28007,908,1846
AL,27952,MARIBONDO,592,3911,199,2,1971,30,35,3,36,195,15,31,1,2357,10240,7883,257,605
AL,27979,MAR VERMELHO,257,1483,62,3,563,12,13,0,18,67,14,4,2,598,3327,2729,60,171
AL,27995,MATA GRANDE,752,8258,456,1,1277,21,14,0,31,159,12,23,1,4890,16838,11948,251,692
AL,28010,MATRIZ DE CAMARAGIBE,728,5145,304,5,5051,77,24,2,26,710,44,230,3,4981,18629,13648,444,855
AL,28037,MESSIAS,479,4442,299,3,2921,76,33,2,16,451,39,138,1,2836,12671,9835,305,630
AL,28053,MINADOR DO NEGRÃO,282,2245,122,1,523,11,5,1,21,50,4,6,1,1064,4606,3542,35,235
AL,28070,MONTEIRÓPOLIS,197,2861,127,2,508,13,24,0,22,101,17,8,2,1545,5742,4197,59,256
AL,28096,MURICI,794,6858,539,8,4032,95,26,6,43,532,55,133,4,4443,19178,14735,629,981
AL,28118,NOVO LINO,331,2728,237,3,2058,32,14,2,29,325,15,100,2,2923,9459,6536,227,433
AL,28134,OLHO D ÁGUA DAS FLORES,914,5816,228,9,2684,55,32,1,111,396,54,42,3,3596,14852,11256,198,713
AL,28150,OLHO D ÁGUA DO CASADO,222,3953,187,3,270,8,0,2,6,39,7,19,2,1826,6831,5005,72,215
AL,28177,OLHO D ÁGUA GRANDE,174,2401,115,0,355,1,7,0,5,35,5,43,1,1113,4463,3350,51,157
AL,28193,OLIVENÇA,417,4490,289,2,902,21,14,2,30,100,11,49,0,2039,8823,6784,66,391
AL,28215,OURO BRANCO,409,4337,174,1,727,15,10,4,31,107,21,33,1,1879,8205,6326,92,364
AL,28231,PALESTINA,237,2124,94,2,396,12,7,0,9,58,23,22,1,1154,4303,3149,40,124
AL,28258,PALMEIRA DOS ÍNDIOS,3534,18429,975,10,9738,263,108,4,260,1183,168,306,12,11338,50123,38785,946,2849
AL,28274,PÃO DE AÇÚCAR,770,8695,452,5,2244,55,18,2,67,236,33,73,4,4452,17971,13519,223,642
AL,28290,PASSO DE CAMARAGIBE,306,4052,228,8,2296,48,15,2,25,267,18,339,1,2755,11211,8456,266,585
AL,28312,PAULO JACINTO,269,2595,116,1,1047,12,13,2,24,132,31,30,1,1311,6042,4731,100,358
AL,28339,PENEDO,2694,13607,673,11,8409,282,107,8,114,795,125,206,6,11521,40788,29267,736,1494
AL,28355,PIAÇABUÇU,510,5321,218,4,2150,57,37,0,26,222,33,111,3,3474,13047,9573,213,668
AL,28371,PILAR,1413,6868,566,7,7320,147,53,10,81,1196,77,212,7,5666,25626,19960,757,1246
AL,28398,PINDOBA,114,1149,61,1,437,5,2,0,6,40,4,8,0,501,2483,1982,41,114
AL,28410,PIRANHAS,991,9408,381,4,1131,43,22,1,23,89,41,35,1,4717,17760,13043,139,734
AL,28436,POÇO DAS TRINCHEIRAS,538,5217,244,2,482,20,7,7,18,201,9,39,4,2537,9796,7259,103,368
AL,28452,PORTO CALVO,1202,4602,405,6,5641,93,42,3,31,891,48,181,10,5430,20089,14659,500,1004
AL,28479,PORTO DE PEDRAS,272,1859,119,6,1682,53,10,2,17,222,11,59,1,1655,6561,4906,183,410
AL,28495,PORTO REAL DO COLÉGIO,539,7940,296,6,1525,23,30,2,15,265,17,57,0,3182,14811,11629,340,574
AL,28517,QUEBRANGULO,551,4396,224,3,1403,23,12,0,9,152,13,35,2,2285,9791,7506,172,511
AL,28533,RIO LARGO,3791,14833,1116,21,17110,552,121,8,193,1773,228,1063,2,9321,54488,45167,1624,2732
AL,28550,ROTEIRO,187,1854,103,2,986,37,3,2,20,141,12,56,1,1231,5000,3769,94,271
AL,28576,SANTA LUZIA DO NORTE,268,2056,126,2,1380,29,18,2,17,181,31,90,0,1139,5780,4641,124,317
AL,28592,SANTANA DO IPANEMA,1867,14711,540,6,4119,100,44,4,102,414,67,76,3,6860,30745,23885,376,1456
AL,28614,SANTANA DO MUNDAÚ,412,3916,181,0,929,31,8,0,15,140,14,18,2,2190,8352,6162,116,380
AL,28630,SÃO BRÁS,163,2873,131,1,805,14,7,4,8,187,19,28,0,1309,5904,4595,154,201
AL,28657,SÃO JOSÉ DA LAJE,668,6126,418,3,3766,70,25,1,33,320,30,102,1,4026,16690,12664,308,793
AL,28673,SÃO JOSÉ DA TAPERA,916,10264,531,1,1453,47,7,0,93,296,53,75,2,5495,20490,14995,308,949
AL,28690,SÃO LUÍS DO QUITUNDE,1014,6698,424,2,5065,99,25,6,47,833,45,285,4,5555,21879,16324,662,1115
AL,28711,SÃO MIGUEL DOS CAMPOS,3320,8981,773,21,12115,378,117,10,151,1667,152,532,5,7969,39003,31034,789,2023
AL,28738,SÃO MIGUEL DOS MILAGRES,250,1590,135,0,1893,47,11,0,27,156,14,32,0,1630,6449,4819,224,440
AL,28754,SÃO SEBASTIÃO,1349,11295,534,6,2888,62,44,1,52,421,32,90,2,6069,24367,18298,531,991
AL,28770,SATUBA,797,2505,226,12,3276,92,23,4,36,303,45,137,2,1647,9866,8219,293,468
AL,28797,TANQUE D ARCA,182,2579,94,2,490,15,2,0,7,74,18,7,0,1382,5222,3840,118,252
AL,28819,TAQUARANA,818,5780,248,2,1639,49,14,2,40,224,31,26,1,3487,13436,9949,283,792
AL,28835,TRAIPU,653,8436,426,6,1337,57,28,1,30,277,30,58,4,4996,17203,12207,168,696
AL,28851,UNIÃO DOS PALMARES,2432,15980,803,19,8808,279,98,5,150,919,195,307,7,11222,44398,33176,944,2230
AL,28878,VIÇOSA,1075,7054,376,4,3818,129,46,4,61,467,56,60,1,4869,19631,14762,466,1145
AL,28894,CRAÍBAS,1135,9098,409,3,1800,40,37,4,47,206,29,36,1,3927,17781,13854,316,693
AL,28916,SENADOR RUI PALMEIRA,419,4628,187,0,601,14,10,0,50,73,24,13,0,2371,8831,6460,73,368
AL,28932,TEOTÔNIO VILELA,2264,9106,730,7,5456,127,61,3,72,634,77,279,3,8359,29128,20769,541,1409
AM,2003,APUÍ,362,2839,60,3,3077,30,42,7,7,149,18,34,0,3700,10679,6979,104,247
AM,2011,NOVO AIRÃO,393,3707,88,4,2596,81,25,8,36,254,21,32,1,2726,10331,7605,89,270
AM,2020,GUAJARÁ,363,2590,67,1,2515,31,16,2,13,365,12,19,1,3119,9521,6402,90,317
AM,2038,ANORI,329,3955,60,1,2297,51,36,2,88,106,11,44,2,2451,9719,7268,50,236
AM,2046,CAREIRO DA VÁRZEA,560,7622,133,9,2870,102,36,11,64,186,41,89,0,3008,15290,12282,147,412
AM,2054,ATALAIA DO NORTE,523,3794,32,0,725,17,4,4,1,66,36,35,1,2503,7920,5417,19,160
AM,2070,AUTAZES,995,12795,140,4,4675,94,37,7,52,219,36,77,0,5445,25317,19872,139,602
AM,2097,BARCELOS,464,3529,90,0,1786,81,44,3,32,237,58,27,2,3921,10492,6571,64,154
AM,2119,BARREIRINHA,432,11859,58,2,825,65,18,2,33,144,44,26,0,4325,18308,13983,59,416
AM,2135,BENJAMIN CONSTANT,668,12306,100,3,1802,74,27,7,24,168,53,21,0,4713,20445,15732,85,394
AM,2151,BOCA DO ACRE,747,6140,131,2,5801,94,43,10,25,656,55,83,3,6209,20967,14758,219,749
AM,2178,BORBA,486,10816,102,4,2128,86,17,3,44,154,51,51,1,5787,20293,14506,77,486
AM,2194,CANUTAMA,435,3034,46,0,1578,15,5,4,6,126,21,25,0,2750,8361,5611,46,270
AM,2216,CARAUARI,778,8002,139,8,2142,46,51,2,6,259,27,12,0,7265,19306,12041,118,451
AM,2232,CAREIRO,842,9518,148,4,4233,86,29,4,31,178,71,71,0,4864,21036,16172,202,755
AM,2259,COARI,2809,20086,317,21,9224,494,57,6,61,703,234,156,4,14649,50269,35620,337,1111
AM,2275,CODAJÁS,530,5308,78,4,3137,39,80,2,53,144,60,58,2,4542,14421,9879,56,328
AM,2291,EIRUNEPÉ,698,7922,111,2,3040,76,19,9,10,278,30,22,4,7731,20736,13005,208,576
AM,2313,ENVIRA,473,4197,101,0,1040,79,34,2,11,297,28,9,0,4845,11439,6594,85,238
AM,2330,FONTE BOA,459,7273,71,4,1585,16,12,2,8,215,36,6,1,4818,14872,10054,69,297
AM,2356,HUMAITÁ,1121,9763,166,10,7093,53,127,4,189,351,81,120,4,8409,28533,20124,247,795
AM,2372,SANTA ISABEL DO RIO NEGRO,285,2396,65,2,1144,85,13,5,5,303,21,4,1,3394,7951,4557,46,182
AM,2399,IPIXUNA,315,4688,50,1,1074,25,11,2,3,357,13,4,2,3757,10761,7004,89,370
AM,2410,ITACOATIARA,3148,28429,511,3,14540,496,155,49,389,889,272,372,8,15051,66336,51285,564,1460
AM,2437,ITAPIRANGA,233,2856,37,0,1912,45,21,1,31,76,17,80,0,1771,7230,5459,38,112
AM,2453,JAPURÁ,665,1391,32,0,553,26,9,0,5,119,9,3,0,1511,4393,2882,22,48
AM,2470,JURUÁ,476,2377,50,1,1098,13,4,8,0,142,11,18,1,2686,7119,4433,47,187
AM,2496,JUTAÍ,486,5558,70,4,1197,26,23,6,8,215,23,10,0,4337,12387,8050,50,374
AM,2518,LÁBREA,736,11051,143,3,3312,45,38,3,42,268,111,103,2,7710,24284,16574,148,569
AM,2534,MANACAPURU,2741,26429,544,12,17347,496,150,70,319,816,226,858,3,13713,66241,52528,552,1965
AM,2550,MANAUS,95210,247946,16672,611,620178,23148,6447,705,23295,13854,7736,26289,185,167472,1321464,1153992,21645,50071
AM,2577,MANICORÉ,1217,11865,182,6,4238,115,72,1,128,622,61,37,1,8737,27972,19235,166,524
AM,2593,MARAÃ,262,4136,51,1,831,13,7,0,4,93,13,3,0,3990,9607,5617,20,183
AM,2615,MAUÉS,1078,16555,105,2,2891,115,34,4,187,182,47,63,1,8976,30937,21961,158,539
AM,2631,NHAMUNDÁ,365,7476,49,1,1150,34,6,1,15,89,41,16,0,3530,13060,9530,52,235
AM,2658,NOVA OLINDA DO NORTE,536,8743,75,2,1800,79,15,1,117,141,41,35,0,4848,16899,12051,98,368
AM,2674,NOVO ARIPUANÃ,317,5842,85,5,1268,60,39,5,16,201,32,24,0,4089,12334,8245,55,296
AM,2690,PARINTINS,3182,36575,367,10,7459,517,126,10,332,606,297,284,5,16656,68207,51551,495,1286
AM,2712,PAUINI,371,4260,56,2,1301,91,15,7,14,156,10,25,0,3681,10218,6537,48,181
AM,2739,SANTO ANTÔNIO DO IÇÁ,524,7628,59,0,1296,93,55,2,4,460,58,18,2,3323,13907,10584,78,307
AM,2755,SÃO PAULO DE OLIVENÇA,757,10261,94,2,1037,106,36,9,145,482,75,67,0,3338,16914,13576,105,400
AM,2771,SILVES,178,4228,30,0,851,31,10,6,15,35,8,28,0,1560,7167,5607,41,146
AM,2798,TAPAUÁ,718,4745,70,3,2440,20,10,3,6,183,30,16,0,4138,12718,8580,51,285
AM,2810,TEFÉ,1470,18069,234,12,7945,217,91,5,135,552,159,108,2,10842,40977,30135,305,831
AM,2836,SÃO GABRIEL DA CACHOEIRA,691,13395,94,6,3466,190,31,11,32,418,82,51,0,10241,29139,18898,97,334
AM,2852,URUCARÁ,329,5846,44,0,1672,51,17,4,55,68,13,32,2,3126,11572,8446,70,243
AM,2879,URUCURITUBA,333,6522,47,0,1586,41,8,1,12,78,25,37,1,3293,12201,8908,62,155
AM,2895,ALVARÃES,450,5026,34,4,1236,56,19,0,24,99,37,7,0,2514,9758,7244,35,217
AM,2917,AMATURÁ,243,3150,40,0,744,32,13,1,10,113,22,54,1,1235,5909,4674,37,214
AM,2933,ANAMÃ,306,3389,53,2,1373,60,18,5,12,141,4,30,1,1898,7457,5559,23,142
AM,2950,BERURI,335,5964,88,14,1787,54,23,10,28,181,23,45,2,2919,11752,8833,46,233
AM,2976,BOA VISTA DO RAMOS,315,6516,24,2,700,43,9,0,14,46,25,29,26,2838,10834,7996,42,205
AM,2992,CAAPIRANGA,365,3560,36,1,1504,32,10,2,16,58,12,55,0,2247,8146,5899,44,204
AM,98353,IRANDUBA,1288,13832,295,9,7990,323,88,11,233,299,130,475,3,4302,30595,26293,320,997
AM,98370,ITAMARATI,275,3144,60,2,650,22,3,8,2,93,19,6,0,2213,6700,4487,34,169
AM,98396,MANAQUIRI,446,6650,70,2,1822,52,15,2,40,92,23,142,1,3357,13161,9804,87,360
AM,98418,PRESIDENTE FIGUEIREDO,1454,7828,140,4,5848,132,59,4,167,190,60,320,3,5684,22754,17070,198,663
AM,98434,RIO PRETO DA EVA,642,5214,112,4,4523,84,36,9,125,156,66,146,4,3356,15133,11777,151,505
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,168,2450,53,6,1688,66,15,0,55,110,9,61,1,1746,6637,4891,53,156
AM,98477,TABATINGA,1124,15070,277,6,6480,291,51,15,35,558,173,119,3,7765,33187,25422,259,961
AM,98493,UARINI,284,3654,49,3,979,28,23,2,2,167,20,9,0,1968,7346,5378,35,123
AM,98515,TONANTINS,212,5229,35,1,823,33,5,2,17,227,12,7,1,2372,9223,6851,34,213
AP,6009,PRACUÚBA,177,1376,48,1,858,42,3,4,21,86,7,23,0,554,3280,2726,22,58
AP,6017,AMAPÁ,401,2519,36,0,1404,57,2,2,28,147,39,68,0,1172,6062,4890,33,154
AP,6025,PORTO GRANDE,909,4581,103,7,3489,151,28,2,215,420,110,135,1,2859,13494,10635,109,375
AP,6033,CALÇOENE,554,2841,71,3,1644,117,12,2,9,224,32,43,2,1770,7569,5799,59,186
AP,6041,ITAUBAL,298,2469,41,4,1224,90,11,1,19,291,62,107,0,879,5638,4759,29,113
AP,6050,MACAPÁ,34571,58770,3700,449,106017,6450,1065,120,5593,12114,4087,5390,55,44666,293289,248623,3113,7129
AP,6068,CUTIAS,202,1944,24,2,953,48,3,0,5,190,24,20,0,704,4251,3547,15,117
AP,6076,MAZAGÃO,862,7568,130,13,3141,169,20,12,46,655,75,180,2,1903,15088,13185,65,247
AP,6084,PEDRA BRANCA DO AMAPARI,476,3323,42,1,2229,90,4,11,38,110,30,80,1,2151,8858,6707,59,213
AP,6092,OIAPOQUE,816,7070,86,10,3620,167,17,8,48,350,84,161,4,6208,19376,13168,185,542
AP,6106,SERRA DO NAVIO,251,1121,35,0,1153,51,4,3,34,103,16,32,0,694,3596,2902,15,84
AP,6114,FERREIRA GOMES,375,2110,63,8,1778,114,13,1,40,185,86,155,0,1634,6724,5090,38,124
AP,6122,VITÓRIA DO JARI,391,4854,59,4,1528,48,7,2,10,210,28,364,0,1964,9722,7758,44,209
AP,6130,LARANJAL DO JARI,1859,10329,198,12,7520,211,38,15,125,570,108,486,1,6337,28729,22392,221,699
AP,6157,SANTANA,7906,19705,909,41,28181,1095,197,62,1217,3301,592,1574,8,10327,77421,67094,671,1635
AP,6173,TARTARUGALZINHO,505,3707,66,5,2196,108,11,2,42,285,52,64,2,1677,9022,7345,61,239
BA,30007,LUÍS EDUARDO MAGALHÃES,2120,12727,207,16,20810,232,174,5,471,704,103,574,6,12045,53063,41018,824,2045
BA,30058,EUNÁPOLIS,4405,21973,315,15,24940,664,135,22,373,1907,215,1031,40,13613,76012,62399,1168,5196
BA,30660,IUIU,393,4588,12,0,796,10,8,1,15,80,9,17,1,2067,8398,6331,77,324
BA,30678,JABORANDI,247,4020,24,1,1043,17,11,2,21,272,6,60,3,1804,8161,6357,145,485
BA,30694,JUSSARI,135,1724,5,2,899,6,1,1,10,168,1,33,2,1666,4900,3234,27,220
BA,30716,AMÉRICA DOURADA,450,7075,12,1,836,31,20,0,7,109,14,64,3,3633,12782,9149,98,429
BA,30732,ARATACA,226,2877,12,0,973,10,11,1,4,80,8,86,0,1315,5916,4601,49,264
BA,30759,BARRO ALTO,770,5081,26,1,823,31,11,2,16,148,23,32,1,2208,9808,7600,131,504
BA,30775,BARROCAS,1061,7423,20,2,1129,20,17,4,10,205,19,44,0,1840,12565,10725,108,663
BA,30791,BURITIRAMA,454,7457,26,2,1329,21,7,2,49,524,15,52,4,4194,14949,10755,77,736
BA,30813,CAPELA DO ALTO ALEGRE,917,3706,19,2,1180,25,14,1,16,75,16,28,3,2429,9266,6837,212,623
BA,30830,CAPIM GROSSO,2001,8239,64,1,4163,62,38,3,55,285,39,106,2,5658,22612,16954,359,1537
BA,30856,CANUDOS,484,6890,18,0,954,13,11,3,21,106,18,70,1,3174,12341,9167,76,502
BA,30872,DIAS D ÁVILA,2784,21118,206,9,7558,340,101,7,150,689,151,1943,5,9268,48594,39326,939,3326
BA,30899,FÁTIMA,1466,7717,13,1,830,27,26,5,29,109,45,54,1,3984,15098,11114,182,609
BA,30910,FILADÉLFIA,741,6421,22,4,1691,79,8,1,21,223,24,48,3,3982,14329,10347,261,800
BA,30937,GAVIÃO,353,1819,10,1,628,15,13,1,10,56,11,23,1,1075,4311,3236,47,248
BA,30953,GUAJERU,293,3460,15,0,355,9,7,3,6,66,10,12,1,2808,7452,4644,73,334
BA,30970,HELIÓPOLIS,989,6163,20,6,588,58,8,2,9,131,14,33,2,1844,10478,8634,162,449
BA,30996,JOÃO DOURADO,802,7854,46,3,3262,40,30,6,42,200,32,111,1,4510,17869,13359,195,735
BA,33014,ABAÍRA,353,2309,15,1,1146,14,7,2,32,411,16,10,4,1822,6907,5085,115,650
BA,33030,ABARÉ,627,6895,35,1,1700,36,27,1,13,132,7,97,2,2404,12723,10319,99,647
BA,33057,ACAJUTIBA,581,5089,47,3,1180,37,25,0,22,263,31,121,4,2890,11134,8244,163,678
BA,33065,ADUSTINA,1027,6125,15,4,914,19,11,2,18,73,12,23,1,2229,11110,8881,158,479
BA,33073,ÁGUA FRIA,616,5917,17,5,896,34,12,5,14,152,20,170,4,3128,12001,8873,169,842
BA,33090,ÉRICO CARDOSO,361,3452,17,0,776,17,8,4,17,95,9,46,0,3391,8918,5527,179,546
BA,33111,AIQUARA,153,1886,5,0,427,13,8,1,4,49,2,112,0,872,3788,2916,45,211
BA,33138,ALAGOINHAS,8911,37001,418,52,20628,982,623,28,336,2230,413,2687,15,17288,103309,86021,2596,9101
BA,33154,ALCOBAÇA,444,7445,43,4,2234,66,16,2,21,178,24,145,15,5361,17001,11640,222,781
BA,33170,ALMADINA,194,2124,20,4,509,17,28,0,15,156,9,21,4,1648,5027,3379,42,236
BA,33197,AMARGOSA,1441,9680,45,3,5238,119,26,3,73,615,51,345,6,6476,26504,20028,449,1934
BA,33219,AMÉLIA RODRIGUES,1201,8795,72,3,2189,101,21,5,32,269,47,314,1,3480,18138,14658,342,1266
BA,33235,ANAGÉ,1409,8395,53,3,1550,57,19,1,33,633,59,36,5,4721,18350,13629,241,1135
BA,33251,ANDARAÍ,218,5605,28,3,658,14,4,1,11,54,34,41,1,3289,10607,7318,78,568
BA,33260,ANDORINHA,457,7645,12,0,531,16,2,0,11,73,15,43,0,2160,11610,9450,125,520
BA,33278,ANGICAL,358,7028,27,4,1390,14,17,4,18,134,12,69,0,2672,12402,9730,104,551
