CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13)","('QT_VOTOS', 16)","('QT_VOTOS', 23)","('QT_VOTOS', 29)","('QT_VOTOS', 40)","('QT_VOTOS', 45)","('QT_VOTOS', 95)","('QT_VOTOS', 96)","('QT_VOTOS', 97)",QTD_ABSTENCOES,QTD_APTOS_TOT,QTD_COMPARECIMENTO,QTD_VOTOS_BRANCOS,QTD_VOTOS_NULOS
80756.0,CAPINZAL,6904,42,711,4,1163,1957,362,949,0,1899,13991,12092,362,949
80764.0,NOVO HORIZONTE,1039,11,153,1,147,465,65,146,0,412,2439,2027,65,146
80772.0,CATANDUVAS,2480,9,197,8,539,1083,125,437,0,745,5623,4878,125,437
80780.0,SAO MIGUEL DA BOA VISTA,630,3,71,5,132,219,52,98,0,239,1449,1210,52,98
80799.0,CAXAMBU DO SUL,2086,14,131,0,464,594,101,301,0,727,4418,3691,101,301
80802.0,ARVOREDO,1092,4,46,2,238,159,26,129,0,139,1835,1696,26,129
80810.0,CHAPECO,40957,321,5629,12,13109,16505,1424,3557,0,13188,94702,81514,1424,3557
80829.0,IPUACU,1617,4,210,0,443,275,52,344,0,588,3533,2945,52,344
80837.0,CONCORDIA,25317,149,1732,20,3118,7188,780,1596,0,6236,46136,39900,780,1596
80845.0,OURO VERDE,819,1,22,0,138,426,53,161,0,330,1950,1620,53,161
80853.0,CORONEL FREITAS,3658,10,287,2,572,1462,224,455,0,977,7647,6670,224,455
80861.0,IRATI,798,5,57,0,277,208,35,117,0,420,1917,1497,35,117
80870.0,CORUPA,4587,42,270,2,498,2304,192,496,0,1058,9449,8391,192,496
80888.0,FORMOSA DO SUL,1096,4,77,1,207,195,30,127,0,361,2098,1737,30,127
80896.0,CRICIUMA,63273,576,6506,20,16478,11475,1751,3956,0,14576,118611,104035,1751,3956
80900.0,MACIEIRA,737,6,67,0,162,153,45,102,0,138,1410,1272,45,102
80918.0,CUNHA PORA,2864,37,675,4,994,1663,179,501,0,1349,8266,6917,179,501
80926.0,PONTE ALTA DO NORTE,807,4,39,0,172,411,26,197,0,366,2022,1656,26,197
80934.0,CURITIBANOS,10475,84,1552,11,2074,5037,676,1932,0,5179,27020,21841,676,1932
80942.0,SAO CRISTOVAO DO SUL,1104,8,115,0,336,448,68,246,0,599,2924,2325,68,246
80950.0,DESCANSO,3833,13,268,2,449,885,154,344,0,1493,7441,5948,154,344
80969.0,VARGEM BONITA,1710,7,114,2,359,454,55,200,0,311,3212,2901,55,200
80977.0,DIONISIO CERQUEIRA,3746,34,614,2,1134,1535,174,844,0,3555,11638,8083,174,844
80985.0,BOMBINHAS,1838,32,662,3,752,1670,145,272,0,1204,6578,5374,145,272
80993.0,DONA EMMA,1072,6,175,3,194,532,59,160,0,440,2641,2201,59,160
81000.0,SANGAO,1845,21,207,1,677,1081,167,357,0,726,5082,4356,167,357
81019.0,ERVAL VELHO,1184,6,157,0,265,907,79,259,0,302,3159,2857,79,259
81027.0,CAPIVARI DE BAIXO,8648,36,373,2,1172,1098,177,633,0,1770,13909,12139,177,633
81035.0,FAXINAL DOS GUEDES,3602,11,282,1,525,1037,118,391,0,1025,6992,5967,118,391
81043.0,CORDILHEIRA ALTA,1336,2,75,0,84,431,47,132,0,108,2215,2107,47,132
81051.0,FLORIANOPOLIS,126343,2021,18790,125,18075,45671,4368,9108,0,31503,256004,224501,4368,9108
81060.0,FORQUILHINHA,7973,40,519,2,1241,1051,211,592,0,1157,12786,11629,211,592
81078.0,FRAIBURGO,11950,62,782,3,1792,2366,484,1343,0,4040,22822,18782,484,1343
81086.0,MORRO GRANDE,1146,18,99,6,246,338,45,135,0,126,2159,2033,45,135
81094.0,GALVAO,1525,13,139,5,158,368,73,191,0,670,3142,2472,73,191
81108.0,CORONEL MARTINS,776,7,86,1,203,348,35,138,0,388,1982,1594,35,138
81116.0,GOVERNADOR CELSO RAMOS,2338,33,680,3,1611,2249,226,582,0,1608,9330,7722,226,582
81124.0,SAO JOAO DO ITAPERIU,842,18,97,0,275,671,62,182,0,506,2653,2147,62,182
81132.0,GAROPABA,3879,32,436,3,611,2742,307,620,0,1561,10191,8630,307,620
81140.0,JARDINOPOLIS,902,5,44,1,141,167,26,112,0,261,1659,1398,26,112
81159.0,GARUVA,2974,33,325,5,1079,1648,158,470,0,1426,8118,6692,158,470
81167.0,ERMO,1131,10,86,2,392,251,51,172,0,297,2392,2095,51,172
