STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1229,3224,863,5552,4689,46,190
AC,1015,CAPIXABA,847,3365,2064,6441,4377,16,149
AC,1023,PORTO ACRE,1460,5963,2765,10537,7772,52,297
AC,1031,SANTA ROSA DO PURUS,303,917,1039,2360,1321,10,91
AC,1040,MARECHAL THAUMATURGO,1698,2660,3219,7808,4589,20,211
AC,1058,BRASILÉIA,2992,7602,4276,15326,11050,88,368
AC,1066,PORTO WALTER,1301,1544,1845,4866,3021,9,167
AC,1074,CRUZEIRO DO SUL,10134,19070,17810,48422,30612,277,1131
AC,1082,RODRIGUES ALVES,1832,3183,3449,8695,5246,27,204
AC,1090,MÂNCIO LIMA,2395,3388,3598,9647,6049,35,231
AC,1104,JORDÃO,874,937,1741,3702,1961,12,138
AC,1112,EPITACIOLÂNDIA,1717,4830,2605,9422,6817,60,210
AC,1120,ACRELÂNDIA,1475,4451,2953,9111,6158,65,167
AC,1139,FEIJÓ,5711,4249,6512,17154,10642,97,585
AC,1392,RIO BRANCO,43426,119157,46267,217042,170775,2280,5912
AC,1457,SENA MADUREIRA,4369,9320,9603,24007,14404,115,600
AC,1473,TARAUACÁ,5177,5921,9470,21311,11841,94,649
AC,1490,XAPURI,2544,4697,3166,10790,7624,59,324
AC,1511,PLÁCIDO DE CASTRO,2110,6064,4097,12551,8454,50,230
AC,1538,SENADOR GUIOMARD,2930,8159,4302,15880,11578,107,382
AC,1554,MANOEL URBANO,1084,1830,1982,5077,3095,19,162
AC,1570,ASSIS BRASIL,1361,2235,691,4499,3808,25,187
AL,27006,PARIPUEIRA,2415,3285,1771,7928,6157,143,314
AL,27014,ÁGUA BRANCA,7531,1639,4749,14675,9926,102,654
AL,27022,PARICONHA,4476,650,2314,7856,5542,47,369
AL,27030,ANADIA,5019,3033,5123,13937,8814,189,573
AL,27049,ESTRELA DE ALAGOAS,5476,1593,4436,12250,7814,130,615
AL,27057,ARAPIRACA,42663,47437,29074,125965,96891,1898,4893
AL,27065,JEQUIÁ DA PRAIA,2902,1924,2922,8074,5152,71,255
AL,27073,ATALAIA,8967,9907,9219,29789,20570,360,1336
AL,27081,CAMPESTRE,2314,787,893,4287,3394,65,228
AL,27090,BARRA DE SANTO ANTÔNIO,3176,2840,987,7547,6560,164,380
AL,27111,BARRA DE SÃO MIGUEL,1666,2099,1203,5219,4016,61,190
AL,27138,BATALHA,5289,2203,3061,11076,8015,76,447
AL,27154,BELÉM,2072,951,1537,4863,3326,68,235
AL,27170,BELO MONTE,2444,604,1397,4675,3278,21,209
AL,27197,BOCA DA MATA,8753,4050,5918,19974,14056,370,883
AL,27219,BRANQUINHA,3082,1426,1099,6053,4954,84,362
AL,27235,CACIMBINHAS,3041,1741,1573,6823,5250,63,405
AL,27251,CAJUEIRO,4524,4436,4176,14012,9836,176,700
AL,27278,CAMPO ALEGRE,8527,4693,7666,22240,14574,370,984
AL,27294,CAMPO GRANDE,3998,1279,1854,7579,5725,106,342
AL,27316,CANAPI,6983,1142,4429,13218,8789,93,571
AL,27332,CAPELA,3340,4774,4209,13116,8907,166,627
AL,27359,CARNEIROS,2542,1175,1638,5687,4049,48,284
AL,27375,CHÃ PRETA,2729,1073,680,4861,4181,76,303
AL,27391,COITÉ DO NÓIA,3917,1286,862,6593,5731,87,441
AL,27413,COLÔNIA LEOPOLDINA,4719,4095,5100,14758,9658,206,638
AL,27430,COQUEIRO SECO,1691,1250,977,4184,3207,107,159
AL,27456,CORURIPE,8476,15642,10813,36868,26055,569,1368
AL,27472,DELMIRO GOUVEIA,19108,4071,10455,35345,24890,342,1369
AL,27499,DOIS RIACHOS,3829,1632,2848,8847,5999,68,470
AL,27510,FEIRA GRANDE,8129,2307,3847,15273,11426,254,736
AL,27537,FELIZ DESERTO,1152,944,956,3240,2284,41,147
AL,27553,FLEXEIRAS,2125,2892,2237,7782,5545,135,393
AL,27570,GIRAU DO PONCIANO,12158,2911,7329,23759,16430,210,1151
AL,27596,IBATEGUARA,4084,2608,3242,10679,7437,160,585
AL,27618,IGACI,8729,2770,2762,15562,12800,248,1053
AL,27634,IGREJA NOVA,7127,3903,4979,17110,12131,295,806
AL,27650,INHAPI,6677,891,4206,12619,8413,105,740
AL,27677,JACARÉ DOS HOMENS,2394,760,1376,4685,3309,26,129
AL,27693,JACUÍPE,2576,836,1679,5390,3711,67,232
AL,27715,JAPARATINGA,1750,1982,1926,5976,4050,87,231
AL,27731,JARAMATAIA,2056,964,482,3764,3282,50,212
AL,27758,JOAQUIM GOMES,4995,3402,5161,14401,9240,168,675
AL,27774,JUNDIÁ,1298,1132,1339,3921,2582,40,112
AL,27790,JUNQUEIRO,7628,4174,6060,18791,12731,275,654
AL,27812,LAGOA DA CANOA,6200,2492,3377,12916,9539,184,663
AL,27839,LIMOEIRO DE ANADIA,7712,2627,5248,16617,11369,218,812
AL,27855,MACEIÓ,152559,236597,113823,538534,424711,11362,24193
AL,27871,MAJOR ISIDORO,6243,2878,4971,14911,9940,117,702
AL,27898,MARAGOGI,5970,5434,4856,17433,12577,391,782
AL,27910,MARAVILHA,2562,2406,3039,8421,5382,87,327
AL,27936,MARECHAL DEODORO,7492,13225,8457,30890,22433,517,1199
AL,27952,MARIBONDO,3923,2826,1369,8844,7475,160,566
AL,27979,MAR VERMELHO,1340,903,813,3268,2455,52,160
AL,27995,MATA GRANDE,8985,1640,5822,17376,11554,156,773
AL,28010,MATRIZ DE CAMARAGIBE,4557,5976,5748,17159,11411,241,637
AL,28037,MESSIAS,3625,4099,3261,11697,8436,211,501
AL,28053,MINADOR DO NEGRÃO,1974,669,713,3591,2878,41,194
AL,28070,MONTEIRÓPOLIS,2383,946,1812,5410,3598,44,225
AL,28096,MURICI,5840,6281,5401,18904,13503,314,1068
AL,28118,NOVO LINO,2702,2659,2231,8099,5868,146,361
AL,28134,OLHO D'ÁGUA DAS FLORES,4560,4532,4309,14092,9783,139,552
AL,28150,OLHO D'ÁGUA DO CASADO,3455,567,1173,5541,4368,51,295
AL,28177,OLHO D'ÁGUA GRANDE,1899,691,1377,4177,2800,50,160
AL,28193,OLIVENÇA,3423,1953,2957,8788,5831,66,389
AL,28215,OURO BRANCO,4339,1167,2456,8338,5882,65,311
AL,28231,PALESTINA,1836,558,1324,3870,2546,33,119
AL,28258,PALMEIRA DOS ÍNDIOS,18403,14902,15296,51374,36078,717,2056
AL,28274,PÃO DE AÇÚCAR,8243,2789,6036,17744,11708,130,546
AL,28290,PASSO DE CAMARAGIBE,4256,2374,3472,10685,7213,158,425
AL,28312,PAULO JACINTO,3060,1136,1455,6010,4555,81,278
AL,28339,PENEDO,14156,11912,11408,39416,28008,504,1436
AL,28355,PIAÇABUÇU,4812,2951,4227,12669,8442,153,526
AL,28371,PILAR,5038,11431,7747,25578,17831,471,891
AL,28398,PINDOBA,1155,539,590,2417,1827,17,116
AL,28410,PIRANHAS,7944,1671,2927,13410,10483,125,743
AL,28436,POÇO DAS TRINCHEIRAS,4277,1685,971,7341,6370,71,337
AL,28452,PORTO CALVO,4550,7496,6783,20010,13227,323,858
AL,28479,PORTO DE PEDRAS,1799,1994,2332,6474,4142,88,261
AL,28495,PORTO REAL DO COLÉGIO,5203,4115,3776,13946,10170,274,578
AL,28517,QUEBRANGULO,4162,2039,1088,7855,6767,100,466
AL,28533,RIO LARGO,16980,15287,4248,39428,35180,1088,1825
AL,28550,ROTEIRO,986,1679,1859,4752,2893,56,172
AL,28576,SANTA LUZIA DO NORTE,2118,1707,1433,5541,4108,65,218
AL,28592,SANTANA DO IPANEMA,12344,8202,8590,30541,21951,264,1141
AL,28614,SANTANA DO MUNDAÚ,3470,1593,2393,8065,5672,115,494
AL,28630,SÃO BRÁS,2043,1369,1694,5422,3728,128,188
AL,28657,SÃO JOSÉ DA LAJE,7995,3184,3423,15822,12399,247,973
AL,28673,SÃO JOSÉ DA TAPERA,8425,3658,6857,20014,13157,143,931
AL,28690,SÃO LUÍS DO QUITUNDE,9426,5000,7016,22661,15645,320,899
AL,28711,SÃO MIGUEL DOS CAMPOS,8533,17058,8528,36312,27784,647,1546
AL,28738,SÃO MIGUEL DOS MILAGRES,1529,1918,718,4561,3843,124,272
AL,28754,SÃO SEBASTIÃO,10207,4831,7263,23657,16394,406,950
AL,28770,SATUBA,3023,3493,2245,9286,7041,204,321
AL,28797,TANQUE D'ARCA,2228,802,1026,4362,3336,79,227
AL,28819,TAQUARANA,5820,2650,4063,13448,9385,162,753
AL,28835,TRAIPU,7664,2954,7044,18630,11586,131,837
AL,28851,UNIÃO DOS PALMARES,16384,10719,12994,42896,29902,632,2167
AL,28878,VIÇOSA,8137,4751,5764,19810,14046,273,885
AL,28894,CRAÍBAS,8084,2598,4075,15703,11628,185,761
AL,28916,SENADOR RUI PALMEIRA,4180,1132,2509,8289,5780,62,406
AL,28932,TEOTÔNIO VILELA,8476,9430,9921,29262,19341,445,990
AM,2003,APUÍ,4150,1565,3148,9055,5907,55,137
AM,2011,NOVO AIRÃO,3718,781,1842,6463,4621,41,81
AM,2020,GUAJARÁ,2446,1509,3654,7818,4164,25,184
AM,2038,ANORI,4021,953,3365,8465,5100,34,92
AM,2046,CAREIRO DA VÁRZEA,8026,765,5040,14038,8998,57,150
AM,2054,ATALAIA DO NORTE,1877,1196,1852,5025,3173,12,88
AM,2070,AUTAZES,10132,1276,6606,18370,11764,101,255
AM,2097,BARCELOS,3275,1130,3456,8007,4551,35,111
AM,2119,BARREIRINHA,8627,795,5194,14907,9713,51,240
AM,2135,BENJAMIN CONSTANT,10297,1262,4292,16318,12026,77,390
AM,2151,BOCA DO ACRE,5674,5069,6321,17573,11252,118,391
AM,2178,BORBA,9273,977,6858,17422,10564,53,261
AM,2194,CANUTAMA,2240,1159,2831,6372,3541,33,109
AM,2216,CARAUARI,6475,1659,7862,16290,8428,53,241
AM,2232,CAREIRO,9548,888,7332,18083,10751,80,235
AM,2259,COARI,21146,3539,16376,41930,25554,283,586
AM,2275,CODAJÁS,6000,1322,5570,13119,7549,53,174
AM,2291,EIRUNEPÉ,8654,1023,8401,18476,10075,68,330
AM,2313,ENVIRA,3725,1316,4680,9869,5189,23,125
AM,2330,FONTE BOA,6337,950,4754,12308,7554,30,237
AM,2356,HUMAITÁ,12837,3212,7545,24068,16523,122,352
AM,2372,SANTA ISABEL DO RIO NEGRO,1933,1200,2570,5792,3222,13,76
AM,2399,IPIXUNA,2559,1396,4376,8604,4228,34,239
AM,2410,ITACOATIARA,30543,6727,18109,56335,38226,382,574
AM,2437,ITAPIRANGA,3124,570,2031,5802,3771,25,52
AM,2453,JAPURÁ,1545,262,1333,3192,1859,8,44
AM,2470,JURUÁ,1502,1491,2650,5760,3110,14,103
AM,2496,JUTAÍ,4201,998,4352,9744,5392,24,169
AM,2518,LÁBREA,9114,2019,8413,20007,11594,71,390
AM,2534,MANACAPURU,31024,5856,19912,58044,38132,389,863
AM,2550,MANAUS,679131,179371,215813,1123837,908024,25969,23553
AM,2577,MANICORÉ,10475,3844,8443,23151,14708,51,338
AM,2593,MARAÃ,2415,541,4361,7414,3053,7,90
AM,2615,MAUÉS,15469,1456,10119,27519,17400,130,345
AM,2631,NHAMUNDÁ,5594,1204,4259,11205,6946,39,109
AM,2658,NOVA OLINDA DO NORTE,7220,843,5174,13448,8274,51,160
AM,2674,NOVO ARIPUANÃ,5242,786,4487,10696,6209,28,153
AM,2690,PARINTINS,32747,7010,17066,57697,40631,311,563
AM,2712,PAUINI,3747,1109,3495,8552,5057,25,176
AM,2739,SANTO ANTÔNIO DO IÇÁ,5120,2213,3071,10763,7692,85,274
AM,2755,SÃO PAULO DE OLIVENÇA,7228,2109,2693,12411,9718,64,317
AM,2771,SILVES,3354,343,2152,5920,3768,17,54
AM,2798,TAPAUÁ,4185,1303,4950,10704,5754,41,225
AM,2810,TEFÉ,19223,2466,11203,33570,22367,185,493
AM,2836,SÃO GABRIEL DA CACHOEIRA,11396,2393,8546,22746,14200,87,324
AM,2852,URUCARÁ,5293,617,3648,9697,6049,49,90
AM,2879,URUCURITUBA,5209,690,4057,10144,6087,49,139
AM,2895,ALVARÃES,4369,413,3007,7944,4937,25,130
AM,2917,AMATURÁ,2705,510,1241,4597,3356,21,120
AM,2933,ANAMÃ,2768,632,2547,6034,3487,15,72
AM,2950,BERURI,3739,1015,3483,8367,4884,19,111
AM,2976,BOA VISTA DO RAMOS,5000,563,3296,8999,5703,24,116
AM,2992,CAAPIRANGA,3099,288,3065,6550,3485,33,65
AM,98353,IRANDUBA,15690,1636,6291,24149,17858,170,362
AM,98370,ITAMARATI,2129,424,2656,5305,2649,12,84
AM,98396,MANAQUIRI,5903,430,4302,10827,6525,35,157
AM,98418,PRESIDENTE FIGUEIREDO,9060,1578,3606,14625,11019,126,255
AM,98434,RIO PRETO DA EVA,6775,1292,3234,11557,8323,99,157
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2282,792,1748,4904,3156,25,57
AM,98477,TABATINGA,14205,3166,6391,24559,18168,187,610
AM,98493,UARINI,3131,381,2407,6030,3623,17,94
AM,98515,TONANTINS,3681,1050,2190,7062,4872,9,132
AP,6009,PRACUÚBA,1348,410,640,2508,1868,16,94
AP,6017,AMAPÁ,3099,879,1330,5548,4218,33,207
AP,6025,PORTO GRANDE,5563,1870,2145,10126,7981,59,489
AP,6033,CALÇOENE,3212,1214,1635,6371,4736,39,271
AP,6041,ITAUBAL,1906,728,967,3760,2793,24,135
AP,6050,MACAPÁ,112522,77412,40242,243110,202868,2974,9960
AP,6068,CUTIAS,1468,786,1078,3482,2404,20,130
AP,6076,MAZAGÃO,6140,2198,2817,11675,8858,53,467
AP,6084,ÁGUA BRANCA DO AMAPARI,2638,946,1328,5189,3861,19,258
AP,6092,OIAPOQUE,5934,2584,5990,15382,9392,110,764
AP,6106,SERRA DO NAVIO,1418,810,882,3226,2344,21,95
AP,6114,FERREIRA GOMES,1922,993,483,3599,3116,27,174
AP,6122,VITÓRIA DO JARI,4312,1728,3124,9584,6460,43,377
AP,6130,LARANJAL DO JARI,12452,5213,6989,25865,18876,225,986
AP,6157,SANTANA,31482,18942,10424,63994,53570,746,2400
AP,6173,TARTARUGALZINHO,3228,1647,1722,6930,5208,34,299
BA,30007,LUÍS EDUARDO MAGALHÃES,9773,9675,5894,26060,20166,292,426
BA,30058,EUNÁPOLIS,23291,22549,19931,68182,48251,696,1715
BA,30660,IUIU,4266,1071,2240,7836,5596,59,200
BA,30678,JABORANDI,3741,1248,1618,6884,5266,71,206
BA,30694,JUSSARI,1985,1168,1122,4430,3308,35,120
BA,30716,AMÉRICA DOURADA,5728,1848,3862,11801,7939,78,285
BA,30732,ARATACA,2678,1273,1565,5744,4179,38,190
BA,30759,BARRO ALTO,4950,1644,1684,8596,6912,71,247
BA,30775,BARROCAS,6789,1443,2403,11044,8641,95,314
BA,30791,BURITIRAMA,5500,3166,4814,14132,9318,47,605
BA,30813,CAPELA DO ALTO ALEGRE,4291,1666,1924,8400,6476,168,351
BA,30830,CAPIM GROSSO,8249,4933,5469,19556,14087,324,581
BA,30856,CANUDOS,6454,1027,3615,11538,7923,81,361
BA,30872,DIAS D'ÁVILA,22029,6009,8844,38857,30013,794,1181
BA,30899,FÁTIMA,7032,2281,3777,13594,9817,119,385
BA,30910,FILADÉLFIA,5693,3071,3792,13161,9369,184,421
BA,30937,GAVIÃO,1682,984,862,3743,2881,39,176
BA,30953,GUAJERU,3529,693,2812,7242,4430,35,173
BA,30970,HELIÓPOLIS,5342,1526,3444,10629,7185,73,244
BA,30996,JOÃO DOURADO,6981,4319,4576,16448,11872,148,424
BA,33014,ABAÍRA,2943,1740,1464,6504,5040,81,276
BA,33030,ABARÉ,7833,818,1700,10782,9082,66,365
BA,33057,ACAJUTIBA,4953,2167,2188,9735,7547,134,293
BA,33065,ADUSTINA,5700,2160,3132,11486,8354,104,390
BA,33073,ÁGUA FRIA,5623,1953,2445,10700,8255,120,559
BA,33090,ÉRICO CARDOSO,4056,1340,2933,8678,5745,78,271
BA,33111,AIQUARA,2079,549,1189,3991,2802,44,130
BA,33138,ALAGOINHAS,46823,23446,22711,97748,75037,1962,2806
