STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
MG,41157,TRÊS MARIAS,8172,7844,5572,22398,16826,254,556
MG,41165,NOVA PORTEIRINHA,3986,833,1194,6152,4958,44,95
MG,41173,BARROSO,7794,4810,3093,16661,13568,325,639
MG,41181,NOVORIZONTE,1921,1109,1093,4281,3188,48,110
MG,41190,BELA VISTA DE MINAS,4357,1455,1198,7285,6087,79,196
MG,41203,OLHOS D'ÁGUA,2566,744,1407,4846,3439,24,105
MG,41211,BELMIRO BRAGA,1553,795,503,2929,2426,14,64
MG,41220,ORATÓRIOS,2276,856,961,4191,3230,31,67
MG,41238,BELO HORIZONTE,521813,939427,371781,1912443,1540662,21833,57589
MG,41246,ORIZÂNIA,3215,1252,1428,6020,4592,23,102
MG,41254,BELO ORIENTE,9375,3846,4447,18473,14026,308,497
MG,41262,PADRE CARVALHO,1911,1026,1702,4748,3046,21,88
MG,41270,BELO VALE,3285,2509,1678,7722,6044,97,153
MG,41289,PAI PEDRO,2814,463,1140,4581,3441,36,128
MG,41297,BERILO,3866,1722,3860,9700,5840,60,192
MG,41300,PATIS,2452,677,1202,4447,3245,25,91
MG,41319,BERTÓPOLIS,1477,923,1158,3689,2531,23,108
MG,41327,PEDRA BONITA,2625,1612,1204,5562,4358,29,92
MG,41335,BETIM,117153,91287,45331,267506,222175,4108,9627
MG,41343,PIEDADE DE CARATINGA,2754,1932,1460,6330,4870,58,126
MG,41351,BIAS FORTES,1675,813,928,3537,2609,20,101
MG,41360,PINGO D'ÁGUA,1893,881,1223,4113,2890,20,96
MG,41378,BICAS,4385,3725,2721,11367,8646,109,427
MG,41386,PINTÓPOLIS,3196,810,1892,6014,4122,35,81
MG,41394,BIQUINHAS,1039,956,761,2813,2052,15,42
MG,41408,PONTO CHIQUE,1827,568,1222,3699,2477,17,65
MG,41416,BOA ESPERANÇA,10548,12509,6880,30773,23893,329,507
MG,41424,REDUTO,2559,1510,1262,5465,4203,36,98
MG,41432,BOCAINA DE MINAS,1378,1894,1038,4496,3458,49,137
MG,41440,SANTA BÁRBARA DO MONTE VERDE,1523,912,814,3343,2529,23,71
MG,41459,BOCAIÚVA,18103,7106,8569,34760,26191,300,682
MG,41467,SANTA CRUZ DE MINAS,2213,2927,940,6394,5454,102,212
MG,41475,BOM DESPACHO,8134,19756,7252,36547,29295,508,897
MG,41483,SANTA CRUZ DE SALINAS,2326,478,1397,4332,2935,21,110
MG,41491,BOM JARDIM DE MINAS,2540,1577,1246,5573,4327,57,153
MG,41505,SANTA HELENA DE MINAS,2024,1247,1302,4703,3401,18,112
MG,41513,BOM JESUS DA PENHA,1098,1505,606,3304,2698,34,61
MG,41521,SANTO ANTÔNIO DO RETIRO,3121,609,1675,5631,3956,45,181
MG,41530,BOM JESUS DO AMPARO,2057,1515,659,4433,3774,58,144
MG,41548,SÃO DOMINGOS DAS DORES,2424,1560,1097,5190,4093,42,67
MG,41556,BOM JESUS DO GALHO,5381,3362,2392,11555,9163,131,289
MG,41564,SÃO FÉLIX DE MINAS,1235,1028,891,3226,2335,19,53
MG,41572,BOM REPOUSO,3529,3486,1081,8350,7269,89,165
MG,41580,SÃO GERALDO DO BAIXIO,1312,800,666,2851,2185,17,56
MG,41599,BOM SUCESSO,4909,6132,3493,15087,11594,166,387
MG,41602,SÃO JOÃO DAS MISSÕES,4668,1269,1976,8219,6243,53,253
MG,41610,BONFIM,2473,2259,1299,6389,5090,119,239
MG,41629,SÃO JOAQUIM DE BICAS,8286,4839,3842,17628,13786,219,442
MG,41637,BONFINÓPOLIS DE MINAS,1851,1502,1566,5025,3459,38,68
MG,41645,SÃO JOSÉ DA BARRA,2756,1630,1385,5970,4585,67,132
MG,41653,BORDA DA MATA,4132,6058,2320,12977,10657,128,339
MG,41661,ALTO CAPARAÓ,1320,1804,614,3853,3239,43,72
MG,41670,BOTELHOS,5777,3787,2680,12616,9936,135,237
MG,41688,ANGELÂNDIA,2420,1486,2159,6255,4096,47,143
MG,41696,BOTUMIRIM,2310,977,1711,5158,3447,29,131
MG,41700,ARICANDUVA,1886,927,1337,4286,2949,21,115
MG,41718,BRASÍLIA DE MINAS,13637,3961,7518,25880,18362,209,555
MG,41726,BERIZAL,1887,802,718,3512,2794,17,88
MG,41734,BRÁS PIRES,1424,1480,966,3983,3017,37,76
MG,41742,BONITO DE MINAS,3989,525,2317,7033,4716,35,167
MG,41750,BRAÚNAS,1781,952,1020,3918,2898,56,109
MG,41769,BUGRE,1757,1410,1141,4422,3281,33,81
MG,41777,BRAZÓPOLIS,3123,6606,2729,12809,10080,101,250
