STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1431,1193,985,3721,2736,24,88
AC,1015,CAPIXABA,1138,1000,1462,3682,2220,12,70
AC,1023,PORTO ACRE,2453,2281,3263,8216,4953,45,174
AC,1031,SANTA ROSA,308,99,615,1059,444,4,33
AC,1040,MARECHAL THAUMATURGO,766,1292,2615,4782,2167,15,94
AC,1058,BRASILEIA,4579,3410,3887,12234,8347,95,263
AC,1066,PORTO WALTER,748,907,2385,4134,1749,5,89
AC,1074,CRUZEIRO DO SUL,9729,12165,17534,40270,22736,179,663
AC,1082,RODRIGUES ALVES,992,1490,3129,5731,2602,10,110
AC,1090,MANCIO LIMA,1855,2559,2728,7337,4609,35,160
AC,1104,JORDAO,591,421,1562,2655,1093,6,75
AC,1112,EPITACIOLANDIA,2755,1519,2062,6546,4484,42,168
AC,1120,ACRELANDIA,2202,2080,1959,6422,4463,51,130
AC,1139,FEIJO,5265,1565,5771,12932,7161,43,288
AC,1392,RIO BRANCO,81434,43220,45710,175346,129636,1532,3450
AC,1457,SENA MADUREIRA,5919,4637,7886,18961,11075,98,421
AC,1473,TARAUACA,4671,3253,8200,16628,8428,116,388
AC,1490,XAPURI,3192,2536,3196,9219,6023,45,250
AC,1511,PLACIDO DE CASTRO,3251,2945,3692,10127,6435,59,180
AC,1538,SENADOR GUIOMARD,5080,3111,4282,12827,8545,74,280
AC,1554,MANUEL URBANO,807,1167,1720,3799,2079,17,88
AC,1570,ASSIS BRASIL,1197,953,907,3158,2251,16,85
AL,27006,PARIPUEIRA,1617,2529,970,5451,4481,118,217
AL,27014,AGUA BRANCA,3560,3742,4291,12076,7785,109,374
AL,27022,PARICONHA,1714,2261,1852,6119,4267,89,203
AL,27030,ANADIA,2614,4111,4729,11991,7262,158,379
AL,27049,ESTRELA DE ALAGOAS,1145,4224,2847,8564,5717,69,279
AL,27057,ARAPIRACA,24500,48800,23950,100480,76530,968,2262
AL,27065,JEQUIA DA PRAIA,744,2264,3266,6407,3141,35,98
AL,27073,ATALAIA,2939,12022,7820,23591,15771,208,602
AL,27081,CAMPESTRE,994,1147,1371,3665,2294,57,96
AL,27090,BARRA DE SANTO ANTONIO,1502,2569,1098,5418,4320,73,176
AL,27111,BARRA DE SAO MIGUEL,915,1617,427,3087,2660,33,95
AL,27138,BATALHA,2893,2603,3415,9212,5797,62,239
AL,27154,BELEM,732,1822,1124,3896,2772,64,154
AL,27170,BELO MONTE,886,982,2124,4108,1984,25,91
AL,27197,BOCA DA MATA,4183,6351,4466,15780,11314,295,485
AL,27219,BRANQUINHA,1469,2189,2120,6080,3960,89,213
AL,27235,CACIMBINHAS,891,3045,2068,6203,4135,35,164
AL,27251,CAJUEIRO,2006,5427,3113,11021,7908,131,344
AL,27278,CAMPO ALEGRE,4800,5264,6636,17608,10972,277,631
AL,27294,CAMPO GRANDE,1391,2404,894,4889,3995,43,157
AL,27316,CANAPI,2371,3893,4096,10691,6595,58,273
AL,27332,CAPELA,1643,5781,3167,11062,7895,123,348
AL,27359,CARNEIROS,1139,1703,779,3796,3017,33,142
AL,27375,CHA PRETA,969,2362,519,4127,3608,73,204
AL,27391,COITE DO NOIA,1456,3074,2055,6927,4872,82,260
AL,27413,COLONIA LEOPOLDINA,2840,3957,4073,11425,7352,184,371
AL,27430,COQUEIRO SECO,946,1315,405,2803,2398,52,85
AL,27456,CORURIPE,6151,12664,9621,29641,20020,389,816
AL,27472,DELMIRO GOUVEIA,13520,5557,8912,29089,20177,293,807
AL,27499,DOIS RIACHOS,1116,3492,2067,6938,4871,45,218
AL,27510,FEIRA GRANDE,2950,4808,3806,12131,8325,145,422
AL,27537,FELIZ DESERTO,427,1218,467,2225,1758,40,73
