STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PE,23280,TAMANDARÉ,110,6407,7,4,2,10,1978,193,3148,13050,9902,336,857
PE,23299,BELÉM DE MARIA,72,4031,3,1,2,6,1178,110,983,7241,6258,243,614
PE,23302,JAQUEIRA,78,3404,5,1,0,8,1979,45,2143,8433,6290,138,632
PE,23310,BELÉM DE SÃO FRANCISCO,179,8328,7,3,0,16,1325,193,3509,14961,11452,195,1206
PE,23329,SANTA FILOMENA,81,4412,4,2,1,11,1492,106,1877,8964,7087,178,801
PE,23337,BELO JARDIM,434,24077,22,6,2,49,10645,600,10463,52292,41829,1376,4620
PE,23353,BETÂNIA,75,4697,4,0,0,13,384,24,1776,8444,6668,234,1237
PE,23370,BEZERROS,514,20247,15,12,5,24,7194,550,8011,42164,34153,2221,3376
PE,23396,BODOCÓ,173,10183,5,1,1,32,4468,154,3586,21011,17425,393,2016
PE,23418,BOM CONSELHO,354,15750,14,5,1,29,2768,314,8137,30612,22475,638,2603
PE,23434,BOM JARDIM,242,11680,14,8,2,34,5847,219,7100,28424,21324,808,2472
PE,23450,BONITO,321,14485,15,5,2,44,2824,196,5819,26857,21038,751,2397
PE,23477,BREJÃO,67,4480,1,5,0,11,876,64,1079,7847,6768,280,984
PE,23493,BREJINHO,60,3205,1,1,0,3,503,32,849,5488,4639,178,656
PE,23515,BREJO DA MADRE DE DEUS,258,11005,30,64,1,22,5093,286,5049,25077,20028,1027,2243
PE,23531,BUENOS AIRES,95,5419,9,3,0,4,1229,78,1086,9197,8111,244,1030
PE,23558,BUÍQUE,576,16860,29,6,4,40,1805,129,7830,31688,23858,883,3530
PE,23574,CABO DE SANTO AGOSTINHO,1159,74516,53,21,15,56,16447,2749,18942,125865,106923,4775,7147
PE,23590,CABROBÓ,137,11512,10,31,0,27,2086,182,4235,19886,15651,314,1352
PE,23612,CACHOEIRINHA,81,6868,13,4,0,30,2435,117,3078,14278,11200,392,1260
PE,23639,CAETÉS,113,8413,8,0,1,25,1407,73,3985,15948,11963,426,1498
PE,23655,CALÇADO,49,3564,3,1,1,11,921,73,1562,7104,5542,245,675
PE,23671,CALUMBI,36,3364,2,1,1,11,206,58,813,5208,4395,153,564
PE,23698,CAMOCIM DE SÃO FÉLIX,162,7133,5,34,2,26,1119,92,2607,12772,10165,515,1079
PE,23710,CAMUTANGA,64,3522,5,2,3,8,1035,123,750,6244,5494,201,534
PE,23736,CANHOTINHO,115,7344,6,5,4,36,3305,157,4435,17543,13108,365,1775
