STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,61,1534,0,2,1,3,2241,86,843,5140,4297,63,307
AC,1015,CAPIXABA,51,1274,0,7,0,5,2290,73,1009,4983,3974,44,230
AC,1023,PORTO ACRE,69,1931,1,5,1,17,3617,163,1162,7473,6311,61,447
AC,1031,SANTA ROSA,17,607,1,0,0,4,464,9,330,1594,1264,16,146
AC,1040,MARECHAL THAUMATURGO,52,1649,0,0,1,6,2891,22,1550,6539,4989,17,352
AC,1058,BRASILÉIA,124,4787,3,1,2,18,5405,182,2417,13674,11257,126,611
AC,1066,PORTO WALTER,56,1499,1,1,0,8,1457,19,1331,4612,3281,14,226
AC,1074,CRUZEIRO DO SUL,409,10038,6,59,4,34,19755,496,10783,43781,32998,268,1933
AC,1082,RODRIGUES ALVES,59,2356,0,0,1,12,2302,30,1820,7039,5219,43,417
AC,1090,MÂNCIO LIMA,59,2848,4,1,0,12,3201,57,1658,8366,6708,50,476
AC,1104,JORDÃO,25,1488,0,0,0,0,717,15,793,3231,2438,9,184
AC,1112,EPITACIOLÂNDIA,63,3022,1,1,1,11,2925,209,1436,8148,6712,111,369
AC,1120,ACRELÂNDIA,37,2079,1,1,0,6,3471,179,1409,7548,6139,73,292
AC,1139,FEIJÓ,142,6195,7,5,2,40,3440,180,3950,15049,11099,103,987
AC,1392,RIO BRANCO,1533,66466,26,127,14,192,77090,9609,30127,193549,163422,2191,6188
AC,1457,SENA MADUREIRA,180,6124,6,6,3,52,7915,506,4408,20416,16008,176,1043
AC,1473,TARAUACÁ,285,5864,5,4,1,21,5762,318,4981,18876,13895,270,1366
AC,1490,XAPURI,107,3200,1,3,0,6,3631,185,1884,9628,7744,72,539
AC,1511,PLÁCIDO DE CASTRO,89,3424,1,7,1,14,4545,252,2237,11128,8891,79,480
AC,1538,SENADOR GUIOMARD,113,3961,3,6,2,9,5691,380,2651,13641,10990,157,670
AC,1554,MANUEL URBANO,34,1221,1,0,0,8,1659,64,1059,4371,3312,51,274
AC,1570,ASSIS BRASIL,52,1654,2,0,1,13,1420,48,584,4054,3470,24,257
AL,27006,PARIPUEIRA,112,2088,1,2,0,6,1992,765,895,6560,5665,214,485
AL,27014,ÁGUA BRANCA,223,5833,6,0,2,10,2145,736,3256,13550,10294,256,1085
AL,27022,PARICONHA,80,3530,2,0,0,13,858,330,1629,7167,5538,107,618
AL,27030,ANADIA,172,4514,4,4,1,19,2880,553,3307,12769,9462,315,1001
AL,27049,ESTRELA DE ALAGOAS,82,4679,2,1,2,26,1411,269,3056,10672,7616,195,951
AL,27057,ARAPIRACA,1629,33429,33,26,13,101,39010,9141,18025,110124,92099,2579,6151
AL,27065,JEQUIÁ DA PRAIA,65,2410,6,4,1,15,1820,695,1605,7376,5771,177,579
AL,27073,ATALAIA,285,7773,4,3,1,29,9024,1084,5719,27003,21284,711,2371
AL,27081,CAMPESTRE,83,1874,3,0,2,4,845,157,1038,4321,3283,65,252
AL,27090,BARRA DE SANTO ANTÔNIO,149,3256,4,2,0,5,1606,655,1186,7694,6508,242,589
AL,27111,BARRA DE SÃO MIGUEL,90,1672,3,2,0,7,1357,523,641,4716,4075,97,324
AL,27138,BATALHA,149,5408,5,0,0,8,1460,485,1548,9944,8396,129,752
AL,27154,BELÉM,64,1853,4,1,0,4,920,268,887,4571,3684,131,439
AL,27170,BELO MONTE,41,1707,4,1,0,3,562,499,723,3965,3242,63,362
AL,27197,BOCA DA MATA,196,5440,4,4,0,23,6074,808,3836,18414,14578,714,1315
AL,27219,BRANQUINHA,116,2610,3,1,2,6,1147,603,1627,7048,5421,154,781
AL,27235,CACIMBINHAS,124,2752,4,0,0,9,1959,326,1594,7474,5880,78,628
AL,27251,CAJUEIRO,228,4141,5,1,1,27,4422,530,2596,13389,10793,421,1018
AL,27278,CAMPO ALEGRE,200,8470,6,2,4,19,4345,863,4805,20616,15811,492,1414
AL,27294,CAMPO GRANDE,80,3219,1,0,0,11,1448,141,953,6599,5646,157,589
AL,27316,CANAPI,129,6086,3,0,2,13,1071,348,2927,11747,8820,185,985
AL,27332,CAPELA,169,2998,4,0,5,15,4512,681,2587,12352,9765,358,1028
AL,27359,CARNEIROS,66,2336,0,1,0,1,990,226,814,4838,4024,77,327
AL,27375,CHÃ PRETA,92,2705,1,0,0,14,881,135,717,5240,4523,153,542
AL,27391,COITÉ DO NÓIA,143,3331,3,2,0,12,1314,308,1734,7715,5981,169,699
AL,27413,COLÔNIA LEOPOLDINA,207,3755,5,5,5,19,4236,488,3052,13215,10163,480,968
AL,27430,COQUEIRO SECO,39,1331,2,1,0,3,1096,285,543,3723,3180,134,289
AL,27456,CORURIPE,303,11116,10,6,4,31,11583,2758,6034,34573,28539,843,1889
AL,27472,DELMIRO GOUVEIA,408,15117,10,8,2,21,3553,2586,7458,31831,24373,680,1990
AL,27499,DOIS RIACHOS,128,3452,6,1,0,10,1579,283,1745,7965,6220,139,622
AL,27510,FEIRA GRANDE,222,6429,7,3,2,27,2301,280,2356,13337,10981,477,1235
AL,27537,FELIZ DESERTO,46,1347,3,2,1,2,566,111,450,2815,2365,88,200
AL,27553,FLEXEIRAS,53,2939,7,2,0,7,1638,204,1471,7239,5768,141,777
AL,27570,GIRAU DO PONCIANO,247,10396,9,3,2,32,2838,586,4968,21364,16396,475,1810
AL,27596,IBATEGUARA,130,3703,3,0,0,13,2145,314,2402,9806,7404,264,832
AL,27618,IGACI,219,7690,7,2,0,29,3051,1045,4827,18907,14080,433,1604
AL,27634,IGREJA NOVA,161,5452,7,2,1,33,3617,766,3341,15560,12219,823,1358
AL,27650,INHAPI,91,5642,8,3,0,20,964,435,2922,11398,8476,181,1132
AL,27677,JACARÉ DOS HOMENS,35,2239,2,0,0,5,655,239,654,4152,3498,37,286
AL,27693,JACUÍPE,64,2311,1,1,2,6,886,122,1155,4992,3837,142,304
AL,27715,JAPARATINGA,82,1531,1,0,1,5,1477,290,1036,5001,3965,208,371
AL,27731,JARAMATAIA,78,1717,2,0,0,5,997,296,740,4286,3546,75,376
AL,27758,JOAQUIM GOMES,208,4286,5,1,0,19,3184,412,4003,13934,9931,436,1380
AL,27774,JUNDIÁ,57,931,0,0,1,0,952,260,819,3418,2599,68,331
AL,27790,JUNQUEIRO,163,6305,4,6,2,30,3714,941,4119,17109,12990,527,1300
AL,27812,LAGOA DA CANOA,132,5141,4,1,3,11,2183,396,2625,11666,9041,285,888
AL,27839,LIMOEIRO DE ANADIA,230,6895,14,3,2,11,2636,739,3204,15294,12090,347,1215
AL,27855,MACEIÓ,9363,115687,154,151,49,416,160157,92831,63909,476691,412782,12297,21726
AL,27871,MAJOR ISIDORO,118,6038,1,0,1,20,2739,506,2741,13436,10695,207,1066
AL,27898,MARAGOGI,221,5236,5,2,1,18,3729,531,2975,14463,11488,730,1016
AL,27910,MARAVILHA,83,2150,3,1,0,9,2233,678,2184,8097,5913,157,599
AL,27936,MARECHAL DEODORO,328,7810,8,8,2,30,8212,2694,4058,25915,21857,901,1866
AL,27952,MARIBONDO,126,3860,2,0,1,9,3025,531,2220,10964,8744,258,933
AL,27979,MAR VERMELHO,67,1318,2,1,0,6,698,187,338,2929,2591,66,246
AL,27995,MATA GRANDE,168,7827,9,1,3,25,1608,499,3693,15945,12252,526,1589
AL,28010,MATRIZ DE CAMARAGIBE,206,4913,6,5,0,10,4665,534,3755,15526,11771,432,1000
AL,28037,MESSIAS,140,3221,4,2,3,12,3171,595,1951,10223,8272,299,828
AL,28053,MINADOR DO NEGRÃO,78,1848,0,0,0,7,624,123,907,4062,3155,74,401
AL,28070,MONTEIRÓPOLIS,88,2453,1,1,1,3,707,231,1041,4989,3948,111,353
AL,28096,MURICI,261,6729,8,1,0,18,3811,1297,2775,17083,14308,427,1756
AL,28118,NOVO LINO,119,1973,2,0,0,14,2913,447,1217,7520,6303,207,628
AL,28134,OLHO D'ÁGUA DAS FLORES,156,5258,3,0,0,13,3155,684,2621,13028,10407,237,901
AL,28150,OLHO D'ÁGUA DO CASADO,67,3024,0,0,1,9,828,221,1351,6220,4869,112,608
AL,28177,OLHO D'ÁGUA GRANDE,40,1494,2,0,0,7,833,136,851,3865,3014,143,359
AL,28193,OLIVENÇA,112,3284,6,1,0,13,1398,441,1655,7783,6128,130,743
AL,28215,OURO BRANCO,112,3717,2,0,2,5,1276,309,1579,7513,5934,101,412
AL,28231,PALESTINA,31,2036,3,4,0,5,332,133,508,3365,2857,29,284
AL,28258,PALMEIRA DOS ÍNDIOS,626,15282,18,4,2,51,12952,4062,9767,46607,36840,991,2854
AL,28274,PÃO DE AÇÚCAR,187,7258,6,1,4,10,2537,1621,3396,16328,12932,244,1068
AL,28290,PASSO DE CAMARAGIBE,95,4534,4,2,1,12,1747,428,1981,9678,7697,265,610
AL,28312,PAULO JACINTO,115,3013,1,0,0,7,933,176,641,5383,4742,120,377
AL,28339,PENEDO,410,8858,7,7,2,32,12605,3032,7372,34998,27626,773,1902
AL,28355,PIAÇABUÇU,150,4192,4,3,1,17,2431,740,2882,11693,8811,329,945
AL,28371,PILAR,255,4868,5,5,0,30,9769,1869,4916,24036,19120,826,1493
AL,28398,PINDOBA,44,1221,0,1,0,3,417,54,250,2211,1961,27,194
AL,28410,PIRANHAS,169,6318,4,0,1,11,1988,1070,3239,14303,11064,221,1283
AL,28436,POÇO DAS TRINCHEIRAS,118,4039,3,1,2,12,2019,267,1788,9094,7306,125,722
AL,28452,PORTO CALVO,300,5002,5,3,2,27,5891,699,4521,18487,13966,672,1367
AL,28479,PORTO DE PEDRAS,53,2131,1,0,1,8,1306,486,1410,6042,4632,227,420
AL,28495,PORTO REAL DO COLÉGIO,137,3644,5,0,4,18,4284,704,2526,12870,10344,599,953
AL,28517,QUEBRÂNGULO,124,4711,2,0,0,10,1442,248,1245,8791,7546,202,807
AL,28533,RIO LARGO,568,14740,11,25,4,39,13771,4983,7817,45986,38169,1490,2542
AL,28550,ROTEIRO,58,1549,2,1,0,2,977,170,1230,4525,3295,125,411
AL,28576,SANTA LUZIA DO NORTE,83,1722,20,0,0,9,1494,393,871,5055,4184,132,331
AL,28592,SANTANA DO IPANEMA,384,11269,8,2,2,32,6624,1945,5269,27851,22582,461,1857
AL,28614,SANTANA DO MUNDAÚ,85,3527,6,1,1,15,1180,190,1242,7222,5980,183,793
AL,28630,SÃO BRÁS,56,1283,2,1,1,5,1645,342,868,4888,4020,357,329
AL,28657,SÃO JOSÉ DA LAJE,168,5472,4,1,1,11,3754,868,1793,13772,11979,341,1360
AL,28673,SÃO JOSÉ DA TAPERA,231,5501,2,2,1,33,4660,1385,4223,17836,13613,398,1401
AL,28690,SÃO LUÍS DO QUITUNDE,257,7976,10,2,2,22,4618,916,4406,20694,16288,749,1738
AL,28711,SÃO MIGUEL DOS CAMPOS,367,7035,5,10,0,27,13910,3282,4377,32036,27659,884,2139
AL,28738,SÃO MIGUEL DOS MILAGRES,54,1927,2,3,0,2,1167,418,749,4945,4196,205,418
AL,28754,SÃO SEBASTIÃO,250,10074,5,3,1,39,3781,562,4612,21598,16986,771,1501
AL,28770,SATUBA,81,1836,2,2,2,16,3170,938,1373,8327,6954,351,558
AL,28797,TANQUE D'ARCA,48,1851,5,0,0,13,730,411,1308,4889,3581,153,370
AL,28819,TAQUARANA,191,4887,8,2,1,19,2611,402,2544,12134,9590,300,1170
AL,28835,TRAIPÚ,245,7805,9,2,3,25,2939,959,3923,17734,13811,216,1611
AL,28851,UNIÃO DOS PALMARES,478,12748,13,4,3,28,8589,2707,8555,36702,28147,851,2729
AL,28878,VIÇOSA,280,8172,5,3,1,26,3671,693,3603,18459,14856,499,1507
AL,28894,CRAÍBAS,135,5232,6,4,1,39,3543,662,2685,13808,11123,357,1145
AL,28916,SENADOR RUI PALMEIRA,169,3133,3,0,0,6,748,843,1404,7066,5662,85,675
AL,28932,SENADOR TEOTÔNIO VILELA,247,8637,3,0,5,29,6801,1459,6993,26373,19380,525,1679
AM,2003,APUÍ,51,3198,3,1,0,10,1705,211,1891,7532,5641,53,409
AM,2011,NOVO AIRÃO,27,3539,0,5,1,1,744,128,1772,6592,4820,32,344
AM,2020,GUAJARÁ,62,2046,2,0,3,4,1927,55,3009,7698,4689,45,548
AM,2038,ANORI,61,4067,0,1,2,4,980,138,1817,7427,5610,33,326
AM,2046,CAREIRO DA VÁRZEA,89,7689,1,0,3,6,876,277,2924,12667,9743,70,735
AM,2054,ATALAIA DO NORTE,41,1795,3,0,0,1,784,68,1208,4194,2986,15,279
AM,2070,AUTAZES,97,9689,1,2,0,8,1110,223,4260,16443,12183,70,983
AM,2097,BARCELOS,37,3657,0,0,0,4,809,219,1810,6894,5084,28,330
AM,2119,BARREIRINHA,101,8125,4,0,0,6,997,171,3087,13344,10257,79,774
AM,2135,BENJAMIN CONSTANT,138,8774,3,0,0,13,779,172,3154,13966,10812,70,863
AM,2151,BOCA DO ACRE,129,5722,7,3,1,12,4134,315,4119,15584,11465,147,996
AM,2178,BORBA,103,9393,1,3,0,8,816,124,3810,15315,11505,65,992
AM,2194,CANUTAMA,43,2604,12,1,0,2,667,36,1522,5314,3792,26,401
AM,2216,CARAUARI,88,6730,1,0,3,2,1412,151,4821,13939,9118,75,659
AM,2232,CAREIRO,113,9080,5,5,0,7,993,235,4048,15470,11422,123,861
AM,2259,COARI,272,22248,9,8,2,21,2598,898,8339,36863,28524,171,2299
AM,2275,CODAJÁS,98,6161,4,3,2,12,1151,258,3334,11505,8171,43,441
AM,2291,EIRUNEPÉ,145,8374,5,5,0,13,977,79,4686,15612,10926,164,1164
AM,2313,ENVIRA,42,2324,0,2,0,24,2625,32,2930,8621,5691,53,589
AM,2330,FONTE BOA,69,4521,5,2,1,14,2265,170,2917,10839,7922,45,831
AM,2356,HUMAITÁ,279,10605,28,7,1,17,3544,553,4466,20604,16138,167,938
AM,2372,SANTA ISABEL DO RIO NEGRO,24,2058,1,0,0,1,979,53,1794,5318,3524,42,366
AM,2399,IPIXUNA,46,2352,4,2,1,4,1788,30,2872,7738,4866,62,578
AM,2410,ITACOATIARA,511,31909,12,11,1,56,4610,1234,11075,51125,40050,231,1476
AM,2437,ITAPIRANGA,43,3101,0,0,0,4,413,74,1020,4902,3882,18,229
AM,2453,JAPURÁ,22,1100,2,0,1,1,330,27,886,2524,1638,9,147
AM,2470,JURUÁ,34,1558,3,1,0,3,1182,30,1652,4900,3248,27,410
AM,2496,JUTAÍ,106,3166,1,5,0,13,1946,62,2204,8205,6001,43,659
AM,2518,LÁBREA,150,9289,12,0,2,12,1052,132,5302,17173,11871,81,1143
AM,2534,MANACAPURU,468,30295,22,6,4,22,3555,1022,10710,48544,37834,298,2146
AM,2550,MANAUS,29835,632681,356,669,118,1206,87407,77369,119303,995870,876567,14408,32636
AM,2577,MANICORÉ,174,10174,1,2,1,18,2893,305,5250,19894,14644,88,989
AM,2593,MARAÃ,39,3056,6,0,0,4,340,32,2100,6000,3900,31,392
AM,2615,MAUÉS,178,15462,12,4,1,73,1420,336,6163,25107,18944,113,1346
AM,2631,NHAMUNDÁ,56,5771,0,0,1,5,1495,189,2640,10701,8061,57,488
AM,2658,NOVA OLINDA DO NORTE,90,6534,0,1,2,18,857,167,3158,11612,8454,44,743
AM,2674,NOVO ARIPUANÃ,56,5268,3,1,0,12,715,172,2721,9494,6773,60,486
AM,2690,PARINTINS,601,30846,4,11,0,31,5067,1120,10607,50214,39607,319,1608
AM,2712,PAUINI,75,3337,0,0,1,4,1094,44,2663,7730,5067,26,487
AM,2739,SANTO ANTONIO DO IÇÁ,52,4018,5,3,0,6,1675,95,1927,8531,6604,90,660
AM,2755,SÃO PAULO DE OLIVENÇA,90,6550,2,0,0,2,1117,105,1590,10068,8478,48,564
AM,2771,SILVES,27,3504,0,1,0,6,364,64,934,5059,4125,23,136
AM,2798,TAPAUÁ,89,4807,10,0,0,9,970,116,2303,9056,6753,60,692
AM,2810,TEFÉ,248,16777,70,3,2,17,1844,421,8283,29448,21165,146,1639
AM,2836,SÃO GABRIEL DA CACHOEIRA,113,11079,4,1,3,4,1945,272,5675,19913,14238,89,731
AM,2852,URUCARÁ,41,5710,2,2,2,7,596,101,2034,8866,6832,41,332
AM,2879,URUCURITUBA,52,5601,1,0,0,12,677,88,2154,8972,6818,40,347
AM,2895,ALVARÃES,38,3947,1,0,0,4,534,103,1662,6804,5142,33,482
AM,2917,AMATURÁ,30,2052,1,1,0,2,322,34,727,3623,2896,38,416
AM,2933,ANAMÃ,44,2571,0,0,0,3,932,42,1492,5434,3942,29,321
AM,2950,BERURI,37,3128,1,0,0,0,1143,81,1580,6476,4896,26,480
AM,2976,BOA VISTA DO RAMOS,43,4700,1,1,0,4,582,90,1643,7445,5802,21,360
AM,2992,CAAPIRANGA,25,3247,5,1,0,2,313,74,1744,5683,3939,25,247
AM,98353,IRANDUBA,166,13042,3,2,1,9,1135,399,2665,18682,16017,144,1117
AM,98370,ITAMARATI,36,2182,0,0,0,3,473,41,1426,4515,3089,17,337
AM,98396,MANAQUIRI,35,5982,1,1,0,2,280,106,1931,8798,6867,25,435
AM,98418,PRESIDENTE FIGUEIREDO,179,8428,5,3,1,7,1013,357,3643,14271,10628,91,545
AM,98434,RIO PRETO DA EVA,137,6640,1,1,0,9,906,301,2726,11235,8509,63,451
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,22,2314,0,1,0,6,716,69,1052,4410,3358,29,201
AM,98477,TABATINGA,161,11026,5,4,0,10,2431,526,4172,19747,15575,139,1273
AM,98493,UARINI,27,2699,3,2,0,5,419,28,1649,5181,3532,9,340
AM,98515,TONANTINS,44,2354,11,0,0,1,1362,55,1214,5555,4341,35,479
AP,6009,PRACUÚBA,46,1168,2,1,0,0,362,113,211,1974,1763,7,64
AP,6017,AMAPÁ,112,2943,3,6,0,4,873,215,724,5105,4381,33,192
AP,6025,PORTO GRANDE,188,4369,0,2,1,10,1536,260,986,7693,6707,34,308
AP,6033,CALÇOENE,122,2697,2,1,0,3,1025,271,967,5340,4373,36,216
AP,6041,ITAUBAL,57,1452,1,0,0,5,711,153,381,2896,2515,10,126
AP,6050,MACAPÁ,5889,86446,111,127,26,276,60960,22671,28560,212539,183979,1552,5947
AP,6068,CUTIAS,71,1330,2,0,0,1,642,137,503,2798,2295,10,102
AP,6076,MAZAGÃO,218,4661,10,6,0,11,2801,428,1273,9806,8533,24,374
AP,6084,AMAPARI,55,1804,1,1,0,3,537,105,422,3111,2689,18,165
AP,6092,OIAPOQUE,238,5746,5,1,1,12,1629,361,3799,12481,8682,156,534
AP,6106,SERRA DO NAVIO,52,1321,0,0,0,1,542,145,390,2525,2135,7,67
AP,6114,FERREIRA GOMES,91,1516,2,5,0,5,868,241,357,3238,2881,16,137
AP,6122,VITÓRIA DO JARÍ,197,4100,3,1,0,4,1562,181,1487,7883,6396,51,297
AP,6130,LARANJAL DO JARÍ,384,12117,12,3,1,14,4219,709,4194,22696,18502,172,872
AP,6157,SANTANA,1295,26088,22,10,4,64,15472,3523,6300,54750,48450,324,1652
AP,6173,TARTARUGALZINHO,142,2917,6,2,0,5,1331,198,933,5779,4846,24,221
BA,30007,LUIS EDUARDO MAGALHÃES,275,7233,10,8,4,17,8183,416,2611,19995,17384,375,867
BA,30058,EUNÁPOLIS,1130,28809,13,15,3,39,10478,1757,14841,61111,46270,938,3091
BA,30660,IUIU,107,3460,30,1,1,10,1271,40,1764,7453,5689,99,671
BA,30678,JABORANDI,84,3073,2,1,3,9,1627,33,1758,7324,5566,192,545
BA,30694,JUSSARI,119,2127,1,7,1,5,905,86,1680,5356,3676,48,378
BA,30716,AMÉRICA DOURADA,165,4636,18,1,0,15,2433,116,2816,11293,8477,234,859
BA,30732,ARATACA,76,2595,8,1,0,22,1321,104,2768,7368,4600,55,418
BA,30759,BARRO ALTO,103,4003,11,0,2,12,2507,131,1938,9438,7500,156,577
BA,30775,BARROCAS,127,5522,5,4,1,4,1592,85,1655,9777,8122,139,644
BA,30791,BURITIRAMA,143,5518,7,2,1,9,2763,27,2594,12363,9769,78,1222
BA,30813,CAPELA DO ALTO ALEGRE,256,3688,0,3,1,2,1695,104,1527,8213,6686,268,670
BA,30830,CAPIM GROSSO,416,7610,10,3,4,14,4426,216,2701,16980,14279,406,1178
BA,30856,CANUDOS,154,5095,4,5,1,9,2039,137,2358,10655,8297,127,727
BA,30872,DIAS D'ÁVILA,400,18131,4,17,4,19,4350,996,3447,29760,26313,805,1591
BA,30899,FÁTIMA,274,6352,6,5,2,10,2048,187,2670,12843,10173,321,970
BA,30910,FILADÉLFIA,266,5339,3,1,1,13,2689,82,2615,12214,9599,274,932
BA,30937,GAVIÃO,99,1613,3,3,0,4,972,41,665,3772,3107,93,279
BA,30953,GUAJERU,104,2162,1,0,1,7,1679,32,2028,6746,4718,92,641
BA,30970,HELIÓPOLIS,141,4592,2,4,1,4,1544,125,2540,9969,7429,220,797
BA,30996,JOÃO DOURADO,288,6459,30,2,1,15,3924,188,2674,14663,11989,207,876
BA,33014,ABAÍRA,112,2777,3,4,4,5,1482,101,1917,7138,5221,191,546
BA,33030,ABARÉ,146,6182,8,1,1,12,1259,70,1783,10732,8949,125,1146
BA,33057,ACAJUTIBA,146,4866,2,2,1,12,1872,160,2556,10463,7907,205,642
BA,33065,ADUSTINA,151,5045,12,2,1,17,1998,88,2055,10567,8512,177,1022
BA,33073,ÁGUA FRIA,208,4899,6,4,1,13,1987,141,3225,11720,8495,210,1027
BA,33090,ÉRICO CARDOSO,125,3125,30,2,1,3,1312,47,2756,8356,5600,191,765
BA,33111,AIQUARA,79,1948,1,0,0,2,512,55,670,3670,3000,61,342
BA,33138,ALAGOINHAS,1488,38938,28,219,23,97,20147,5486,17581,90414,72833,2089,4341
BA,33154,ALCOBAÇA,232,6474,5,24,1,13,1648,168,4023,13937,9914,384,966
BA,33170,ALMADINA,75,1882,1,1,0,5,934,51,431,3731,3300,35,316
BA,33197,AMARGOSA,411,10132,17,80,1,46,4655,403,6450,24439,17989,524,1721
BA,33219,AMÉLIA RODRIGUES,281,8423,4,16,2,16,2823,583,4329,17915,13586,549,891
BA,33235,ANAGÉ,635,4283,4,3,3,33,4387,200,1697,12893,11196,250,1401
BA,33251,ANDARAÍ,170,4829,5,0,1,6,1077,86,2165,9201,7036,121,742
BA,33260,ANDORINHA,152,6683,3,1,1,12,1138,121,2112,10914,8802,155,537
BA,33278,ANGICAL,154,5199,4,2,1,22,2753,84,2361,11297,8936,121,597
BA,33294,ANGUERA,138,4167,6,5,1,6,971,101,1465,7737,6272,214,664
BA,33316,ANTAS,167,4372,3,4,4,16,2370,162,1934,10238,8304,201,1009
BA,33332,ANTÔNIO CARDOSO,146,4601,3,1,4,13,1604,87,654,7888,7234,171,608
BA,33359,ANTÔNIO GONÇALVES,132,3039,2,0,0,12,1421,85,933,6330,5397,134,572
BA,33375,APORÁ,170,4877,3,9,3,8,2312,118,2872,11734,8862,259,1106
BA,33383,ARAÇÁS,116,4053,4,2,0,9,1430,111,1935,8434,6499,190,584
BA,33391,ARACATU,156,3157,5,7,1,11,2996,71,2922,10510,7588,185,1000
BA,33405,APUAREMA,99,1690,1,1,1,10,1687,57,622,4816,4194,54,595
BA,33413,ARACI,672,15803,7,13,4,56,4302,370,8193,32372,24179,570,2386
BA,33430,ARAMARI,111,3624,8,4,0,5,1358,206,1562,7674,6112,141,655
BA,33456,ARATUÍPE,90,3275,3,0,2,16,972,145,1702,6997,5295,124,670
BA,33472,AURELINO LEAL,128,5028,6,3,1,6,928,159,3558,10392,6834,127,449
BA,33499,BAIANÓPOLIS,154,4720,4,1,0,27,1322,44,799,7920,7121,186,663
BA,33510,BAIXA GRANDE,298,5274,6,4,3,12,3628,153,4223,15232,11009,448,1186
BA,33529,BANZAÊ,140,4395,0,5,2,6,1563,115,1227,8260,7033,110,699
BA,33537,BARRA,394,11991,16,1,2,52,6341,245,6673,28808,22135,306,2789
BA,33553,BARRA DA ESTIVA,246,6480,11,2,4,11,3135,129,2681,14440,11759,466,1279
BA,33570,BARRA DO CHOÇA,497,8177,12,5,3,24,4964,237,5343,21649,16306,377,2013
BA,33596,BARRA DO MENDES,103,5406,4,2,2,11,1654,158,1513,9796,8283,194,751
BA,33618,BARRA DO ROCHA,72,1819,0,0,0,3,778,93,352,3451,3099,43,291
BA,33634,BARREIRAS,1555,38384,22,19,9,141,14518,1784,14725,74585,59860,1055,2382
BA,33650,GOVERNADOR LOMANTO JÚNIOR,119,2464,5,2,0,4,1014,77,1729,5777,4048,72,291
BA,33677,BELMONTE,168,5777,3,5,2,14,1591,257,1362,10325,8963,231,917
BA,33693,BELO CAMPO,230,3987,3,0,2,12,3839,87,3238,12743,9505,237,1110
BA,33715,BIRITINGA,274,5761,4,13,1,8,1037,151,2595,11094,8499,221,1030
BA,33731,BOA NOVA,176,5274,4,9,6,8,1318,93,3713,11954,8241,233,1126
BA,33758,BOA VISTA DO TUPIM,264,5560,7,5,0,31,2875,192,3517,13819,10302,194,1174
BA,33774,BOM JESUS DA LAPA,519,18545,14,14,6,56,6439,683,9360,38615,29255,784,2201
BA,33782,BOM JESUS DA SERRA,77,2687,2,1,0,4,1362,44,1885,6877,4992,51,764
BA,33790,BONINAL,156,4250,1,1,1,10,1603,50,2746,9712,6966,141,754
BA,33804,BONITO,143,3762,3,2,0,18,2209,98,1819,8880,7061,155,671
BA,33812,BOQUIRA,270,8125,11,3,2,7,1617,71,4578,16027,11449,225,1120
BA,33839,BOTUPORÃ,156,4340,59,1,0,5,858,67,1939,8341,6402,147,769
BA,33855,BREJÕES,165,4963,3,2,0,13,1548,138,2504,10514,8010,225,953
BA,33871,BREJOLÂNDIA,117,3617,4,3,0,16,1190,64,1187,6853,5666,155,500
BA,33898,BROTAS DE MACAÚBAS,166,3830,7,4,2,10,1868,157,2747,9631,6884,135,707
BA,33910,BRUMADO,779,21739,22,8,0,18,8190,663,9076,44021,34945,784,2742
BA,33936,BUERAREMA,205,4778,4,1,0,19,3674,449,1682,11784,10102,136,836
BA,33952,CAATIBA,105,2743,1,1,5,10,1042,51,1992,6657,4665,86,626
BA,33960,CABACEIRAS DO PARAGUAÇU,182,5565,6,0,0,9,2192,87,2448,11549,9101,159,901
BA,33979,CACHOEIRA,326,12813,9,14,2,23,2428,678,5412,23594,18182,470,1421
BA,33995,CACULÉ,222,5551,9,5,4,20,4036,222,3931,15442,11511,308,1138
BA,34010,CAEM,154,3957,7,1,1,22,1505,99,1199,8055,6856,179,932
BA,34029,CAETANOS,93,2967,3,4,1,0,1410,50,2201,7689,5488,134,827
BA,34037,CAETITÉ,789,12057,37,13,5,26,8929,535,8244,34409,26165,628,3151
BA,34053,CAFARNAUM,133,2926,5,2,1,29,4048,148,2741,11161,8420,192,937
BA,34070,CAIRU,104,4343,3,1,0,24,1376,193,1838,8564,6726,218,464
BA,34096,CALDEIRÃO GRANDE,124,2883,2,0,2,42,1375,99,1822,7171,5349,169,655
BA,34118,CAMACÃ,370,8205,36,7,3,14,4324,425,7085,22186,15101,391,1329
BA,34134,CAMAÇARI,1610,63346,26,123,16,114,17009,5193,12006,107846,95840,3436,4983
BA,34150,CAMAMU,336,7935,9,5,2,30,3640,388,5850,20533,14683,450,1890
BA,34177,CAMPO ALEGRE DE LOURDES,314,8819,12,12,1,41,3328,97,4982,19386,14404,214,1567
BA,34193,CAMPO FORMOSO,691,18849,20,9,2,299,10874,626,10144,46246,36102,1049,3685
BA,34215,CANÁPOLIS,142,3737,4,1,2,27,922,50,1639,7429,5790,194,713
