"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"1","ABEL MESQUITA JR.","DEM","Roraima",1,183,28,18,162,0.755152225494385,0.882352941176471,-0.280873000621796,-0.362818658351898,0,0,0
"2","ABEL MESQUITA JR.","PDT","Roraima",1,98,24,17,77,0.629117131233215,0.810185185185185,-0.251466542482376,0.122031845152378,0,0,0
"3","ABEL MESQUITA JR.","PMB","Roraima",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABEL SALVADOR MESQUITA JUNIOR","PDT","Roraima",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ACIR GURGACZ","PDT","Rondonia",916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ADAIL CARNEIRO","PHS","Ceará",92,114,22,18,68,0.698578417301178,0.81981981981982,-0.127475455403328,-0.427635729312897,0,0,0
"7","ADAIL CARNEIRO","PP","Ceará",92,97,2,4,93,0.893482983112335,0.969387755102041,-0.607577979564667,-0.657634496688843,0,0,0
"8","ADAIL CARNEIRO","Podemos","Ceará",92,36,1,3,38,0.854694485664368,0.948717948717949,-0.536501169204712,0.0802298188209534,0,0,0
"9","ADALBERTO CAVALCANTI","Avante","Pernambuco",138,80,4,2,77,0.88797128200531,0.96319018404908,-0.680019736289978,-0.375847846269608,0,0,0
"10","ADALBERTO CAVALCANTI","PMB","Pernambuco",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ADALBERTO CAVALCANTI","PTB","Pernambuco",138,198,12,9,136,0.833428800106049,0.940845070422535,-0.361982733011246,-0.831068634986877,0,0,0
"12","ADALBERTO CAVALCANTI","PTdoB","Pernambuco",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ADELMO CARNEIRO LEÃO","PT","Minas Gerais",221,259,22,14,454,0.847475707530975,0.951935914552737,0.637384593486786,0.134161710739136,0,0,0
"14","ADELSON BARRETO","PR","Sergipe",175,215,27,21,193,0.750104784965515,0.894736842105263,-0.169598653912544,-0.0596336051821709,0,0,0
