"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"1","ABELARDO CAMARINHA","PSB","São Paulo",329,49,11,12,30,0.636394739151001,0.774509803921569,-0.127361625432968,-0.0311139076948166,0,0,0
"2","ABELARDO LUPION","DEM","Paraná",440,86,8,3,77,0.821122348308563,0.936781609195402,-0.685444355010986,0.417039573192596,0,0,0
"3","ACELINO POPÓ","PRB","Bahia",522,69,11,13,52,0.725863635540009,0.83448275862069,-0.0341540686786175,-0.0236388128250837,0,0,0
"4","ACIR GURGACZ","PDT","Rondonia",916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ADEMIR CAMILO","PDT","Minas Gerais",220,16,0,2,12,0.845598578453064,0.933333333333333,0.128636986017227,-0.288888275623322,0,0,0
"6","ADEMIR CAMILO","PROS","Minas Gerais",220,22,4,5,17,0.645304679870605,0.8125,-0.196003928780556,0.159928277134895,0,0,0
"7","ADEMIR CAMILO","PSD","Minas Gerais",220,55,8,10,35,0.691757678985596,0.833333333333333,-0.249056354165077,0.36256331205368,0,0,0
"8","ADRIAN","PMDB","Rio de Janeiro",286,58,4,4,50,0.844609439373016,0.931034482758621,0.257207840681076,0.43183770775795,0,0,0
"9","AELTON FREITAS","PR","Minas Gerais",224,70,13,14,70,0.729582130908966,0.838323353293413,0.0086257066577673,0.179214373230934,0,0,0
"10","AFONSO FLORENCE","PT","Bahia",182,71,3,1,108,0.894672870635986,0.978142076502732,0.952721297740936,-0.291632413864136,0,0,0
"11","AFONSO HAMM","PP","Rio Grande do Sul",487,103,11,18,75,0.723219811916351,0.859903381642512,-0.0352307930588722,0.581090033054352,0,0,0
"12","AGNOLIN","PDT","Tocantins",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AGUINALDO RIBEIRO","PP","Paraíba",129,46,4,5,31,0.789390921592712,0.895348837209302,0.432053416967392,-0.0773058980703354,0,0,0
"14","AKIRA OTSUBO","PMDB","Mato Grosso do Sul",638,63,6,6,49,0.791602492332458,0.903225806451613,0.185087725520134,0.920817077159882,0,0,0
"15","ALBERTO FILHO","PMDB","Maranhão",71,112,12,7,91,0.835391461849213,0.914414414414414,0.133175954222679,0.737106561660767,0,0,0
"16","ALBERTO MOURÃO","PSDB","São Paulo",552,23,5,8,25,0.67342621088028,0.786885245901639,-0.55000913143158,-0.446906983852386,0,0,0
"17","ALCEU MOREIRA","PMDB","Rio Grande do Sul",486,106,23,13,81,0.729158341884613,0.838565022421525,-0.0946514531970024,0.995510518550873,0,0,0
"18","ALDO REBELO","PCdoB","São Paulo",331,15,0,0,12,0.93734222650528,1,0.29556742310524,0.378961592912674,0,0,0
"19","ALESSANDRO MOLON","PT","Rio de Janeiro",287,78,10,7,95,0.81756728887558,0.910526315789474,0.534368991851807,-0.845251321792603,0,0,0
"20","ALEX CANZIANI","PTB","Paraná",445,94,6,8,64,0.801067411899567,0.918604651162791,0.179164409637451,0.0977303832769394,0,0,0
"21","ALEXANDRE CARDOSO","PSB","Rio de Janeiro",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ALEXANDRE LEITE","DEM","São Paulo",334,95,14,9,88,0.766149580478668,0.888349514563107,-0.71418708562851,0.253403156995773,0,0,0
"23","ALEXANDRE ROSO","PSB","Rio Grande do Sul",489,77,14,16,59,0.674413859844208,0.819277108433735,-0.0631263628602028,-0.18789641559124,0,0,0
"24","ALEXANDRE SANTOS","PMDB","Rio de Janeiro",285,77,9,2,69,0.82983672618866,0.929936305732484,0.341373056173325,0.939927935600281,0,0,0
"25","ALEXANDRE SILVEIRA","PSD","Minas Gerais",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ALEXANDRE TOLEDO","PSB","Alagoas",596,26,7,3,23,0.697799503803253,0.830508474576271,-0.175624579191208,-0.25786417722702,0,0,0
"27","ALEXANDRE TOLEDO","PSDB","Alagoas",596,26,10,2,23,0.688757061958313,0.80327868852459,-0.82584136724472,-0.299207925796509,0,0,0
"28","ALEXANDRE TOLEDO","S.Part.","Alagoas",596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
