"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"183","DJALMA BERGER","PSB","Santa Catarina",477,70,5,2,29,0.841276466846466,0.933962264150943,0.394910007715225,-0.594618737697601,0,0,0
"184","DJALMA BERGER","PSDB","Santa Catarina",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","DJALMA BERGER","S.Part.","Santa Catarina",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","DOMINGOS DUTRA","PT","Maranhão",72,183,4,8,118,0.907198846340179,0.961661341853035,0.881220877170563,0.279732406139374,0,0,0
"187","DR. ADILSON SOARES","PR","Rio de Janeiro",293,201,10,19,111,0.824436008930206,0.914956011730205,0.503350257873535,0.135881870985031,0,0,0
"188","DR. BASEGIO","PDT","Rio Grande do Sul",519,13,3,0,12,0.807964682579041,0.892857142857143,0.257615298032761,-0.338683485984802,0,0,0
"189","DR. NECHAR","PP","São Paulo",345,25,0,0,17,0.928129553794861,1,0.584812581539154,-0.229103237390518,0,0,0
"190","DR. NECHAR","PV","São Paulo",345,113,27,12,86,0.66607254743576,0.836134453781513,0.0341554544866085,0.194554001092911,0,0,0
"191","DR. PAULO CESAR","PR","Rio de Janeiro",544,24,0,0,9,0.997741281986237,1,0.998199462890625,0.0599815882742405,0,0,0
"192","DR. PAULO CÉSAR","PR","Rio de Janeiro",544,73,8,11,53,0.767534673213959,0.868965517241379,0.512920916080475,-0.0303433164954185,0,0,0
"193","DR. PAULO CÉSAR DA GUIA ALMEIDA","PR","Rio de Janeiro",544,10,1,0,11,0.921419680118561,0.954545454545455,0.784323990345001,-0.0762606039643288,0,0,0
"194","DR. PINOTTI","DEM","São Paulo",349,8,0,2,36,0.857947051525116,0.956521739130435,-0.668599665164948,-0.362587869167328,0,0,0
"195","DR. ROSINHA","PT","Paraná",449,133,5,3,97,0.889881014823914,0.966386554621849,0.918084979057312,0.396383732557297,0,0,0
"196","DR. TALMIR","PV","São Paulo",347,136,39,19,94,0.617237150669098,0.798611111111111,0.0436386987566948,0.131171748042107,0,0,0
"197","DR. UBIALI","PSB","São Paulo",348,203,24,23,123,0.766521811485291,0.873994638069705,0.384873896837234,-0.365049868822098,0,0,0
"198","DUARTE NOGUEIRA","PSDB","São Paulo",350,95,5,4,187,0.828926146030426,0.969072164948454,-0.723805606365204,0.0957354232668877,0,0,0
"199","DÉCIO LIMA","PT","Santa Catarina",475,173,7,10,111,0.874225199222565,0.943521594684385,0.762084066867828,0.192707195878029,0,0,0
"200","EDGAR MOURY","PMDB","Pernambuco",154,111,37,73,104,0.502747654914856,0.661538461538462,-0.250974059104919,0.203631237149239,0,0,0
"201","EDIGAR MÃO BRANCA","PV","Bahia",534,148,16,9,116,0.791031241416931,0.913494809688581,0.241868406534195,0.544192314147949,0,0,0
"202","EDINHO BEZ","PMDB","Santa Catarina",470,175,4,11,92,0.830979585647583,0.946808510638298,0.431867182254791,-0.614527940750122,0,0,0
"203","EDIO LOPES","PMDB","Roraima",2,190,17,17,103,0.775784075260162,0.896024464831804,0.434281229972839,-0.598191022872925,0,0,0
"204","EDMAR MOREIRA","DEM","Minas Gerais",231,37,23,23,70,0.522042810916901,0.699346405228758,-0.216444730758667,-0.341442793607712,0,0,0
"205","EDMAR MOREIRA","PFL","Minas Gerais",231,4,4,7,5,0.504470825195312,0.45,-0.222923114895821,-0.756831288337708,0,0,0
"206","EDMAR MOREIRA","PR","Minas Gerais",231,45,4,3,24,0.823696613311768,0.907894736842105,0.382151186466217,0.146169871091843,0,0,0
"207","EDMILSON VALENTIM","PCdoB","Rio de Janeiro",294,183,19,12,118,0.80904746055603,0.906626506024096,0.595435202121735,-0.0549722760915756,0,0,0
"208","EDSON APARECIDO","PSDB","São Paulo",351,99,8,5,177,0.817697942256927,0.955017301038062,-0.780663728713989,0.139400973916054,0,0,0
"209","EDSON DUARTE","PV","Bahia",189,138,16,9,93,0.783812701702118,0.90234375,0.254528701305389,0.442408323287964,0,0,0
"210","EDSON EZEQUIEL","PMDB","Rio de Janeiro",298,223,8,11,131,0.854448318481445,0.949061662198391,0.423817425966263,-0.490414291620255,0,0,0
"211","EDSON SANTOS","PT","Rio de Janeiro",299,89,4,2,56,0.888116359710693,0.960264900662252,0.772852420806885,0.212950125336647,0,0,0
"212","EDUARDO AMORIM","PSC","Sergipe",175,165,27,18,94,0.731692790985107,0.851973684210526,0.148803502321243,-0.00801267474889755,0,0,0
"213","EDUARDO AZEREDO","PSDB","Minas Gerais",844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
