"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"1","ABELARDO LUPION","PFL","Paraná",440,44,6,1,31,0.798954367637634,0.914634146341463,-0.85685658454895,-0.0219099596142769,0,0,0
"2","ADAUTO PEREIRA","PFL","Paraíba",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ADELOR VIEIRA","PMDB","Santa Catarina",471,35,8,8,55,0.755920588970184,0.849056603773585,-0.062207106500864,-0.594033002853394,0,0,0
"4","ADEMIR CAMILO","PDT","Minas Gerais",576,19,5,4,17,0.666356921195984,0.8,-0.348848223686218,-0.276219546794891,0,0,0
"5","ADEMIR CAMILO","PL","Minas Gerais",576,17,1,2,15,0.84013444185257,0.914285714285714,0.0130572617053986,0.79438441991806,0,0,0
"6","ADÃO PRETTO","PT","Rio Grande do Sul",486,24,2,0,53,0.909134268760681,0.974683544303797,0.665036499500275,-0.746810853481293,0,0,0
"7","AFFONSO CAMARGO","PSDB","Paraná",441,48,9,5,40,0.772638320922852,0.862745098039216,-0.850884854793549,0.497434765100479,0,0,0
"8","AFONSO HAMM","PP","Rio Grande do Sul",605,6,0,2,17,0.784719884395599,0.92,-0.196580469608307,0.155795902013779,0,0,0
"9","AGNALDO MUNIZ","PP","Rondonia",44,25,3,5,20,0.674036264419556,0.849056603773585,0.0531852543354034,-0.181965589523315,0,0,0
"10","AGNALDO MUNIZ","PPS","Rondonia",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AGNELO QUEIROZ","PCdoB","Distrito Federal",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AIRTON ROVEDA","PMDB","Paraná",556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AIRTON ROVEDA","PPS","Paraná",556,17,3,4,12,0.693893611431122,0.805555555555556,-0.25190144777298,-0.465884208679199,0,0,0
"14","AIRTON ROVEDA","PTB","Paraná",556,13,0,0,11,0.92287290096283,1,0.1110799908638,0.106446295976639,0,0,0
"15","ALBERTO FRAGA","PFL","Distrito Federal",408,30,1,1,21,0.798537015914917,0.962264150943396,-0.758706212043762,0.0432565361261368,0,0,0
